('https://image1.ljcdn.com/440300-inspection/test-27ca7970-81d4-4663-8f34-54cfdb4292a5.png.296x216.jpg', '视野好，满2年，可改小3房业主自住装修保养好', '朗庭豪园  | 2室2厅 | 71.68平米 | 东北 | 精装 | 有电梯', '中楼层(共18层)2000年建塔楼  -  福田保税区', '470万', '单价65570元/平米')
('https://image1.ljcdn.com/440300-inspection/test-6802044b-5dce-4c35-8996-f8bdd541f6f5.png.296x216.jpg', '益田村 3室2厅 522万', '益田村  | 3室2厅 | 75.66平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1995年建板塔结合  -  石厦', '522万', '单价68993元/平米')
('https://image1.ljcdn.com/440300-inspection/test-6c73b02c-ded1-42d3-9a8a-7636253a0910.png.296x216.jpg', '楼层高，通风采光好，视野开阔，可看高尔夫景', '城中雅苑  | 2室2厅 | 83.83平米 | 西北 | 其他 | 有电梯', '中楼层(共32层)2004年建塔楼  -  福田中心', '730万', '单价87081元/平米')
('https://image1.ljcdn.com/440300-inspection/afb725a3-af06-40b1-bb97-d9e21fe8fa8b.jpg.296x216.jpg', '韵动家园 2室1厅 370万', '韵动家园  | 2室1厅 | 64.21平米 | 北 | 其他 | 有电梯', '低楼层(共29层)2005年建板塔结合  -  新洲', '370万', '单价57624元/平米')
('https://image1.ljcdn.com/440300-inspection/test-44dcc57e-217e-4dab-9916-f217e3deb170.png.296x216.jpg', '众孚新村 3室2厅 635万', '众孚新村  | 3室2厅 | 96.81平米 | 南 | 其他 | 无电梯', '中楼层(共8层)1996年建板塔结合  -  石厦', '635万', '单价65593元/平米')
('https://image1.ljcdn.com/440300-inspection/test-cfe484f5-72d7-4174-b6c8-a22fb9218975.png.296x216.jpg', '鹏益花园精装修小户型 楼下是地铁7号线八卦岭站', '鹏益花园  | 1室0厅 | 32.37平米 | 北 | 精装 | 有电梯', '低楼层(共24层)1995年建塔楼  -  八卦岭', '155万', '单价47884元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e8bc0115-5415-4126-8c17-9b6c62d5afc7.png.296x216.jpg', '旭飞华安园 2室1厅 230万', '旭飞华安园  | 2室1厅 | 41.26平米 | 西 | 其他 | 有电梯', '中楼层(共12层)2000年建塔楼  -  梅林', '230万', '单价55745元/平米')
('https://image1.ljcdn.com/440300-inspection/test-5c127d03-3083-46a6-940f-6446a8f4e37a.png.296x216.jpg', '好景豪园 2室2厅 800万', '好景豪园  | 2室2厅 | 140.94平米 | 南 | 其他 | 有电梯', '中楼层(共14层)1999年建板塔结合  -  沙尾', '800万', '单价56762元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f5005422-7147-47e1-bc75-fbd7d646cd96.png.296x216.jpg', '地铁口精装实用小两房，位置好采光足，拎包入住。', '城投青莲公寓  | 2室1厅 | 44.02平米 | 南 | 精装 | 有电梯', '高楼层(共26层)2005年建板塔结合  -  莲花', '338万', '单价76784元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ae87a12a-e829-4f08-8005-a9ab1e6fb3d7.png.296x216.jpg', '福田双地铁口物业  公园旁安静 南向高层采光好', '润恒大厦  | 2室1厅 | 58.14平米 | 南 | 精装 | 有电梯', '高楼层(共28层)2004年建塔楼  -  福田中心', '360万', '单价61920元/平米')
('https://image1.ljcdn.com/440300-inspection/test-3d922db5-e34d-4e5c-874e-2fe8f6627415.png.296x216.jpg', '莲花北村 3室2厅 660万', '莲花北村  | 3室2厅 | 102.82平米 | 西南 | 其他 | 有电梯', '中楼层(共28层)1996年建板塔结合  -  莲花', '660万', '单价64190元/平米')
('https://image1.ljcdn.com/440300-inspection/test-287e3197-3099-4847-ae23-e7b73d84333b.png.296x216.jpg', '益田村 3室1厅 610万', '益田村  | 3室1厅 | 86.48平米 | 南 | 其他 | 无电梯', '中楼层(共8层)1995年建板塔结合  -  石厦', '610万', '单价70537元/平米')
('https://image1.ljcdn.com/440300-inspection/test-152ae81b-bd71-4d0b-8721-5cb35bdde886.png.296x216.jpg', '南溪新苑 2室1厅 450万', '南溪新苑  | 2室1厅 | 78.48平米 | 南 | 简装 | 有电梯', '低楼层(共20层)2006年建板塔结合  -  新洲', '450万', '单价57340元/平米')
('https://image1.ljcdn.com/440300-inspection/4e860f45-0b9b-4b3c-b5f9-a7284476b1f6.jpg.296x216.jpg', '全南向两房 户型方正 钥匙房 随看', '碧华庭居  | 2室2厅 | 76.97平米 | 南 | 其他 | 有电梯', '低楼层(共17层)2000年建塔楼  -  梅林', '425万', '单价55217元/平米')
('https://image1.ljcdn.com/440300-inspection/test-48892c9b-90dc-429d-8837-586ef00d662e.png.296x216.jpg', '深圳市政府 福田高铁站旁 南向大三房双阳台 红本五年', '东景花园  | 3室2厅 | 110.2平米 | 南 | 简装 | 有电梯', '高楼层(共26层)1996年建板塔结合  -  景田', '596万', '单价54084元/平米')
('https://image1.ljcdn.com/440300-inspection/1b8d98d4-76b5-4daa-ab4b-98d8147f40ba.jpg.296x216.jpg', '保税区帝港海湾豪园高层东南向精装大三房', '帝港海湾豪园  | 3室2厅 | 109.06平米 | 东南 | 精装 | 有电梯', '中楼层(共25层)2003年建塔楼  -  福田保税区', '660万', '单价60518元/平米')
('https://image1.ljcdn.com/440300-inspection/test-491f4d35-2fa0-46c9-b28f-dd05760145c9.png.296x216.jpg', '全新装修，业主诚售价格可大谈，拎包入住 安静采光好', '绿景虹湾  | 3室2厅 | 87.28平米 | 东 | 精装', '低楼层(共43层)2015年建板塔结合  -  梅林', '800万', '单价91660元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c5db5ec4-c752-484c-a5d7-fd59d5f87b68.png.296x216.jpg', '户型方正的两房，通风采光很好，拎包即可入住。', '丽港湾  | 2室1厅 | 62.67平米 | 北 | 简装 | 有电梯', '低楼层(共18层)2003年建塔楼  -  福田保税区', '430万', '单价68614元/平米')
('https://image1.ljcdn.com/440300-inspection/8de425f9-24ee-45ae-aea3-4c63c579e6df.jpg.296x216.jpg', '诚心出售大两房，安静，地铁近，交通便捷。', '国皇大厦  | 2室1厅 | 90.49平米 | 南 | 其他 | 有电梯', '中楼层(共32层)1998年建板塔结合  -  皇岗', '400万', '单价44204元/平米')
('https://image1.ljcdn.com/440300-inspection/6f164651-2d26-43e1-b658-15fd41027861.jpg.296x216.jpg', '中银花园 高楼层两房带飘窗 看莲花山景观', '中银花园  | 2室1厅 | 84.79平米 | 东北 | 精装 | 有电梯', '中楼层(共31层)1997年建塔楼  -  莲花', '475万', '单价56021元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c5d52797-6f76-462b-892a-2f872314bc09.png.296x216.jpg', '众孚大厦 2室2厅 435万', '众孚大厦  | 2室2厅 | 78.01平米 | 南 | 其他 | 有电梯', '高楼层(共25层)2002年建板塔结合  -  石厦', '435万', '单价55763元/平米')
('https://image1.ljcdn.com/440300-inspection/f63514f3-8ab2-4121-a787-54ed9959635e.jpg.296x216.jpg', '户型通透，业主诚心卖房，看房提前约就好', '金地海景翠堤湾  | 4室2厅 | 149.84平米 | 南 | 其他 | 有电梯', '高楼层(共28层)2002年建板塔结合  -  沙尾', '1150万', '单价76749元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c328f961-0d66-43d1-bd9f-46636a2ba00c.png.296x216.jpg', '汇龙花园 2室1厅 270万', '汇龙花园  | 2室1厅 | 49.27平米 | 北 | 其他 | 无电梯', '高楼层(共7层)1999年建板塔结合  -  梅林', '270万', '单价54801元/平米')
('https://image1.ljcdn.com/440300-inspection/test-9f118180-9c62-4e11-a7f2-1167bb1ebe66.png.296x216.jpg', '星河明居双地铁口物业，南向，安静，邻近购物公园', '星河明居  | 4室2厅 | 134.71平米 | 南 | 简装 | 有电梯', '中楼层(共33层)1999年建板塔结合  -  石厦', '750万', '单价55676元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1de21bc7-fc6a-44a5-a925-a058b24c5260.png.296x216.jpg', '星河雅居 3室2厅 540万', '星河雅居  | 3室2厅 | 102.19平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2000年建板塔结合  -  新洲', '540万', '单价52843元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ab223806-6b12-46a5-9305-97380bc5e333.png.296x216.jpg', '帝港海湾豪园 花园里面 满5年深圳就一套', '帝港海湾豪园  | 2室1厅 | 64.86平米 | 北 | 其他 | 有电梯', '中楼层(共25层)2003年建塔楼  -  福田保税区', '450万', '单价69381元/平米')
('https://image1.ljcdn.com/440300-inspection/test-98eb3324-ea02-48e3-960d-e5023aa29486.png.296x216.jpg', '信托花园 5室2厅 1190万', '信托花园  | 5室2厅 | 156.65平米 | 南 | 精装 | 有电梯', '中楼层(共10层)1998年建板塔结合  -  石厦', '1190万', '单价75966元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f10c522c-138b-460e-9e25-d0a4282d0176.png.296x216.jpg', '锦文阁大厦 ，业主 诚心 出售。', '锦文阁大厦  | 1室0厅 | 44.99平米 | 西 | 精装 | 有电梯', '高楼层(共26层)1999年建板塔结合  -  景田', '215万', '单价47789元/平米')
('https://image1.ljcdn.com/440300-inspection/test-01f0cace-cd70-4057-a687-b23f338ff728.png.296x216.jpg', '万科套内面积68.09平，户型方正、标准两房。', '万科金色家园  | 2室2厅 | 79.61平米 | 东 | 简装 | 有电梯', '低楼层(共33层)2002年建板塔结合  -  景田', '680万', '单价85417元/平米')
('https://image1.ljcdn.com/440300-inspection/test-07692bcd-b89c-4404-8344-2d6a7e1af40c.png.296x216.jpg', '此房满五年，红本在手 楼层好无遮挡', '金地海景翠堤湾  | 3室2厅 | 114.33平米 | 东南 | 其他 | 有电梯', '低楼层(共32层)2002年建板塔结合  -  沙尾', '802万', '单价70148元/平米')
('https://image1.ljcdn.com/440300-inspection/test-7edd4682-9fbd-481c-98da-8c50737f71b1.png.296x216.jpg', '此房南向采光充足，视野开阔，户型方正带双阳台', '城投青莲公寓  | 1室1厅 | 43.92平米 | 南 | 精装 | 有电梯', '高楼层(共26层)2005年建板塔结合  -  莲花', '320万', '单价72860元/平米')
('https://image1.ljcdn.com/440300-inspection/test-3c6b36f6-d1c2-4c9f-884a-ee3320359705.png.296x216.jpg', '高尔夫实用2房，装修保养好。业主诚心卖', '国都高尔夫花园二期  | 2室1厅 | 79.72平米 | 南 | 精装 | 有电梯', '低楼层(共31层)1998年建板塔结合  -  车公庙', '500万', '单价62720元/平米')
('https://image1.ljcdn.com/440300-inspection/test-caa8099c-4266-47cb-9365-c5bebcd00c9a.png.296x216.jpg', '满五唯一，红本在手，少税朝南，采光充足，视野宽阔', '金海湾花园  | 2室2厅 | 88.97平米 | 东南 | 简装 | 有电梯', '低楼层(共25层)2001年建板塔结合  -  上下沙', '588万', '单价66090元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadd9ddc18c-693a-4ea5-8798-021f0f2a3905.jpg.296x216.jpg', '房子已经满五年！红本在手税费少！房子装修漂亮', '蜜园  | 2室1厅 | 57.44平米 | 北 | 其他 | 有电梯', '低楼层(共33层)2007年建塔楼  -  新洲', '360万', '单价62675元/平米')
('https://image1.ljcdn.com/440300-inspection/test-560b4fb4-bccc-41c8-9c0e-38066ecf8e69.png.296x216.jpg', '园岭新村 2室2厅 680万', '园岭新村  | 2室2厅 | 84.12平米 | 南 | 其他 | 无电梯', '低楼层(共8层)1988年建板塔结合  -  园岭', '680万', '单价80837元/平米')
('https://image1.ljcdn.com/440300-inspection/test-cee42f16-a553-496d-96af-2031d3b6306f.png.296x216.jpg', '双龙抱珠户型 福外+景田 三代同堂 安静对花园 地铁房', '天明居  | 3室2厅 | 111.26平米 | 东 | 简装 | 有电梯', '低楼层(共27层)2003年建板塔结合  -  景田', '920万', '单价82690元/平米')
('https://image1.ljcdn.com/440300-inspection/test-280232d4-9cae-4096-94d5-d4da10bd312e.png.296x216.jpg', '福田酒店式住宅，精装一房一厅，厅出阳台，业主急卖。', '水围龙轩豪庭  | 1室1厅 | 46.07平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2011年建板塔结合  -  皇岗', '348万', '单价75538元/平米')
('https://image1.ljcdn.com/440300-inspection/00af22b4-ed8e-4aec-ac30-9b535654993d.jpg.296x216.jpg', '红本在手满5年业主诚心出售可改5房', '彩田村  | 5室1厅 | 148.62平米 | 西南 | 其他 | 有电梯', '高楼层(共27层)2002年建板塔结合  -  莲花', '1250万', '单价84108元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c8d07640-5531-42f4-b841-1cbd2cd18a3e.png.296x216.jpg', '福田CBD正规3居室，高层红本满5年，税少，诚心卖', '都市花园  | 3室2厅 | 80.45平米 | 东南 | 其他 | 有电梯', '高楼层(共13层)1999年建板塔结合  -  车公庙', '485万', '单价60286元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1083efd0-a3e2-4a02-809c-c0651d005eab.png.296x216.jpg', '地铁口正规一房一厅业主诚心出售满五年税费少', '旭飞华安园  | 1室1厅 | 34.05平米 | 北 | 其他 | 有电梯', '中楼层(共12层)2000年建塔楼  -  梅林', '190万', '单价55801元/平米')
('https://image1.ljcdn.com/440300-inspection/test-3401551e-b861-4914-ab49-d229e8d71199.png.296x216.jpg', '08年小区东南向精装三房，客厅大阳台，视野采光好', '水木澜山居  | 3室2厅 | 86.22平米 | 东南 | 其他 | 有电梯', '中楼层(共31层)2008年建板塔结合  -  梅林', '640万', '单价74229元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8d4db1e7-0359-417f-b5e4-7a8bfbd09330.png.296x216.jpg', '长城二花园 经典三房 红本 诚卖 70年 百 花+实 验', '长城二花园  | 3室2厅 | 109.2平米 | 南 | 其他 | 有电梯', '低楼层(共18层)1993年建板楼  -  百花', '950万', '单价86997元/平米')
('https://image1.ljcdn.com/440300-inspection/9307a7d1-d27d-438e-9722-c59c0bcc4fb1.jpg.296x216.jpg', '高层大三房，赠送一层露台，花园社区，满五唯一', '碧海红树园  | 3室1厅 | 116.19平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2003年建板塔结合  -  上下沙', '920万', '单价79181元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadb0e26303-6c82-4d15-b60d-f70ae8b2ecf1.jpg.296x216.jpg', '皇御苑大花园社区 安静看花园 24H通关  随时可看', '皇御苑一期  | 3室1厅 | 100.43平米 | 东南 | 其他 | 有电梯', '低楼层(共35层)2000年建板塔结合  -  皇岗', '520万', '单价51778元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e07eed69-6c20-4037-88ad-c3bfb7016861.png.296x216.jpg', '满五年且唯一红本在手 正规四房  楼层佳', '盛世鹏程  | 4室2厅 | 136.91平米 | 南 | 简装 | 有电梯', '中楼层(共32层)2005年建板塔结合  -  八卦岭', '1180万', '单价86189元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f3bd26ab-96b5-4311-b737-96e7732e9753.png.296x216.jpg', '祥云天都世纪大厦 1室0厅 188万', '祥云天都世纪大厦  | 1室0厅 | 34.21平米 | 北 | 其他 | 有电梯', '高楼层(共32层)2007年建塔楼  -  新洲', '188万', '单价54955元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b3702a51-a2ab-459f-a336-5ce33b4aaed6.png.296x216.jpg', '9号轨道交通沿线 刚需简装温馨2房 满五年税少业主急售', '福兴花园  | 2室2厅 | 81.63平米 | 西南 | 简装 | 有电梯', '低楼层(共18层)2005年建板塔结合  -  梅林', '440万', '单价53902元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1c51db1b-114d-44d8-9395-78c658ba3ef8.png.296x216.jpg', '两房一厅，红本在手，，交通四通八达，税费少', '鹏盛村  | 2室1厅 | 57.79平米 | 东北 | 其他 | 有电梯', '中楼层(共24层)1994年建板塔结合  -  八卦岭', '268万', '单价46375元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ffb9c914-11b8-4de9-803d-5319a66dc31d.png.296x216.jpg', '尚书苑 东南向两房 精装修 满五年 拓展7.5平大平台', '尚书苑  | 2室1厅 | 67.54平米 | 东南 | 其他 | 有电梯', '低楼层(共16层)2005年建板塔结合  -  梅林', '440万', '单价65147元/平米')
('https://image1.ljcdn.com/440300-inspection/test-3ed691c2-8bd1-46e0-88b0-a8968a3011b7.png.296x216.jpg', '梅林雕塑家园 高楼层上复试 视野景观号', '雕塑家园  | 2室1厅 | 72.13平米 | 南 | 简装 | 有电梯', '高楼层(共30层)2002年建塔楼  -  梅林', '300万', '单价41592元/平米')
('https://image1.ljcdn.com/440300-inspection/test-2da21bf1-a4a8-4f50-8f1a-f766a03bd015.png.296x216.jpg', '长怡花园 4室2厅 1180万', '长怡花园  | 4室2厅 | 123.8平米 | 南 | 精装 | 有电梯', '低楼层(共29层)2000年建板塔结合  -  百花', '1180万', '单价95316元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1fc7d5f2-9f19-4e72-a414-5e398485f135.png.296x216.jpg', '南向精装一室 楼层佳视野好，满五唯一税少', '五洲星苑  | 1室0厅 | 41.41平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2006年建板塔结合  -  景田', '315万', '单价76069元/平米')
('https://image1.ljcdn.com/440300-inspection/test-451806dd-e42c-416d-8dcb-d9cb0d67853b.png.296x216.jpg', '桐林公寓 1室1厅 220万', '桐林公寓  | 1室1厅 | 31.87平米 | 东南 | 其他 | 有电梯', '中楼层(共29层)2012年建板塔结合  -  华强南', '220万', '单价69031元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f096a3b5-6404-4fd7-bb9e-eff76d878d0f.png.296x216.jpg', '梅林  碧华庭居 满五唯一 红本在手 106平双卫三房', '碧华庭居  | 3室1厅 | 106.81平米 | 西南 | 其他 | 有电梯', '低楼层(共17层)2000年建塔楼  -  梅林', '615万', '单价57579元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1a9fb2b5-7355-4c20-ac0f-866c974409d8.png.296x216.jpg', '青海大厦 3室2厅 625万', '青海大厦  | 3室2厅 | 124.64平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2001年建板塔结合  -  景田', '625万', '单价50145元/平米')
('https://image1.ljcdn.com/440300-inspection/test-7eaa5daa-bbf7-4995-962c-5e2ca60f6886.png.296x216.jpg', '长安花园 有钥匙 红本在手 精装修 采光好带百花和实验', '长安花园  | 3室1厅 | 98.3平米 | 东北 | 其他 | 有电梯', '高楼层(共30层)1993年建塔楼  -  百花', '900万', '单价91557元/平米')
('https://image1.ljcdn.com/440300-inspection/37643d51-7d4e-472d-a513-7647539760a5.JPG.296x216.jpg', '小高层带电梯，高使用率，户数少', '新洲苑  | 3室2厅 | 104.01平米 | 南 | 其他 | 有电梯', '中楼层(共9层)2002年建板塔结合  -  新洲', '560万', '单价53841元/平米')
('https://image1.ljcdn.com/440300-inspection/test-39f85e18-d8cd-422d-bbac-8555b654916f.png.296x216.jpg', '景发花园 3室2厅 638万', '景发花园  | 3室2厅 | 107.9平米 | 西南 | 其他 | 有电梯', '高楼层(共28层)2000年建板塔结合  -  景田', '638万', '单价59129元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1aa945bc-27d4-41dc-8388-bbd63228fee8.png.296x216.jpg', '益田村 高层 朝北看花园大三房 看房方便有钥匙', '益田村  | 3室2厅 | 103.61平米 | 北 | 其他 | 有电梯', '高楼层(共32层)2002年建板塔结合  -  石厦', '650万', '单价62736元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b1fe53f3-1acc-4d5e-bd56-ef843c044afc.png.296x216.jpg', '蜜园 1室0厅 190万', '蜜园  | 1室0厅 | 34.23平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2007年建塔楼  -  新洲', '190万', '单价55507元/平米')
('https://image1.ljcdn.com/440300-inspection/test-af2b5bc1-c955-4e3c-b6d9-db05bcf0eaa5.png.296x216.jpg', '嘉葆润金座 4室1厅 680万', '嘉葆润金座  | 4室1厅 | 81.73平米 | 南 北 | 其他 | 有电梯', '中楼层(共32层)2012年建板塔结合  -  新洲', '680万', '单价83201元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b71d3445-d005-4170-9ba6-d2be747a83f3.png.296x216.jpg', '青海大厦 4室0厅 654万', '青海大厦  | 4室0厅 | 130.71平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2001年建板塔结合  -  景田', '654万', '单价50035元/平米')
('https://image1.ljcdn.com/440300-inspection/test-dfff604b-c382-42de-8d10-9cea45ac52cc.png.296x216.jpg', '有钥匙，随时看房， 诚心出售！', '深业花园  | 3室1厅 | 114.74平米 | 东南 | 其他 | 有电梯', '低楼层(共30层)2001年建塔楼  -  莲花', '1150万', '单价100227元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ad67b196-8957-43cd-8e0d-ea079edfdc2b.png.296x216.jpg', '7号线沙尾地铁站住家小区蜜园东南带露台', '蜜园  | 2室2厅 | 60.32平米 | 东南 | 其他 | 有电梯', '低楼层(共33层)2007年建塔楼  -  新洲', '390万', '单价64656元/平米')
('https://image1.ljcdn.com/440300-inspection/test-582163bf-b833-4679-a1da-24f2b2595571.png.296x216.jpg', '景洲大厦满五唯一优质房源，精装修，东临莲花山', '景洲大厦  | 2室2厅 | 79.97平米 | 东 | 精装 | 有电梯', '低楼层(共31层)1998年建板塔结合  -  景田', '510万', '单价63774元/平米')
('https://image1.ljcdn.com/440300-inspection/test-41d54c0f-448c-4700-ab03-32849b9bc181.png.296x216.jpg', '地铁口精装两房 业主诚意出售 住家温馨舒适', '祥云天都世纪大厦  | 2室1厅 | 85.26平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2007年建塔楼  -  新洲', '468万', '单价54891元/平米')
('https://image1.ljcdn.com/440300-inspection/17918751-c59d-42a0-b27a-a4e2c65aac7d.jpg.296x216.jpg', '蜜园 2室1厅 450万', '蜜园  | 2室1厅 | 59.11平米 | 东南 | 毛坯 | 有电梯', '高楼层(共33层)2007年建塔楼  -  新洲', '450万', '单价76130元/平米')
('https://image1.ljcdn.com/440300-inspection/test-eb24a277-5319-4de4-9047-ce981ec67ab1.png.296x216.jpg', '长城盛世家园一期 1室1厅 320万', '长城盛世家园一期  | 1室1厅 | 46.91平米 | 东 | 其他 | 有电梯', '中楼层(共34层)2001年建塔楼  -  莲花', '320万', '单价68216元/平米')
('https://image1.ljcdn.com/440300-inspection/test-39c2187a-00ec-4aed-b3dd-a1309c371492.png.296x216.jpg', '红本在手，满五年，南向三房二卫，户口方正用！', '星河华居  | 3室1厅 | 90.74平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2002年建板塔结合  -  皇岗', '550万', '单价60613元/平米')
('https://image1.ljcdn.com/440300-inspection/test-870519d6-9b21-4181-8b06-3a67ba621976.png.296x216.jpg', '建业小区南区 4室2厅 850万', '建业小区南区  | 4室2厅 | 93.95平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)1994年建板塔结合  -  竹子林', '850万', '单价90474元/平米')
('https://image1.ljcdn.com/440300-inspection/test-527ddbd6-b457-48f2-8625-08369dffe7db.png.296x216.jpg', '福田区委所在地，益强小+红岭中，主城区内，双地铁。', '新新家园  | 2室1厅 | 77平米 | 北 | 精装 | 有电梯', '中楼层(共32层)2002年建板塔结合  -  石厦', '550万', '单价71429元/平米')
('https://image1.ljcdn.com/440300-inspection/test-c0ee6ae0-ee2a-4ac0-82b6-6cec4da6f42f.png.296x216.jpg', '福田外国语 居家装修 高层通透四房改三房 随时看房', '天明居  | 3室1厅 | 135.36平米 | 南 | 简装 | 有电梯', '高楼层(共27层)2003年建板塔结合  -  景田', '1060万', '单价78310元/平米')
('https://image1.ljcdn.com/440300-inspection/test-d03bd693-cfcd-4b0f-ba3a-d4949abd5e99.png.296x216.jpg', '房子满5年业主唯一住房，税费低，小区带电梯', '银海苑  | 2室1厅 | 68.07平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2001年建板塔结合  -  梅林', '410万', '单价60233元/平米')
