('https://image1.ljcdn.com/320100-inspection/test-b5172b44-0260-41aa-a27f-eb6d338862b7.png.296x216.jpg', '满五唯一      拎包住  看房方便', '花雨南庭  | 3室1厅 | 79.36平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2009年建板楼  -  洪家园', '310万', '单价39063元/平米')
('https://image1.ljcdn.com/320100-inspection/97cd7d26-c296-4917-9243-c48a35b6855e.jpg.296x216.jpg', '基础设施完善 交通便利 采光好', '时光澔韵  | 3室2厅 | 127.98平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2010年建板楼  -  小行', '460万', '单价35944元/平米')
('https://image1.ljcdn.com/320100-inspection/e2b62f93-4456-4b5e-a0cf-5cf9899a8674.jpg.296x216.jpg', '南部新城 毛坯 双南户型 看房方便', '锦明家苑  | 2室1厅 | 64.9平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)1999年建板楼  -  宁南', '232万', '单价35748元/平米')
('https://image1.ljcdn.com/320100-inspection/55fe63db-0ec7-442f-8abe-1a6a5f4adffb.jpg.296x216.jpg', '金地自在城第二街区 2室2厅 149万', '金地自在城第二街区  | 2室2厅 | 63.34平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2011年建板塔结合  -  雨花台其它', '149万', '单价23524元/平米')
('https://image1.ljcdn.com/320100-inspection/a539f371-15dd-49a5-82da-0606ef3ee5ea.JPG.296x216.jpg', '视野开阔，采光充足，配套成熟，交通便利 ，精装修', '花雨南庭  | 1室1厅 | 53.8平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2009年建板楼  -  洪家园', '188万', '单价34945元/平米')
('https://image1.ljcdn.com/320100-inspection/7dd2b48b-9c6b-44d7-9960-1e9c5c54d6dc.jpg.296x216.jpg', '雨花苑  诚心出售  看房方便   采光充足', '雨花苑  | 2室1厅 | 73.1平米 | 南 北 | 其他 | 有电梯', '中楼层(共7层)1998年建板楼  -  雨花新村', '245万', '单价33516元/平米')
('https://image1.ljcdn.com/320100-inspection/a953c4df-0618-4b15-b0de-a8e1a045d5af.jpg.296x216.jpg', '大三房 婚装 保养好 采光佳 带车位', '金地自在城第二街区  | 3室2厅 | 103.95平米 | 南 北 | 精装 | 有电梯', '低楼层(共33层)2011年建板塔结合  -  雨花台其它', '237万', '单价22800元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadf0ca8144-fdc5-4109-a18a-bfb8b6d556a2.jpg.296x216.jpg', '地铁口 万科平层 三开间朝南 配套完善 业主诚心出售', '万科金色里程  | 2室2厅 | 89.22平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2010年建板塔结合  -  铁心桥', '305万', '单价34186元/平米')
('https://image1.ljcdn.com/320100-inspection/730201b9-f6cc-413f-a50e-e7ff3ae8cdfe.jpg.296x216.jpg', '南部新城 花神湖畔 卡子门 精装三房 采光好 带院子', '仁恒翠竹园  | 3室2厅 | 106.74平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2006年建塔楼  -  宁南', '468万', '单价43845元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload947a0a2e-2c46-421d-a4e6-15f2aa063bdb.jpg.296x216.jpg', '小区即将出新 出行方便 采光充足 业主诚心出售', '雨花新村四村  | 3室1厅 | 70.18平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)1986年建板楼  -  雨花新村', '190万', '单价27074元/平米')
('https://image1.ljcdn.com/320100-inspection/c11e1555-e7c6-4e57-a042-5fa175fbcdd9.jpg.296x216.jpg', '南部新城 高档小区 精装大四房 三个阳台 观景房 诚售', '仁恒翠竹园  | 4室2厅 | 172.52平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2006年建板楼  -  宁南', '720万', '单价41735元/平米')
('https://image1.ljcdn.com/320100-inspection/11d272cf-500b-405b-8bba-27ef6291ce65.jpg.296x216.jpg', '业主诚心出售  看房方便  采光充足', '康润园  | 3室1厅 | 78.69平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2003年建板楼  -  安德门', '205万', '单价26052元/平米')
('https://image1.ljcdn.com/320100-inspection/f9412427-a52c-4294-a7ed-d6e52e88c180.jpg.296x216.jpg', '应天花园毛坯三居室 双南一北厨卫朝北 满五年', '应天花园  | 3室1厅 | 71.52平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共7层)1999年建板楼  -  能仁里', '210万', '单价29363元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload43f78716-b827-4afb-9b1b-017a2fb9f978.jpg.296x216.jpg', '中间楼层 居家装修 素质住户 虹悦城 中华门', '亚东国际公寓  | 3室2厅 | 129.08平米 | 南 北 | 简装 | 有电梯', '中楼层(共27层)2009年建板塔结合  -  能仁里', '470万', '单价36412元/平米')
('https://image1.ljcdn.com/320100-inspection/53942341-b57b-47d3-8acc-461c0ef2b71c.jpg.296x216.jpg', '南部新城 南京七个国际社区之一 少有两房 低总价 诚售', '仁恒翠竹园  | 2室1厅 | 91.75平米 | 南 北 | 简装 | 有电梯', '低楼层(共7层)2004年建板楼  -  宁南', '400万', '单价43597元/平米')
('https://image1.ljcdn.com/320100-inspection/test-cc5cc73a-aaa9-464a-9b50-9f63692d9c0e.png.296x216.jpg', '商品房  楼层好  采光无遮挡  小区环境好', '琥珀森林一期  | 2室2厅 | 94.46平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2017年建板塔结合  -  铁心桥', '320万', '单价33877元/平米')
('https://image1.ljcdn.com/320100-inspection/0acff568-9351-4583-b223-a785c8a99f64.jpg.296x216.jpg', '中华门商圈  南北通透  精装修  出行方便', '亚东国际公寓  | 2室2厅 | 76.05平米 | 东南 | 其他 | 有电梯', '中楼层(共26层)2009年建板塔结合  -  能仁里', '289万', '单价38002元/平米')
('https://image1.ljcdn.com/320100-inspection/b008ae72-8ab2-4bd2-9771-fdf096a1b89d.jpg.296x216.jpg', '金地大三房 此房采光充足，莲花湖东岸，环境优美', '金地自在城第六街区  | 3室2厅 | 105.87平米 | 南 北 | 其他 | 有电梯', '中楼层(共30层)2013年建塔楼  -  雨花台其它', '283万', '单价26731元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload32620421-dea2-42bf-8190-93088f3a71aa.jpg.296x216.jpg', '蓝岸尚城 满两年 居家精装修 挑高两层 配套齐全', '蓝岸尚城  | 1室2厅 | 48.84平米 | 南 | 精装 | 有电梯', '高楼层(共12层)2008年建板塔结合  -  铁心桥', '185万', '单价37879元/平米')
('https://image1.ljcdn.com/320100-inspection/03533de2-e339-4c6d-8d50-a5af6c957233.jpg.296x216.jpg', '基础设施完善 交通便利 采光好', '名城世家花园  | 2室1厅 | 81.53平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2011年建板楼  -  小行', '298万', '单价36551元/平米')
('https://image1.ljcdn.com/320100-inspection/4a2e163c-6e26-4d15-a13d-126a26f874bf.jpg.296x216.jpg', '精装修没住过，家具家电全新，楼层位置好，诚心出售', '金地自在城第二街区  | 3室2厅 | 103.95平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2011年建板塔结合  -  雨花台其它', '235万', '单价22608元/平米')
('https://image1.ljcdn.com/320100-inspection/1fe9b8bf-23fd-4671-b8c2-245fc94716c6.jpg.296x216.jpg', '琥珀森林一期 满两年 中高楼层 南北通透两房', '琥珀森林一期  | 2室2厅 | 94.46平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2017年建板塔结合  -  铁心桥', '310万', '单价32819元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploada143781a-42db-467c-92f3-ed4c079ca463.jpg.296x216.jpg', '满2年 不临铁路 采光好 有装修 拎包入住 配套成熟', '名城世家花园  | 2室2厅 | 87.54平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2013年建板楼  -  小行', '310万', '单价35413元/平米')
('https://image1.ljcdn.com/120000-inspection/86768228-6000-4e0b-8e77-ff64cc8be931.jpg.296x216.jpg', '软件大道地铁口景明佳园 宁南 城南景明佳园赋景苑', '景明佳园赋景苑  | 2室2厅 | 73.75平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2003年建板楼  -  宁南', '192万', '单价26034元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload72ccccf7-31d5-4a0b-9cde-f7fc70a2ec1c.jpg.296x216.jpg', '满两年 中间楼层 精装 素质住户', '亚东国际公寓  | 3室2厅 | 110.42平米 | 南 北 | 精装 | 有电梯', '高楼层(共27层)2009年建板塔结合  -  能仁里', '435万', '单价39396元/平米')
('https://image1.ljcdn.com/320100-inspection/test-a56d74ec-ca8c-43d7-a3ac-0d562f24d7f2.png.296x216.jpg', '金地二期 满五 边户 朝南 楼层好 采光好  业主诚售', '金地自在城第二街区  | 3室1厅 | 73.54平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2012年建板塔结合  -  雨花台其它', '193万', '单价26245元/平米')
('https://image1.ljcdn.com/320100-inspection/b58bd5ac-59cf-4998-aced-160143b19761.jpg.296x216.jpg', '基础设施完善 交通便利  采光充足', '时光澔韵  | 2室1厅 | 89.82平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2007年建板楼  -  小行', '300万', '单价33401元/平米')
('https://image1.ljcdn.com/320100-inspection/0b8dd7ea-135f-4ff3-8b3c-1c91fe01c854.jpg.296x216.jpg', '雨花新村 配套完善  生活方便 交通便利', '雨花新村三村  | 2室1厅 | 45.67平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1988年建板塔结合  -  雨花新村', '119万', '单价26057元/平米')
('https://image1.ljcdn.com/320100-inspection/8d207b7c-5a9e-4468-be2c-44cd3120689b.jpg.296x216.jpg', '蓝岸尚城 挑高户型 实用面积大 配套齐全', '蓝岸尚城  | 2室1厅 | 50.52平米 | 南 | 精装 | 有电梯', '高楼层(共12层)2008年建板塔结合  -  铁心桥', '185万', '单价36620元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploada79bcaad-b48d-473e-bcaf-68362b856885.JPG.296x216.jpg', '满五年唯一 居家装修 南北通透 业主诚心出售 采光充足', '锦虹美苑  | 3室2厅 | 131.46平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2004年建板楼  -  能仁里', '485万', '单价36894元/平米')
('https://image1.ljcdn.com/320100-inspection/2012f1b8-d8a0-4eda-b616-3b954288e829.jpg.296x216.jpg', '万科品牌 精装复式 宁静舒适 封闭式管理 人车分流', '万科金色里程  | 2室1厅 | 68.5平米 | 南 北 | 精装 | 有电梯', '中楼层(共9层)2010年建板塔结合  -  铁心桥', '229万', '单价33431元/平米')
('https://image1.ljcdn.com/320100-inspection/f4b79430-2f6c-4f29-9fc6-ccec2cf82198.jpg.296x216.jpg', '此房毛坯 楼栋位置好 采光充足 不临街 无噪音', '宋都南郡国际南区  | 3室2厅 | 87.46平米 | 南 北 | 其他 | 有电梯', '高楼层(共19层)2016年建板楼  -  雨花台其它', '215万', '单价24583元/平米')
('https://image1.ljcdn.com/320100-inspection/5e3cbdcd-4432-4058-bced-672b8e8ccff7.jpg.296x216.jpg', '09年电梯房 消防大队家属楼 小区管理严禁 交通便利', '小行路  | 3室2厅 | 104.53平米 | 南 北 | 简装', '高楼层(共10层)板塔结合  -  安德门', '328万', '单价31379元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadf9ced05b-69f8-41d2-b2c8-4fc4ce370fe9.jpg.296x216.jpg', '应天花园 大两房 总价低 满五 业主诚售', '应天花园  | 2室2厅 | 81.95平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1997年建板楼  -  能仁里', '205万', '单价25016元/平米')
('https://image1.ljcdn.com/320100-inspection/62cbff5c-8a84-415a-93de-752e5aac3ae5.JPG.296x216.jpg', '满两年 4.8米挑高两房 采光不挡 急售', '花雨南庭  | 2室1厅 | 38.55平米 | 南 | 其他 | 有电梯', '中楼层(共5层)2009年建板楼  -  洪家园', '165万', '单价42802元/平米')
('https://image1.ljcdn.com/320100-inspection/e1c2796b-caf5-4b76-bcf2-d00864ea724b.jpg.296x216.jpg', '奥南，复式，动静分离，保养好，领包入住', '金地自在城第二街区  | 3室2厅 | 82.89平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2011年建板塔结合  -  雨花台其它', '197万', '单价23767元/平米')
('https://image1.ljcdn.com/320100-inspection/89705289-a409-4354-8b91-283764123dd8.JPG.296x216.jpg', '满五唯一 南北通透 东边户 全明户型 采光好 精装修', '锦明家苑  | 2室1厅 | 76.81平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1994年建板楼  -  宁南', '253万', '单价32939元/平米')
('https://image1.ljcdn.com/320100-inspection/f1ce0bbb-748f-412e-aac6-aed290d8d5d8.jpg.296x216.jpg', '雨花新村二村 楼层好 双卧朝南 交通便利', '雨花新村二村  | 2室1厅 | 69.17平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1983年建板楼  -  雨花新村', '176万', '单价25445元/平米')
('https://image1.ljcdn.com/320100-inspection/42b764fe-3fa0-42c2-affc-f715cde1f890.jpg.296x216.jpg', '小三房  总价低  交通方便  配套齐全', '春江新城新河苑一期  | 3室1厅 | 69.86平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2005年建板楼  -  铁心桥', '165万', '单价23619元/平米')
('https://image1.ljcdn.com/320100-inspection/43a2d824-7db1-4fa8-beae-90c8510b0b29.jpg.296x216.jpg', '挑高方正3房 婚装 地铁口 业主急售 商品房', '蓝岸尚城  | 3室1厅 | 59.63平米 | 西 | 其他 | 有电梯', '高楼层(共12层)2008年建板塔结合  -  铁心桥', '231万', '单价38739元/平米')
('https://image1.ljcdn.com/320100-inspection/4497c692-f452-44cb-b370-8be86eb9de9e.jpg.296x216.jpg', '万科金色里程复式精装修交通便配套齐全业主诚售', '万科金色里程  | 2室2厅 | 70.89平米 | 南 | 其他 | 有电梯', '高楼层(共9层)2010年建板塔结合  -  铁心桥', '240万', '单价33856元/平米')
('https://image1.ljcdn.com/320100-inspection/5e7b500a-d8bf-4703-ad29-6a05c75e01e6.jpg.296x216.jpg', '楼层好 采光佳 视野开阔 交通便利 业主诚心出售', '四季阳光花园  | 3室2厅 | 95.94平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)2005年建板塔结合  -  雨花新村', '350万', '单价36482元/平米')
('https://image1.ljcdn.com/320100-inspection/16e21f9b-a644-428c-98ae-ee9b8081ade8.jpg.296x216.jpg', '时光澔韵 装修好三房 配套完善 拎包入住 小行地铁站', '时光澔韵  | 3室2厅 | 108.08平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2010年建板楼  -  小行', '370万', '单价34234元/平米')
('https://image1.ljcdn.com/320100-inspection/5a466b94-978b-4783-88c1-5e1dc076c2df.jpg.296x216.jpg', '此房边户，采光充足，交通便利，生活配套设施齐', '德盈国际  | 2室1厅 | 78.24平米 | 南 | 其他 | 有电梯', '低楼层(共29层)2012年建板楼  -  能仁里', '280万', '单价35788元/平米')
('https://image1.ljcdn.com/320100-inspection/8ee86c86-2baf-478f-a800-d1143a1f0c64.jpg.296x216.jpg', '雨花新村三村 精装修  楼层好  采光充足 配套成熟', '雨花新村三村  | 2室1厅 | 58.7平米 | 南 北 | 其他 | 有电梯', '中楼层(共7层)1985年建板楼  -  雨花新村', '160万', '单价27258元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload070c69a2-4aeb-48b9-a2c9-dce77f3439a0.jpg.296x216.jpg', '万科金色里程 精装复式 品牌物业 小区环境好', '万科金色里程  | 2室2厅 | 68.5平米 | 南 | 其他 | 有电梯', '中楼层(共9层)2010年建板塔结合  -  铁心桥', '230万', '单价33577元/平米')
('https://image1.ljcdn.com/320100-inspection/0c7c40a8-1075-4a87-8846-e2642f47b7af.jpg.296x216.jpg', '此房楼层好 视野开阔，采光不挡，业主诚心出售', '亚东国际公寓  | 2室2厅 | 89.39平米 | 南 | 其他 | 有电梯', '中楼层(共28层)2009年建板塔结合  -  能仁里', '335万', '单价37477元/平米')
('https://image1.ljcdn.com/320100-inspection/ecb227fd-7500-4360-b043-d518ef567cd3.jpg.296x216.jpg', '蓝岸尚城 挑高户型 配套齐全 精装修 实用面积大', '蓝岸尚城  | 2室2厅 | 38.46平米 | 北 | 精装 | 有电梯', '低楼层(共12层)2008年建板塔结合  -  铁心桥', '136万', '单价35362元/平米')
('https://image1.ljcdn.com/320100-inspection/4e18f1a7-28ec-4dfc-a45d-585ddbbf1d40.jpg.296x216.jpg', '先锋青年公寓 1室1厅 159万', '先锋青年公寓  | 1室1厅 | 49.01平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2010年建板塔结合  -  雨花新村', '159万', '单价32443元/平米')
('https://image1.ljcdn.com/320100-inspection/test-22b8d2a6-711e-4907-b581-0add06351752.png.296x216.jpg', '南部新城  楼层好  拎包入住', '翠岛花城蔷薇苑  | 3室2厅 | 135.73平米 | 南 北 | 精装 | 有电梯', '中楼层(共10层)2004年建板塔结合  -  宁南', '520万', '单价38312元/平米')
('https://image1.ljcdn.com/320100-inspection/d4e587c8-41e5-490c-a05e-51d41690e41b.jpg.296x216.jpg', '主城南部新城 南北通透  户型方正', '翠岛花城柳丝苑  | 3室2厅 | 117.42平米 | 南 北 | 其他 | 有电梯', '低楼层(共10层)2005年建板塔结合  -  宁南', '486万', '单价41390元/平米')
('https://image1.ljcdn.com/320100-inspection/8affb08b-05c7-4422-937c-841af232f19c.jpg.296x216.jpg', '奥南金地 无增值税 精装修保养好3房 采光通风好', '金地自在城第六街区  | 3室2厅 | 84.33平米 | 南 西 | 其他 | 有电梯', '中楼层(共30层)2013年建塔楼  -  雨花台其它', '216万', '单价25614元/平米')
('https://image1.ljcdn.com/320100-inspection/1dc968d9-c921-485c-abcc-569ab1d2cceb.jpg.296x216.jpg', '能仁里16号   装修好   诚心出售  看房方便', '能仁里16号  | 1室1厅 | 38.31平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1985年建板楼  -  雨花新村', '112万', '单价29236元/平米')
('https://image1.ljcdn.com/320100-inspection/48050d6c-7043-47d6-b566-51976bd37a03.jpg.296x216.jpg', '邓府山村  配套完善  交通便利 配套完善', '邓府山村  | 2室2厅 | 70.2平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)1998年建板楼  -  雨花新村', '195万', '单价27778元/平米')
('https://image1.ljcdn.com/320100-inspection/d5963530-191b-4c32-8e1d-7a83826b470e.jpg.296x216.jpg', '总价低 新装修婚房 户型方正 3房两南一北 通透', '雨花新村二村  | 3室1厅 | 85.04平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1983年建板楼  -  雨花新村', '223万', '单价26223元/平米')
('https://image1.ljcdn.com/320100-inspection/c226fb21-e750-4857-ba98-e475af018493.jpg.296x216.jpg', '此房满两年 楼层好 视野开阔，采光不挡，业主诚心出售', '亚东国际公寓  | 2室1厅 | 94.66平米 | 南 | 其他 | 有电梯', '中楼层(共27层)2009年建板塔结合  -  能仁里', '340万', '单价35919元/平米')
('https://image1.ljcdn.com/320100-inspection/5cd4c4c6-e278-42aa-9ee7-7a9e6ada98db.jpg.296x216.jpg', '安德门南北通透两房 居家好装修 银城物业电梯房', '时光澔韵  | 2室2厅 | 86.95平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2007年建板楼  -  小行', '298万', '单价34273元/平米')
('https://image1.ljcdn.com/320100-inspection/3c8f5586-fe62-4e51-9f69-b4fa1526a686.jpg.296x216.jpg', '装修还不错 配套完善 好楼层 采光无遮挡', '先锋青年公寓  | 2室1厅 | 69.26平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2010年建板塔结合  -  雨花新村', '231万', '单价33353元/平米')
('https://image1.ljcdn.com/120000-inspection/eaba31de-23ec-4ba7-98cb-41931de7f98b.jpg.296x216.jpg', '富力尚悦居二期 3室2厅 238万', '富力尚悦居二期  | 3室2厅 | 97.36平米 | 南 | 其他 | 有电梯', '高楼层(共25层)2016年建板塔结合  -  雨花台其它', '238万', '单价24446元/平米')
('https://image1.ljcdn.com/320100-inspection/b408d2e3-53c3-4652-b5f9-551a1c314340.jpg.296x216.jpg', '蓝岸尚城  挑高户型 满五唯一  采光好 实用面积大', '蓝岸尚城  | 2室1厅 | 50.69平米 | 南 | 精装 | 有电梯', '高楼层(共12层)2008年建板塔结合  -  铁心桥', '185万', '单价36497元/平米')
('https://image1.ljcdn.com/320100-inspection/3c8ca769-2125-4dd9-b06e-864c47c4eb5d.jpg.296x216.jpg', '满五年商品房 挑高两层诚心出售 朝南采光好', '蓝岸尚城  | 2室2厅 | 50.19平米 | 南 | 其他 | 有电梯', '低楼层(共12层)2008年建板塔结合  -  铁心桥', '180万', '单价35864元/平米')
('https://image1.ljcdn.com/320100-inspection/bfbd02ff-83e2-44e7-b472-bff90e22c87d.jpg.296x216.jpg', '基础设施完善 交通便利  采光好', '时光澔韵  | 2室1厅 | 83.32平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2010年建板楼  -  小行', '295万', '单价35406元/平米')
('https://image1.ljcdn.com/320100-inspection/ecae8951-d203-4de1-a322-3e5a9a3fe20c.jpg.296x216.jpg', '房子面积大，顶跃，有阳光房，简单装修', '翠岛花城菊香苑  | 5室2厅 | 184.95平米 | 南 北 | 其他 | 有电梯', '高楼层(共10层)2007年建板塔结合  -  宁南', '650万', '单价35145元/平米')
('https://image1.ljcdn.com/320100-inspection/913931a2-51d6-4fd2-ac36-81e1083df5e8.jpg.296x216.jpg', '此房居家装修，视野开阔，交通方便', '翠岛花城水芙苑  | 1室1厅 | 63.2平米 | 南 北 | 其他 | 有电梯', '高楼层(共16层)2004年建板塔结合  -  宁南', '270万', '单价42722元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload2579372c-432b-4ff0-8e5c-5abf8f42ccf4.jpg.296x216.jpg', '善水湾花园 河景房 三室两厅 纯毛坯', '善水湾花园  | 3室2厅 | 117.95平米 | 南 北 | 其他', '高楼层(共11层)2013年建板塔结合  -  铁心桥', '370万', '单价31370元/平米')
('https://image1.ljcdn.com/320100-inspection/cfa2bc3c-e0c0-4f6f-a5f1-e8799cde7d7d.jpg.296x216.jpg', '奥南金地自在城 满2年精装修 视野好采光棒 配套成熟', '金地自在城第六街区  | 2室2厅 | 84.33平米 | 东 南 | 其他 | 有电梯', '高楼层(共30层)2013年建塔楼  -  雨花台其它', '214万', '单价25377元/平米')
('https://image1.ljcdn.com/320100-inspection/6d5a4ce9-c2fa-48fd-90a1-7f8e9ed5448f.jpg.296x216.jpg', '奥南三房，30万精装，满两年，业主诚售看房随时方便', '金地自在城第一街区  | 3室2厅 | 86.96平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2011年建塔楼  -  雨花台其它', '235万', '单价27024元/平米')
('https://image1.ljcdn.com/320100-inspection/be2d1deb-733e-4a23-84c2-b86bc38f407e.jpg.296x216.jpg', '春江新城韩府坊 S3号线地铁口 双南户型 楼层好 满五年', '春江新城韩府坊  | 2室1厅 | 73.85平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2005年建板楼  -  铁心桥', '185万', '单价25051元/平米')
('https://image1.ljcdn.com/320100-inspection/test-d0de331a-0d50-4f1d-87ca-c7986c6b1fd8.png.296x216.jpg', '金地自在城三期 中高层 视野好 采光佳 大面积四房', '金地自在城第三街区  | 4室2厅 | 168.85平米 | 南 | 其他 | 有电梯', '中楼层(共24层)2012年建板塔结合  -  雨花台其它', '400万', '单价23690元/平米')
('https://image1.ljcdn.com/320100-inspection/6b3cd488-db50-4169-adcc-fd1464554908.jpg.296x216.jpg', '雨花客厅 1室1厅 108万', '雨花客厅  | 1室1厅 | 47.04平米 | 东 | 其他', '中楼层(共17层)2017年建塔楼  -  雨花新村', '108万', '单价22960元/平米')
('https://image1.ljcdn.com/320100-inspection/f5243d1f-3056-4713-89bf-c693c030c5ba.jpg.296x216.jpg', '安德门地铁  交通方便  配套齐全  毛坯3房 急售', '金蕊家苑  | 3室2厅 | 105.81平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共6层)2007年建板楼  -  安德门', '323万', '单价30527元/平米')
