('https://image1.ljcdn.com/210100-inspection/91925fd1-4c5c-4156-aa19-5bfdf4ebed4f.JPG.296x216.jpg', '金域蓝湾，小高层精装修，双南双北四室两厅', '万科金域蓝湾  | 4室2厅 | 176.47平米 | 南 北 | 精装', '中楼层(共11层)2009年建板楼  -  浑南新区', '290万', '单价16434元/平米')
('https://image1.ljcdn.com/210100-inspection/6ce118f5-61d0-4e4e-8a33-7d5ed0d07c8b.JPG.296x216.jpg', '郡原小石城 2室2厅 71万', '郡原小石城  | 2室2厅 | 79.21平米 | 东南 | 其他', '中楼层(共33层)2018年建板楼  -  浑南新区', '71万', '单价8964元/平米')
('https://image1.ljcdn.com/210100-inspection/a5c89aa1-31d1-4c6f-b7eb-56e5d5ca3246.JPG.296x216.jpg', '浑南奥体 万科金域蓝湾 南北通透两室 采光好拎包即住', '万科金域蓝湾  | 2室2厅 | 104.6平米 | 南 北 | 精装', '低楼层(共29层)2009年建板楼  -  浑南新区', '158万', '单价15106元/平米')
('https://image1.ljcdn.com/210100-inspection/af0ef740-0eda-4523-acb6-2824fa1b56ed.jpg.296x216.jpg', '阳光新嘉园 1室南向67.72平44万 一楼带花园', '阳光新嘉园  | 1室1厅 | 67.72平米 | 南 | 简装', '低楼层(共7层)2003年建板楼  -  浑南新区', '44万', '单价6498元/平米')
('https://image1.ljcdn.com/210100-inspection/49f33f8e-1611-4166-865d-09c8aff14133.jpg.296x216.jpg', '此房清水户型好，可随意改动，可塑性高，看房方便', '浦江苑御品  | 3室2厅 | 143.23平米 | 南 西 北 | 其他', '低楼层(共29层)2014年建板楼  -  浑南新区', '164万', '单价11451元/平米')
('https://image1.ljcdn.com/210100-inspection/4379aaaa-899e-4f1f-acc4-9ce33363bcc7.jpg.296x216.jpg', '万科新榆公馆 三室南北朝向 采光好', '万科新榆公馆  | 3室2厅 | 139.22平米 | 南 北 | 精装', '低楼层(共9层)2008年建板楼  -  浑南新区', '130万', '单价9338元/平米')
('https://image1.ljcdn.com/210100-inspection/1be65306-7186-426e-b0c3-a41aefaee1f0.jpg.296x216.jpg', '名流印象四期 1室1厅 72万', '名流印象四期  | 1室1厅 | 68.05平米 | 西 | 精装', '低楼层(共33层)2012年建板楼  -  浑南新区', '72万', '单价10581元/平米')
('https://image1.ljcdn.com/210100-inspection/759b8b16-e1b5-400e-a6e7-d5b327ca1503.jpg.296x216.jpg', '浑南 阳光新嘉园 6楼带阁楼 精装修 满五年无大税', '阳光新嘉园  | 2室2厅 | 84.02平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  浑南新区', '53万', '单价6309元/平米')
('https://image1.ljcdn.com/210100-inspection/66fa29f6-5c75-49c1-9b8b-19b7bc91bcb9.jpg.296x216.jpg', '首创国际城 4室2厅 200万', '首创国际城  | 4室2厅 | 186.22平米 | 南 北 | 精装', '中楼层(共33层)2010年建板楼  -  浑南新区', '200万', '单价10740元/平米')
('https://image1.ljcdn.com/210100-inspection/66c7bc82-2749-4b0f-ba67-2f85be532099.JPG.296x216.jpg', '浑南   奥体 精装一室   高楼层  采光视野好', '名流印象四期  | 1室1厅 | 68.05平米 | 东 南 | 其他', '高楼层(共33层)2012年建板楼  -  浑南新区', '73万', '单价10728元/平米')
('https://image1.ljcdn.com/210100-inspection/bd206e95-d3db-4c15-a16b-c30888655973.JPG.296x216.jpg', '文华街三号院 清水三室 采光好。', '文华街三号院  | 3室2厅 | 116.24平米 | 南 北 | 其他', '低楼层(共30层)2012年建板楼  -  浑南新区', '90万', '单价7743元/平米')
('https://image1.ljcdn.com/210100-inspection/480ddcf8-1638-4eb6-befa-b93eb0a3d2ae.jpg.296x216.jpg', '浑南奥体 首创国际城 精装一室中间层 采光好不临街', '首创国际城  | 1室1厅 | 51.67平米 | 西北 | 精装', '高楼层(共24层)2010年建板楼  -  浑南新区', '57万', '单价11032元/平米')
('https://image1.ljcdn.com/210100-inspection/b31c1e60-351d-413c-a271-4ab777696f94.JPG.296x216.jpg', '浑南区 建筑大学 万科新里程 三室 南北通透', '万科新里程  | 3室2厅 | 125.88平米 | 南 北 | 简装', '低楼层(共22层)2009年建板楼  -  浑南新区', '136万', '单价10804元/平米')
('https://image1.ljcdn.com/210100-inspection/e6de5dbb-aafc-4a87-b95f-bb0815b88072.jpg.296x216.jpg', '浑南奥体首创国际城 南北两室 中等楼层不挡光不临街', '首创国际城  | 2室2厅 | 95.8平米 | 南 北 | 简装', '中楼层(共34层)2010年建板楼  -  浑南新区', '115万', '单价12005元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload9f821f17-00f4-45e1-b0ef-e1d0498d5969.jpg.296x216.jpg', '月星国际城 小两室南向 带装修 生活配套齐全', '月星  | 2室1厅 | 66.49平米 | 南 | 其他', '低楼层(共32层)板楼  -  浑南新区', '57万', '单价8573元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload2043a8f2-031f-4f75-90f7-a4a5238c626e.JPG.296x216.jpg', '浑南不把山不临街精装修不一不顶十年未住在水一方小区', '在水一方西园  | 3室1厅 | 91.29平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  浑南新区', '69万', '单价7559元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadc251c43c-8264-4eb2-a737-2c2233703c11.JPG.296x216.jpg', '沿海赛洛城 4室2厅 120万', '沿海赛洛城  | 4室2厅 | 138.85平米 | 南 北 | 其他', '高楼层(共33层)2012年建板塔结合  -  浑南新区', '120万', '单价8643元/平米')
('https://image1.ljcdn.com/210100-inspection/0c608f7c-1b18-4418-ba45-32ffc6211898.jpg.296x216.jpg', '金地二期 精装2居室 好楼层 采光好', '金地滨河国际  | 2室2厅 | 86.11平米 | 西南 北 | 其他', '中楼层(共31层)2010年建板楼  -  浑南新区', '108万', '单价12543元/平米')
('https://image1.ljcdn.com/210100-inspection/e90942ed-76f9-43da-8376-8774b888a0d2.JPG.296x216.jpg', '融城时代 3室1厅 133万', '融城时代  | 3室1厅 | 143.4平米 | 南 北 | 其他', '中楼层(共11层)2006年建板楼  -  浑南新区', '133万', '单价9275元/平米')
('https://image1.ljcdn.com/210100-inspection/477f28b4-d6e9-4fb0-aca0-5789a47c2808.JPG.296x216.jpg', '浑南区  金地滨河国际左岸 物业环境好 三居室', '金地滨河国际·左岸  | 3室2厅 | 74.26平米 | 西南 北 | 精装', '低楼层(共34层)2015年建板楼  -  浑南新区', '96万', '单价12928元/平米')
('https://image1.ljcdn.com/210100-inspection/1b90ffb5-3cb2-4ba7-9ce5-9dec5caa72df.jpg.296x216.jpg', '浑南 万科新榆公馆 南北通透两室', '万科新榆公馆  | 2室1厅 | 95.74平米 | 南 北 | 其他', '高楼层(共10层)2008年建板楼  -  浑南新区', '91万', '单价9505元/平米')
('https://image1.ljcdn.com/210100-inspection/2a96c0c5-30ec-4bc4-b2cc-3c944520effa.JPG.296x216.jpg', '浑南区奥体建大万科金地金水富民桥旁河畔一期', '河畔新城一期  | 3室2厅 | 127平米 | 南 北 | 精装', '低楼层(共9层)2007年建板楼  -  浑南新区', '135万', '单价10630元/平米')
('https://image1.ljcdn.com/210100-inspection/a2ffbd9a-d6f4-4653-a75b-f3c3e59acd8e.JPG.296x216.jpg', '佰代宜居朝南复式精装修看房方便', '新华佰代宜居  | 1室1厅 | 50.69平米 | 南 | 简装', '高楼层(共10层)2009年建塔楼  -  浑南新区', '65万', '单价12824元/平米')
('https://image1.ljcdn.com/210100-inspection/5a282de5-4b81-4f37-b761-1270c9a85841.jpg.296x216.jpg', '浦江御景湾 2室1厅 96万', '浦江御景湾  | 2室1厅 | 74.55平米 | 南 | 其他', '高楼层(共16层)2016年建板楼  -  浑南新区', '96万', '单价12878元/平米')
('https://image1.ljcdn.com/210100-inspection/0e7b354c-6568-447a-b995-132f43b0d6d4.JPG.296x216.jpg', '奥体建大金地檀溪 南北通 两室两厅 精装修 一楼带花园', '金地檀溪  | 2室2厅 | 87.21平米 | 南 北 | 简装', '低楼层(共30层)2014年建板楼  -  浑南新区', '130万', '单价14907元/平米')
('https://image1.ljcdn.com/210100-inspection/c1ba13f6-aa44-48f2-9121-f20468606e22.JPG.296x216.jpg', '华发岭南荟 2室2厅 113万', '华发岭南荟  | 2室2厅 | 88.28平米 | 南 北 | 精装', '高楼层(共24层)2013年建板楼  -  浑南新区', '113万', '单价12801元/平米')
('https://image1.ljcdn.com/210100-inspection/c167fee2-2b36-46e0-b1ca-830410ed1d25.JPG.296x216.jpg', '浑南新区 沈音 在水一方东园 楼层好', '在水一方东园  | 1室1厅 | 57.12平米 | 东北 | 其他', '低楼层(共12层)板楼  -  浑南新区', '46万', '单价8054元/平米')
('https://image1.ljcdn.com/210100-inspection/b685758c-d6fd-4482-9c4a-780415a98f95.JPG.296x216.jpg', '浑南新区 建筑大学和音乐学院旁', '雍熙金园  | 4室2厅 | 168.05平米 | 南 北 | 其他', '中楼层(共9层)2007年建板楼  -  浑南新区', '155万', '单价9224元/平米')
('https://image1.ljcdn.com/210100-inspection/test-e5e2c321-7e06-4bc6-a570-08fb956026f4.png.296x216.jpg', '建大旁  三室  拎包入住 品质小区', '金地檀溪  | 3室2厅 | 124.12平米 | 南 北 | 精装', '中楼层(共30层)2014年建板楼  -  浑南新区', '190万', '单价15308元/平米')
('https://image1.ljcdn.com/210100-inspection/f4f181bd-c616-458c-b12f-e8bc4c948a00.jpg.296x216.jpg', '浑南奥体附 精装三室 南北通透', '名流印象四期  | 3室2厅 | 138.42平米 | 南 北 | 其他', '低楼层(共33层)2012年建板楼  -  浑南新区', '163万', '单价11776元/平米')
('https://image1.ljcdn.com/210100-inspection/5e91b574-ce51-4734-b490-39069ef50901.jpg.296x216.jpg', '万科明天广场 2室2厅 133万', '万科明天广场  | 2室2厅 | 89.76平米 | 南 北 | 其他', '中楼层(共34层)2012年建板楼  -  浑南新区', '133万', '单价14818元/平米')
('https://image1.ljcdn.com/210100-inspection/f584c9d6-e9a4-4b05-a1e4-003f3265522a.jpg.296x216.jpg', '名流印象精装三室南北通透视野好全天采光浑南奥体商圈', '名流印象四期  | 3室2厅 | 137.1平米 | 南 北 | 其他', '高楼层(共33层)2012年建板楼  -  浑南新区', '153万', '单价11160元/平米')
('https://image1.ljcdn.com/210100-inspection/20a2befc-45e2-4ab2-bfc9-92debf2b95b7.jpg.296x216.jpg', '浑南新区 首创国际城 南北通透2室 精装修中间楼层！', '首创国际城  | 2室2厅 | 95.89平米 | 南 北 | 其他', '中楼层(共34层)2010年建板楼  -  浑南新区', '122万', '单价12723元/平米')
('https://image1.ljcdn.com/210100-inspection/test-79819b8f-8f59-4bb2-b567-9526a02742e7.png.296x216.jpg', '建大旁  洋房 3室两厅两卫  南北通透 精装修', '金地檀溪  | 3室2厅 | 143.23平米 | 南 北 | 其他', '中楼层(共5层)2014年建板楼  -  浑南新区', '255万', '单价17804元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload49f7909f-d035-472e-93ce-4200d9057db0.JPG.296x216.jpg', '中海康城洋房 白塔河路站旁 园区景观喷泉位置 精装修', '中海康城橙郡  | 3室2厅 | 124.39平米 | 南 北 | 精装', '低楼层(共7层)2016年建板楼  -  浑南新区', '168万', '单价13506元/平米')
('https://image1.ljcdn.com/210100-inspection/78a2a706-09a1-4869-a7c8-a2963a4a29ad.JPG.296x216.jpg', '泰荣湾 浑南奥体 建筑大学板块  两室清水 诚心出售', '泰荣湾  | 2室1厅 | 72.63平米 | 南 | 毛坯', '高楼层(共26层)2010年建板楼  -  浑南新区', '64万', '单价8812元/平米')
('https://image1.ljcdn.com/210100-inspection/2225880c-f3c5-4176-b81e-f75d9b7f4ebe.JPG.296x216.jpg', '浑南建大 金地滨河国际悦城 精装修两室 南北标准户型', '金地滨河国际·悦城  | 2室2厅 | 83.02平米 | 南 北 | 精装', '低楼层(共31层)2010年建板塔结合  -  浑南新区', '95万', '单价11444元/平米')
('https://image1.ljcdn.com/210100-inspection/abc9d8b9-8269-499a-8846-6dd868a47678.jpg.296x216.jpg', '首创光和城 南北通透两室 河景房 视野好 中间楼层', '首创光和城  | 2室2厅 | 77.8平米 | 南 北 | 毛坯', '中楼层(共33层)2017年建板楼  -  浑南新区', '73万', '单价9384元/平米')
('https://image1.ljcdn.com/210100-inspection/31c7e051-58c2-4a08-8bbd-33247d6b7af4.jpg.296x216.jpg', '万科明天广场 2室1厅 131万', '万科明天广场  | 2室1厅 | 93.56平米 | 南 北 | 精装', '中楼层(共30层)板楼  -  浑南新区', '131万', '单价14002元/平米')
('https://image1.ljcdn.com/210100-inspection/98903365-997a-4f14-bdd5-a4740dc44cd1.JPG.296x216.jpg', '浑南 泰荣湾 两室 精装修 中间楼层 随时可看', '泰荣湾  | 2室1厅 | 67.25平米 | 南 北 | 精装', '中楼层(共5层)2010年建板楼  -  浑南新区', '72万', '单价10707元/平米')
('https://image1.ljcdn.com/210100-inspection/f8c8fab4-6f1f-4b83-bb11-41df1fe078e7.jpg.296x216.jpg', '月星 2室1厅 58万', '月星  | 2室1厅 | 66.49平米 | 南 | 毛坯', '中楼层(共32层)板楼  -  浑南新区', '58万', '单价8724元/平米')
('https://image1.ljcdn.com/210100-inspection/d97faebd-7485-436e-9372-baf8bc40bd17.jpg.296x216.jpg', '佳园精装南北两室 户型方正 有阁楼露台', '佳园新村  | 2室2厅 | 118.71平米 | 南 西 北 | 其他', '高楼层(共6层)2004年建暂无数据  -  浑南新区', '110万', '单价9267元/平米')
('https://image1.ljcdn.com/210100-inspection/074560d5-24c6-41a3-a30b-f00d5e81e6a8.jpg.296x216.jpg', '首创光和城 南北三室一卫 精装修 随时看', '首创光和城  | 3室2厅 | 87.7平米 | 南 北 | 精装', '高楼层(共27层)2017年建板楼  -  浑南新区', '98万', '单价11175元/平米')
('https://image1.ljcdn.com/210100-inspection/e06c140b-d2d8-49ba-b4b5-ab9aee288ba8.jpg.296x216.jpg', '市政府 万达旁 带装修3室南北 没住过 中间楼层 采光好', '旭辉御府  | 3室2厅 | 75.64平米 | 南 西 北 | 精装', '高楼层(共33层)板楼  -  浑南新区', '86万', '单价11370元/平米')
('https://image1.ljcdn.com/210100-inspection/2224e094-653a-4aa5-9774-36db0b18adf8.JPG.296x216.jpg', '浑南奥体+建筑大学旁+精装小两室+金地滨河国际左岸', '金地滨河国际·左岸  | 2室2厅 | 75.29平米 | 东 南 北 | 精装', '高楼层(共24层)2015年建板楼  -  浑南新区', '88万', '单价11689元/平米')
('https://image1.ljcdn.com/210100-inspection/f580e4b4-bdb8-478c-948a-0b2f18c45ec5.JPG.296x216.jpg', '名流公馆 3室2厅 150万', '名流公馆  | 3室2厅 | 126.86平米 | 南 北 | 其他', '高楼层(共33层)2014年建板塔结合  -  浑南新区', '150万', '单价11825元/平米')
('https://image1.ljcdn.com/210100-inspection/3ec9c3e6-e249-475f-bf9b-1a897b85afdf.JPG.296x216.jpg', '清水房 中间楼层 交通便利采光好', '金水花城一期  | 3室2厅 | 239.78平米 | 南 北 | 其他', '中楼层(共33层)2005年建塔楼  -  浑南新区', '159万', '单价6632元/平米')
('https://image1.ljcdn.com/210100-inspection/a6d4276e-fb62-406b-bf98-70bd8ceda362.JPG.296x216.jpg', '浑南建大 金地滨河国际上城  精装南北通透 三室两厅', '金地滨河国际·上城  | 2室2厅 | 86.71平米 | 南 北 | 精装', '高楼层(共30层)2009年建板塔结合  -  浑南新区', '102万', '单价11764元/平米')
('https://image1.ljcdn.com/210100-inspection/e1abbd32-af60-458a-b977-46279945396a.jpg.296x216.jpg', '华发精选三室房源.标准南北通透.楼层好.采光好.', '华发首府  | 3室2厅 | 137.9平米 | 南 北 | 其他', '高楼层(共33层)2015年建板塔结合  -  浑南新区', '220万', '单价15954元/平米')
('https://image1.ljcdn.com/210100-inspection/2390028f-4e29-493b-8e64-21e9d6594796.jpg.296x216.jpg', '名流印象四期 1室1厅 70万', '名流印象四期  | 1室1厅 | 62平米 | 西北 | 其他', '低楼层(共33层)2012年建板楼  -  浑南新区', '70万', '单价11291元/平米')
('https://image1.ljcdn.com/210100-inspection/e6628c42-609f-471e-840a-ff6e57e63d29.JPG.296x216.jpg', '浑南 奥体 金水花城 交通便利 配套齐全', '金水花城一期  | 3室2厅 | 140.06平米 | 西南 | 精装', '高楼层(共35层)2005年建塔楼  -  浑南新区', '115万', '单价8211元/平米')
('https://image1.ljcdn.com/210100-inspection/test-cf2537f2-ddcf-4c7a-9842-6e2fc324cfd5.png.296x216.jpg', '浑南奥体商圈21世纪广场楼层好简单装修小户型配套齐全', '同方世纪大厦  | 1室0厅 | 46.64平米 | 北 | 简装', '低楼层(共31层)2009年建板楼  -  浑南新区', '38万', '单价8148元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload28cee212-6177-4aec-a63f-a92f145eb701.JPG.296x216.jpg', '万科金域蓝湾清水房大三居顶楼带挑空', '万科金域蓝湾  | 3室2厅 | 146.82平米 | 南 北 | 毛坯', '高楼层(共29层)2009年建板楼  -  浑南新区', '218万', '单价14849元/平米')
('https://image1.ljcdn.com/210100-inspection/5ce47a01-e824-4324-8663-8d8210c9d747.jpg.296x216.jpg', '浦江苑小高层，精装修，能看河，有露台，东西都送', '浦江苑一期  | 3室2厅 | 172.52平米 | 南 北 | 其他', '高楼层(共12层)2003年建板楼  -  浑南新区', '165万', '单价9565元/平米')
('https://image1.ljcdn.com/210100-inspection/8a9dbe45-fecb-496a-bcf4-0fc187701afe.JPG.296x216.jpg', '建筑大学 金地檀溪 高层精装三室 采光好', '金地檀溪  | 3室2厅 | 125平米 | 南 北 | 精装', '低楼层(共30层)2014年建板楼  -  浑南新区', '160万', '单价12800元/平米')
('https://image1.ljcdn.com/210100-inspection/test-59743c50-2eb1-4eb6-a908-6c33045a6659.png.296x216.jpg', '浑南 奥体 沿海赛洛城 西向开间', '沿海赛洛城  | 1室0厅 | 53.73平米 | 西 | 简装', '高楼层(共33层)2012年建板塔结合  -  浑南新区', '44.5万', '单价8283元/平米')
('https://image1.ljcdn.com/210100-inspection/fbc522ac-8f03-4ba5-9de7-b31558a8aee1.jpg.296x216.jpg', '浑南首创国际精装修南向一居室看房方便', '首创国际城  | 1室1厅 | 47.99平米 | 南 | 精装', '高楼层(共34层)2010年建板楼  -  浑南新区', '64万', '单价13337元/平米')
('https://image1.ljcdn.com/210100-inspection/451acbaa-dad9-4684-bb31-d0ff58da3b84.jpg.296x216.jpg', '保利达江湾城二期 小户型 南向采光好', '保利达江湾城二期  | 1室1厅 | 50.15平米 | 南 | 其他', '低楼层(共32层)2015年建板楼  -  浑南新区', '75万', '单价14956元/平米')
('https://image1.ljcdn.com/210100-inspection/cf7d4ed8-0ded-4b68-a747-73fbbbc95d06.jpg.296x216.jpg', '卓越平方小区 3室2厅 86万', '卓越平方小区  | 3室2厅 | 127.8平米 | 南 北 | 精装', '高楼层(共6层)板楼  -  浑南新区', '86万', '单价6730元/平米')
('https://image1.ljcdn.com/210100-inspection/4c2e6f72-cfb2-4885-aff0-21e9e5f68ad6.jpg.296x216.jpg', '浑南 万科新榆公馆 复式 清水房', '万科新榆公馆  | 1室1厅 | 84.98平米 | 南 | 其他', '高楼层(共11层)2008年建板楼  -  浑南新区', '60万', '单价7061元/平米')
('https://image1.ljcdn.com/210100-inspection/24f7ab10-feb2-4684-b075-43d2584f363b.JPG.296x216.jpg', '金地檀溪30万精装修3室 新上房源 随时可看。', '金地檀溪  | 3室2厅 | 123.97平米 | 南 北 | 精装', '高楼层(共30层)2014年建板楼  -  浑南新区', '165万', '单价13310元/平米')
('https://image1.ljcdn.com/210100-inspection/c15814c1-d1fc-4ada-93f9-9ef13ccc65a8.jpg.296x216.jpg', '满五 双阳 精装修 家具家电全送 拎包入住 高楼层', '格林英郡  | 2室2厅 | 72.64平米 | 南 | 精装', '高楼层(共33层)板楼  -  浑南新区', '72万', '单价9912元/平米')
('https://image1.ljcdn.com/210100-inspection/effb08e2-1682-4e1f-8b66-f25297023822.jpg.296x216.jpg', '精装修 温馨两室 楼层好 交通便利 比邻全运万达', '华茂中心  | 1室1厅 | 55.18平米 | 南 | 其他', '高楼层(共31层)板楼  -  浑南新区', '63万', '单价11418元/平米')
('https://image1.ljcdn.com/210100-inspection/e1de0d0f-3dd9-4fa2-bae6-27a16d9f963d.jpg.296x216.jpg', 'SR国际新城 3室2厅 125万', 'SR国际新城  | 3室2厅 | 122平米 | 南 北 | 其他', '高楼层(共30层)2009年建塔楼  -  浑南新区', '125万', '单价10246元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload2448d681-8099-4f51-b897-d04bef3bcedd.JPG.296x216.jpg', '金地长青湾，联排别墅，简装，赠送面积大。', '金地长青湾  | 5室2厅 | 367.47平米 | 南 北 | 简装', '低楼层(共3层)板楼  -  浑南新区', '550万', '单价14968元/平米')
('https://image1.ljcdn.com/210100-inspection/b65d640b-5f73-40ef-a5aa-830d7e934181.JPG.296x216.jpg', '奥体商圈，三居室洋房，婚房装修一天没住过', '金地国际花园  | 3室2厅 | 144.79平米 | 南 北 | 精装', '中楼层(共6层)2007年建板楼  -  浑南新区', '235万', '单价16231元/平米')
('https://image1.ljcdn.com/210100-inspection/63222362-018f-4145-8209-9d271672c68a.JPG.296x216.jpg', '浑南区法兰香颂河畔旁坤泰新界小区不把山不临街两居室', '坤泰新界  | 2室2厅 | 94.09平米 | 南 北 | 其他', '中楼层(共26层)2009年建板楼  -  浑南新区', '90万', '单价9566元/平米')
('https://image1.ljcdn.com/210100-inspection/fbed0f86-cca5-4ea7-9441-d021c71ccf45.JPG.296x216.jpg', '奥体商圈 浑南中路 河畔新城五期 精装4室', '河畔新城五期  | 3室2厅 | 129.84平米 | 南 北 | 精装', '中楼层(共7层)2007年建板楼  -  浑南新区', '170万', '单价13094元/平米')
('https://image1.ljcdn.com/210100-inspection/487fca7c-0a5f-4a2b-9135-ae0eb0fe3dc2.JPG.296x216.jpg', '建大 金地檀溪 标准两室南北通透户型 精装修', '金地檀溪  | 2室1厅 | 87.86平米 | 南 北 | 其他', '低楼层(共30层)2014年建板楼  -  浑南新区', '130万', '单价14797元/平米')
('https://image1.ljcdn.com/210100-inspection/e5cb5a5f-66e9-40ff-b1c8-d8b1bda48f85.jpg.296x216.jpg', '沈阳奥体万达公馆 3室2厅 350万', '沈阳奥体万达公馆  | 3室2厅 | 251.71平米 | 南 北 | 其他', '高楼层(共53层)2015年建板楼  -  浑南新区', '350万', '单价13905元/平米')
('https://image1.ljcdn.com/210100-inspection/test-6cf0d88e-e0fc-44af-b15a-f47ef2605d7d.png.296x216.jpg', '浑南 奥体 金水花城 可看到河景 精装修 配套齐全', '金水花城一期  | 2室2厅 | 99.94平米 | 东北 | 其他', '中楼层(共33层)2016年建塔楼  -  浑南新区', '115万', '单价11507元/平米')
('https://image1.ljcdn.com/210100-inspection/a9fed5ac-7194-4b2a-8836-9ef4bc63f84f.jpg.296x216.jpg', '出售 君海郎郡 3室2厅2卫 园区中间 南北一楼带花园', '君海朗郡  | 3室2厅 | 105.43平米 | 南 北 | 其他', '低楼层(共11层)暂无数据  -  浑南新区', '75万', '单价7114元/平米')
('https://image1.ljcdn.com/210100-inspection/b6288b72-2041-4be2-af4c-35172aa94395.jpg.296x216.jpg', '婚房，精装修，南北通透  南客厅', '亿丰南奥国际  | 3室2厅 | 117.44平米 | 南 北 | 精装', '中楼层(共25层)2009年建板塔结合  -  浑南新区', '130万', '单价11070元/平米')
('https://image1.ljcdn.com/210100-inspection/72708b0b-7e03-4f25-95ce-b7dbf19e2e64.jpg.296x216.jpg', '碧桂园公园里 4室2厅 180万', '碧桂园公园里  | 4室2厅 | 162.37平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  浑南新区', '180万', '单价11086元/平米')
('https://image1.ljcdn.com/210100-inspection/92549849-4e18-40bc-9ee2-e57d3c505677.jpg.296x216.jpg', '浑南新市府 精装别墅 无大税 实际面积235平 带车库', '旭辉御府  | 4室2厅 | 117.7平米 | 南 北 | 其他', '低楼层(共3层)暂无数据  -  浑南新区', '280万', '单价23790元/平米')
