('https://image1.ljcdn.com/210100-inspection/63801fa1-218a-4288-aaf2-7fbd0644fe5d.JPG.296x216.jpg', '南风雅苑 3室2厅 102万', '南风雅苑  | 3室2厅 | 119.72平米 | 东 南 北 | 其他', '低楼层(共6层)2000年建板楼  -  铁西区', '102万', '单价8520元/平米')
('https://image1.ljcdn.com/210100-inspection/47fef171-00d5-4f05-996f-f6d5608c1908.jpg.296x216.jpg', '凯旋门 2室1厅 115万', '凯旋门  | 2室1厅 | 91.84平米 | 南 | 其他', '中楼层(共33层)2011年建板楼  -  铁西区', '115万', '单价12522元/平米')
('https://image1.ljcdn.com/210100-inspection/f449b338-5d2b-4ef3-945f-d0d5ea2b2ed5.jpg.296x216.jpg', '和皇家园一期 2室2厅 63万', '和皇家园一期  | 2室2厅 | 81.25平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  铁西区', '63万', '单价7754元/平米')
('https://image1.ljcdn.com/210100-inspection/1654bd71-50f3-47d7-b651-172a867bacfa.JPG.296x216.jpg', '万达广场A组团 3室2厅 135万', '万达广场A组团  | 3室2厅 | 138.24平米 | 南 北 | 其他', '高楼层(共33层)2011年建板楼  -  铁西区', '135万', '单价9766元/平米')
('https://image1.ljcdn.com/210100-inspection/6ccd52cb-8ea3-445e-81bb-b28d3a5cb79b.jpg.296x216.jpg', '宏发国际名城 2室2厅 77万', '宏发国际名城  | 2室2厅 | 93平米 | 东 南 北 | 简装', '高楼层(共33层)2006年建板塔结合  -  铁西区', '77万', '单价8280元/平米')
('https://image1.ljcdn.com/210100-inspection/83bf0f3e-5740-494c-ba73-fdc1f054c817.jpg.296x216.jpg', '新湖中国印象 南北通透 不临街 前面无遮挡', '新湖中国印象  | 3室2厅 | 142.27平米 | 南 北 | 其他', '高楼层(共18层)2006年建板楼  -  铁西区', '200万', '单价14058元/平米')
('https://image1.ljcdn.com/210100-inspection/ed393fcf-68a6-417e-bb74-645035dc713b.jpg.296x216.jpg', '富海铭尊 1室1厅 35万', '富海铭尊  | 1室1厅 | 40.16平米 | 西 | 其他', '中楼层(共16层)2005年建板楼  -  铁西区', '35万', '单价8716元/平米')
('https://image1.ljcdn.com/210100-inspection/df64358c-085f-4438-84f6-11b6158860d1.jpg.296x216.jpg', '新湖明珠城 精装两室 南北通透', '新湖明珠城  | 2室2厅 | 72.39平米 | 南 北 | 其他', '低楼层(共27层)2010年建板楼  -  铁西区', '89万', '单价12295元/平米')
('https://image1.ljcdn.com/210100-inspection/88f6142b-f33e-48e7-ab9b-b24dd9ea1536.JPG.296x216.jpg', '凯旋门 3室2厅 340万', '凯旋门  | 3室2厅 | 170.96平米 | 南 北 | 其他', '低楼层(共12层)2011年建板楼  -  铁西区', '340万', '单价19888元/平米')
('https://image1.ljcdn.com/210100-inspection/008dc6d1-df53-489c-ad09-d32d85e47dd7.jpg.296x216.jpg', '本房源 看房方便 采光好 封闭园区 交通便利 配套齐全', '欧尚一品  | 2室2厅 | 97.91平米 | 南 西 北 | 其他', '中楼层(共16层)2007年建板楼  -  铁西区', '125万', '单价12767元/平米')
('https://image1.ljcdn.com/210100-inspection/f77ea991-e00f-432e-b176-5ca7ae822c19.jpg.296x216.jpg', '沈辽路兴华南街万达家乐福商圈纳帕南北通透精装两室', '纳帕名门  | 2室1厅 | 91.33平米 | 南 北 | 精装', '低楼层(共27层)2013年建板楼  -  铁西区', '120万', '单价13140元/平米')
('https://image1.ljcdn.com/210100-inspection/3ba3d1b3-cf88-4c96-98a5-17f1fc73dcc8.jpg.296x216.jpg', '金地名京一期 3室2厅 183万', '金地名京一期  | 3室2厅 | 119平米 | 南 西 北 | 其他', '低楼层(共24层)2012年建板楼  -  铁西区', '183万', '单价15379元/平米')
('https://image1.ljcdn.com/210100-inspection/2e0cc6c0-2814-4315-acdb-4be4238bfadf.jpg.296x216.jpg', '马壮街 2室0厅 44万', '马壮街  | 2室0厅 | 38.49平米 | 南 北 | 其他', '高楼层(共4层)暂无数据  -  铁西区', '44万', '单价11432元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload1fca9d66-4597-4cdc-8f4b-474c19f69072.jpg.296x216.jpg', '建大第壹城精装小高层 采光好 可贷款 近地铁 拎包住', '第一城B组团  | 2室1厅 | 70.78平米 | 西南 | 精装', '中楼层(共16层)2008年建板塔结合  -  铁西区', '78万', '单价11021元/平米')
('https://image1.ljcdn.com/210100-inspection/04bbfaea-6cf0-4db5-9d94-f248a8557b0f.JPG.296x216.jpg', '君临天下杏花雅居 5室3厅 120万', '君临天下杏花雅居  | 5室3厅 | 95.08平米 | 南 北 | 其他', '高楼层(共6层)2007年建板楼  -  铁西区', '120万', '单价12621元/平米')
('https://image1.ljcdn.com/210100-inspection/778dade1-7d0f-45c1-8f5b-6da771e61e62.jpg.296x216.jpg', '富云新都西区 2室1厅 75万', '富云新都西区  | 2室1厅 | 74.93平米 | 南 北 | 其他', '中楼层(共7层)2005年建板楼  -  铁西区', '75万', '单价10010元/平米')
('https://image1.ljcdn.com/210100-inspection/3bfd638e-c2e8-428e-9c4b-77ec6a0a3486.JPG.296x216.jpg', '凯旋门 2室2厅 115万', '凯旋门  | 2室2厅 | 89.06平米 | 西 | 其他', '中楼层(共33层)2011年建板楼  -  铁西区', '115万', '单价12913元/平米')
('https://image1.ljcdn.com/210100-inspection/4ab32cf4-fc18-4cd0-b0f2-623ba4421776.jpg.296x216.jpg', '第一城D组团 2室1厅 75万', '第一城D组团  | 2室1厅 | 78.13平米 | 东北 | 其他', '高楼层(共26层)2008年建板塔结合  -  铁西区', '75万', '单价9600元/平米')
('https://image1.ljcdn.com/210100-inspection/5cbdcca2-ba19-4550-93c1-e08215a289c3.jpg.296x216.jpg', '第一城D组团 2室1厅 89万', '第一城D组团  | 2室1厅 | 83平米 | 西南 | 其他', '中楼层(共30层)2008年建板塔结合  -  铁西区', '89万', '单价10723元/平米')
('https://image1.ljcdn.com/210100-inspection/93c4cea5-5ccc-4fbf-a98b-10a82dc6a131.jpg.296x216.jpg', '其仕郡 2室2厅 105万', '其仕郡  | 2室2厅 | 81.4平米 | 南 西 北 | 其他', '中楼层(共18层)2009年建板楼  -  铁西区', '105万', '单价12900元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploada864ed32-a13b-4866-85f6-80e112479b8c.JPG.296x216.jpg', '爵士官邸三室，铁西广场万象汇旁，高层三室，视野开阔', '爵仕观邸  | 3室2厅 | 103.55平米 | 东 南 北 | 其他', '高楼层(共26层)2008年建板楼  -  铁西区', '130万', '单价12555元/平米')
('https://image1.ljcdn.com/210100-inspection/406eb321-faa1-4b8d-b4b4-f354ebe618b9.jpg.296x216.jpg', '浅草绿阁六期   精装顶层赠阁楼', '浅草绿阁六期枫丹白露  | 3室2厅 | 139.16平米 | 南 北 | 其他', '高楼层(共6层)2010年建板楼  -  铁西区', '280万', '单价20121元/平米')
('https://image1.ljcdn.com/210100-inspection/4034e092-ad84-43ee-8538-47b2f6f38822.JPG.296x216.jpg', '标准两室 南北通透  多层 不挡光 出行方便 配套成熟', '御览茗居  | 2室1厅 | 92.48平米 | 南 北 | 其他', '高楼层(共6层)2005年建板楼  -  铁西区', '115万', '单价12436元/平米')
('https://image1.ljcdn.com/210100-inspection/90fc31b6-920e-4cc6-b464-8828e1f40b0e.jpg.296x216.jpg', '此房是中间楼层。北侧入户门，南北通透，标准格局。', '御览嘉园  | 2室2厅 | 107.06平米 | 南 北 | 其他', '中楼层(共7层)2004年建板楼  -  铁西区', '120万', '单价11209元/平米')
('https://image1.ljcdn.com/210100-inspection/2c8be44e-8bf9-4575-832d-d42f08c09760.jpg.296x216.jpg', '千缘爱城 2室1厅 85万', '千缘爱城  | 2室1厅 | 78.73平米 | 南 | 其他', '中楼层(共26层)2005年建板塔结合  -  铁西区', '85万', '单价10797元/平米')
('https://image1.ljcdn.com/210100-inspection/03f379a3-4e87-4658-b90b-a68be8da9f35.JPG.296x216.jpg', '第九街区南北通透，采光好，位置优越', '第九街区  | 3室1厅 | 103.67平米 | 东 南 北 | 其他', '中楼层(共27层)2011年建板楼  -  铁西区', '95万', '单价9164元/平米')
('https://image1.ljcdn.com/210100-inspection/a21a5cc0-3a9b-4b73-8942-6ffd486eb3c7.jpg.296x216.jpg', '南北通透 精装修 采光好 拎包即住...', '保利百合花园北园  | 3室2厅 | 106.3平米 | 南 北 | 其他', '高楼层(共11层)2009年建板楼  -  铁西区', '142万', '单价13359元/平米')
('https://image1.ljcdn.com/210100-inspection/d452acb5-471a-4ffd-bf80-695d49095920.JPG.296x216.jpg', '四季嘉园二期 2室1厅 90万', '四季嘉园二期  | 2室1厅 | 87.02平米 | 南 北 | 其他', '高楼层(共6层)2007年建板楼  -  铁西区', '90万', '单价10343元/平米')
('https://image1.ljcdn.com/210100-inspection/a1893388-cce4-4748-b54d-7e10bfca618a.JPG.296x216.jpg', '铁西区 兴华街小北二路 千缘爱在城 东南朝向 精装修', '千缘爱在城  | 2室2厅 | 90.94平米 | 东南 | 精装', '高楼层(共28层)2010年建板楼  -  铁西区', '95万', '单价10447元/平米')
('https://image1.ljcdn.com/210100-inspection/e33bd8b5-1559-43c6-ac5a-817aa8b513cf.jpg.296x216.jpg', '澳海西湖印象 2室1厅 53万', '澳海西湖印象  | 2室1厅 | 76平米 | 南 | 其他', '高楼层(共17层)2013年建板楼  -  铁西区', '53万', '单价6974元/平米')
('https://image1.ljcdn.com/210100-inspection/2d358c6b-24f7-45f9-b348-b15bcc5da443.jpg.296x216.jpg', '雍添金园 3室2厅 155万', '雍添金园  | 3室2厅 | 144.17平米 | 南 北 | 其他', '中楼层(共7层)2004年建板楼  -  铁西区', '155万', '单价10752元/平米')
('https://image1.ljcdn.com/210100-inspection/62dbf5b8-3ece-4bf1-b241-8675ca32fe41.jpg.296x216.jpg', '正大世纪家园 2室2厅 83万', '正大世纪家园  | 2室2厅 | 102.95平米 | 南 北 | 其他', '低楼层(共27层)2007年建板楼  -  铁西区', '83万', '单价8063元/平米')
('https://image1.ljcdn.com/210100-inspection/bf3091b0-970c-427a-9ad9-26190bc75fe2.jpg.296x216.jpg', '宏发国际名城 3室1厅 125万', '宏发国际名城  | 3室1厅 | 130.62平米 | 南 北 | 其他', '高楼层(共33层)2006年建板塔结合  -  铁西区', '125万', '单价9570元/平米')
('https://image1.ljcdn.com/210100-inspection/cfe017b6-1f19-44db-a42a-3be9f6307588.JPG.296x216.jpg', '建设大路兴工街 宏伟茗都  顶楼带阁楼  南北通透', '宏伟茗都  | 4室3厅 | 179.1平米 | 南 北 | 简装', '高楼层(共6层)2000年建板楼  -  铁西区', '130万', '单价7259元/平米')
('https://image1.ljcdn.com/210100-inspection/98f1a2e4-8c1a-4b65-b593-cf984de800b4.jpg.296x216.jpg', '伯伦时代 2室1厅 69万', '伯伦时代  | 2室1厅 | 67.1平米 | 西南 | 其他', '中楼层(共32层)2009年建板楼  -  铁西区', '69万', '单价10284元/平米')
('https://image1.ljcdn.com/210100-inspection/f6ced2b5-45e3-47f9-9def-162ece6ccddd.jpg.296x216.jpg', '亚美利加 3室2厅 135万', '亚美利加  | 3室2厅 | 115.78平米 | 南 北 | 其他', '低楼层(共27层)2009年建板楼  -  铁西区', '135万', '单价11661元/平米')
('https://image1.ljcdn.com/210100-inspection/b2f0d194-099f-4eb9-a951-adcb82f0dfa9.jpg.296x216.jpg', '新湖北国之春 4室2厅 160万', '新湖北国之春  | 4室2厅 | 116平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  铁西区', '160万', '单价13794元/平米')
('https://image1.ljcdn.com/210100-inspection/42c77be5-6ffb-4a65-8905-e11628178b91.jpg.296x216.jpg', '欧尚一品 2室1厅 95万', '欧尚一品  | 2室1厅 | 74平米 | 南 西 北 | 其他', '高楼层(共16层)2007年建板楼  -  铁西区', '95万', '单价12838元/平米')
('https://image1.ljcdn.com/210100-inspection/b37a3997-5164-4b7a-874e-fc7ace88f332.jpg.296x216.jpg', '凯旋门一梯一户不把山新装修四室拎包入住', '凯旋门  | 4室2厅 | 211.7平米 | 南 北 | 精装', '高楼层(共19层)2011年建板楼  -  铁西区', '400万', '单价18895元/平米')
('https://image1.ljcdn.com/210100-inspection/6a4598ad-9d86-48f0-8d80-d86f9702564e.jpg.296x216.jpg', '第一城D组团 3室2厅 140万', '第一城D组团  | 3室2厅 | 114.02平米 | 南 西 北 | 精装', '低楼层(共12层)2008年建板塔结合  -  铁西区', '140万', '单价12279元/平米')
('https://image1.ljcdn.com/210100-inspection/14813e73-bddf-4318-93ae-242eeb372ba0.jpg.296x216.jpg', '金地名京一期 2室2厅 125万', '金地名京一期  | 2室2厅 | 78.92平米 | 南 北 | 其他', '高楼层(共32层)2012年建板楼  -  铁西区', '125万', '单价15839元/平米')
('https://image1.ljcdn.com/210100-inspection/a49c16ac-59de-4ba1-b54a-b5dd75190529.JPG.296x216.jpg', '云华园 2室2厅 92万', '云华园  | 2室2厅 | 78.2平米 | 南 | 其他', '高楼层(共12层)2007年建板楼  -  铁西区', '92万', '单价11765元/平米')
('https://image1.ljcdn.com/210100-inspection/523ecc2a-8ecc-4828-a013-89e76770cdab.JPG.296x216.jpg', '巴塞罗那二期 3室2厅 157万', '巴塞罗那二期  | 3室2厅 | 109.4平米 | 南 西 北 | 其他', '低楼层(共30层)2008年建板楼  -  铁西区', '157万', '单价14352元/平米')
('https://image1.ljcdn.com/210100-inspection/d49b3671-3f66-401f-b709-4101be3e44a8.jpg.296x216.jpg', '千缘爱在城 2室1厅 75万', '千缘爱在城  | 2室1厅 | 67平米 | 南 | 其他', '高楼层(共28层)2010年建板楼  -  铁西区', '75万', '单价11195元/平米')
('https://image1.ljcdn.com/210100-inspection/32cfa9d0-61d1-4e66-930c-959cce7e678f.JPG.296x216.jpg', '此房南北通透、精装修、采光好、交通便利、楼层好', '巴塞罗那一期  | 2室1厅 | 87.92平米 | 南 北 | 其他', '高楼层(共9层)2008年建板楼  -  铁西区', '130万', '单价14787元/平米')
('https://image1.ljcdn.com/210100-inspection/6957573e-572a-4277-86a0-7e068b34868c.jpg.296x216.jpg', '第一城G组团 2室2厅 96万', '第一城G组团  | 2室2厅 | 78.9平米 | 西南 北 | 精装', '低楼层(共17层)2008年建板塔结合  -  铁西区', '96万', '单价12168元/平米')
('https://image1.ljcdn.com/210100-inspection/test-6105a7f2-7099-4356-a2d6-123b866395dc.png.296x216.jpg', '鑫丰国际 2室1厅 65万', '鑫丰国际  | 2室1厅 | 66.66平米 | 东 | 其他', '低楼层(共27层)2007年建板楼  -  铁西区', '65万', '单价9751元/平米')
('https://image1.ljcdn.com/210100-inspection/6ddfc226-caf9-466c-b5c2-b015d52e6803.jpg.296x216.jpg', '房屋装修比较欧式风格，拎包入住，交通便利', '新湖北国之春  | 3室1厅 | 154平米 | 南 北 | 其他', '中楼层(共15层)2004年建板楼  -  铁西区', '195万', '单价12663元/平米')
('https://image1.ljcdn.com/210100-inspection/9b80ca00-57df-4934-adef-45ea988c2ae8.JPG.296x216.jpg', '鑫丰花园 2室2厅 99.5万', '鑫丰花园  | 2室2厅 | 117.64平米 | 南 北 | 其他', '中楼层(共7层)2013年建板楼  -  铁西区', '99.5万', '单价8459元/平米')
('https://image1.ljcdn.com/210100-inspection/c432617a-5e65-4594-9a13-226eda08a99f.jpg.296x216.jpg', '万科城市花园 4室2厅 99万', '万科城市花园  | 4室2厅 | 145平米 | 东 南 北 | 其他', '低楼层(共6层)暂无数据  -  铁西区', '99万', '单价6828元/平米')
('https://image1.ljcdn.com/210100-inspection/a36392f5-6f19-4b21-ae48-e0d8dad3b7e9.JPG.296x216.jpg', '御览嘉园 2室1厅 84万', '御览嘉园  | 2室1厅 | 101平米 | 西北 | 其他', '高楼层(共12层)暂无数据  -  铁西区', '84万', '单价8317元/平米')
('https://image1.ljcdn.com/210100-inspection/a7905f1b-55ee-4cb0-b8db-146a0908910e.jpg.296x216.jpg', '宏发国际名城 精装修 一楼带花园 采光好 精装修', '宏发国际名城  | 2室2厅 | 124.6平米 | 南 北 | 其他', '低楼层(共11层)2006年建板塔结合  -  铁西区', '132万', '单价10594元/平米')
('https://image1.ljcdn.com/320100-inspection/79a8ad5d-6832-4328-8ce6-36f259f405c3.JPG.296x216.jpg', '新湖明珠城 南北通透 不把山不临街 带花园、地下室', '新湖明珠城  | 3室2厅 | 126平米 | 南 北 | 其他', '低楼层(共11层)2010年建板楼  -  铁西区', '240万', '单价19048元/平米')
('https://image1.ljcdn.com/210100-inspection/b0a5b2ac-37b6-488b-b95d-354970003c1d.JPG.296x216.jpg', '凯旋门 满五年 北明厅 婚房装修 拎包入住', '凯旋门  | 2室1厅 | 76.63平米 | 东北 | 其他', '中楼层(共33层)2011年建板楼  -  铁西区', '98万', '单价12789元/平米')
('https://image1.ljcdn.com/210100-inspection/bee1070d-27a8-49d6-8045-aa15a2e1e358.jpg.296x216.jpg', '第一城D组团 2室1厅 76万', '第一城D组团  | 2室1厅 | 77.6平米 | 东北 | 其他', '中楼层(共30层)2008年建板塔结合  -  铁西区', '76万', '单价9794元/平米')
('https://image1.ljcdn.com/210100-inspection/f8dfe3ce-0b84-46a0-9df1-68f203b93a22.jpg.296x216.jpg', '龙湖花千树 2室2厅 115万', '龙湖花千树  | 2室2厅 | 95.05平米 | 南 北 | 其他', '高楼层(共6层)2015年建板塔结合  -  铁西区', '115万', '单价12099元/平米')
('https://image1.ljcdn.com/210100-inspection/fe737aca-8416-4a4f-ac04-f2001ad0d11d.JPG.296x216.jpg', '万科城市花园 2室2厅 71万', '万科城市花园  | 2室2厅 | 121.6平米 | 南 西 北 | 其他', '高楼层(共6层)暂无数据  -  铁西区', '71万', '单价5839元/平米')
('https://image1.ljcdn.com/210100-inspection/e84c0e58-d58d-44d4-851e-e73cb74376a0.jpg.296x216.jpg', '假日蓝湾 2室2厅 110万', '假日蓝湾  | 2室2厅 | 89.37平米 | 南 北 | 其他', '低楼层(共24层)2009年建板楼  -  铁西区', '110万', '单价12309元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload5a38c40e-ed57-4494-924b-542dcb023235.jpg.296x216.jpg', '新湖中国印象 三室两卫 南北通透 不把山不临街带花园', '新湖中国印象  | 3室2厅 | 128.79平米 | 南 北 | 其他', '低楼层(共6层)2006年建板楼  -  铁西区', '208万', '单价16151元/平米')
('https://image1.ljcdn.com/210100-inspection/77888cbc-b6e0-4ca7-93b3-7e36487f8c89.jpg.296x216.jpg', '第壹城 南北通透 小区中间，中等装修 先到先得', '第一城G组团  | 2室1厅 | 78.9平米 | 南 西 北 | 其他', '高楼层(共17层)2008年建板塔结合  -  铁西区', '93万', '单价11788元/平米')
('https://image1.ljcdn.com/210100-inspection/4f7f5dff-ce7a-49a3-b1a4-66fbd9013674.jpg.296x216.jpg', '伯伦时代 2室1厅 60万', '伯伦时代  | 2室1厅 | 52.49平米 | 南 | 其他', '低楼层(共32层)2009年建板楼  -  铁西区', '60万', '单价11431元/平米')
('https://image1.ljcdn.com/210100-inspection/8a288704-1578-4e57-aec0-81e37d491d27.jpg.296x216.jpg', '鑫丰国际 2室1厅 138万', '鑫丰国际  | 2室1厅 | 102.72平米 | 南 北 | 其他', '低楼层(共6层)2007年建板楼  -  铁西区', '138万', '单价13435元/平米')
('https://image1.ljcdn.com/210100-inspection/ac61aa37-000f-42be-a8bc-51b1a59ad5dc.jpg.296x216.jpg', '本房源满五年 采光好 封闭园区 交通便利 配套齐全', '欧尚一品  | 2室1厅 | 72平米 | 东南 北 | 其他', '中楼层(共16层)2007年建板楼  -  铁西区', '88万', '单价12223元/平米')
('https://image1.ljcdn.com/210100-inspection/faf0b15c-0fca-4a36-a43e-b24c87928ff5.JPG.296x216.jpg', '凯旋门 4室2厅 228万', '凯旋门  | 4室2厅 | 137.13平米 | 南 北 | 其他', '高楼层(共34层)2011年建板楼  -  铁西区', '228万', '单价16627元/平米')
('https://image1.ljcdn.com/210100-inspection/920d1489-6d93-4e20-b592-ea67873acd31.JPG.296x216.jpg', '雏鹰总校，距离重工街地铁口步行10MIN', '富祥园  | 2室1厅 | 65.36平米 | 南 | 简装', '高楼层(共7层)暂无数据  -  铁西区', '39万', '单价5967元/平米')
('https://image1.ljcdn.com/210100-inspection/792ec203-db59-4957-a409-106e86d71e7a.jpg.296x216.jpg', '新湖北国之春 3室1厅 135万', '新湖北国之春  | 3室1厅 | 118平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  铁西区', '135万', '单价11441元/平米')
('https://image1.ljcdn.com/210100-inspection/8d0447cf-bd0d-4b8c-8211-bae64481c466.jpg.296x216.jpg', '新湖明珠城 2室1厅 85万', '新湖明珠城  | 2室1厅 | 67.56平米 | 南 | 其他', '高楼层(共27层)2010年建板楼  -  铁西区', '85万', '单价12582元/平米')
('https://image1.ljcdn.com/210100-inspection/2669cede-29d7-40ef-98fe-feb82508a2be.jpg.296x216.jpg', '铁西区启工街第壹城西区两室南北标户中间楼层采光好', '第一城B组团  | 2室1厅 | 98.79平米 | 南 北 | 精装', '中楼层(共27层)2008年建板塔结合  -  铁西区', '98万', '单价9921元/平米')
('https://image1.ljcdn.com/210100-inspection/45c215a2-ef3d-481a-ae4c-fab705ebce53.jpg.296x216.jpg', '凯旋门 3室2厅 225万', '凯旋门  | 3室2厅 | 121.54平米 | 南 北 | 其他', '高楼层(共33层)2011年建板楼  -  铁西区', '225万', '单价18513元/平米')
('https://image1.ljcdn.com/210100-inspection/5ddcd84a-39ae-4895-9548-48004fe17fab.jpg.296x216.jpg', '富云新都西区 南向一室 采光充足 交通便利 配套齐全', '富云新都西区  | 1室1厅 | 57.1平米 | 南 | 其他', '低楼层(共7层)2005年建板楼  -  铁西区', '65万', '单价11384元/平米')
('https://image1.ljcdn.com/210100-inspection/449837db-d8b7-4ea7-853a-ceac0f5fc7e9.jpg.296x216.jpg', '第一城D组团 2室2厅 92万', '第一城D组团  | 2室2厅 | 86.53平米 | 东南 | 其他', '高楼层(共30层)2008年建板塔结合  -  铁西区', '92万', '单价10633元/平米')
('https://image1.ljcdn.com/210100-inspection/942ec84e-8c94-43df-8010-f0aea2712ce7.jpg.296x216.jpg', '万科铁西蓝山 2室2厅 119万', '万科铁西蓝山  | 2室2厅 | 90平米 | 南 北 | 其他', '低楼层(共26层)板楼  -  铁西区', '119万', '单价13223元/平米')
('https://image1.ljcdn.com/210100-inspection/10064997-bf8f-4133-9f7e-331c31376b85.jpg.296x216.jpg', '万达广场B组团三室清水房，中高楼层', '万达广场B组团  | 3室2厅 | 115.6平米 | 南 西 北 | 毛坯', '中楼层(共33层)2011年建板楼  -  铁西区', '120万', '单价10381元/平米')
('https://image1.ljcdn.com/210100-inspection/8fb2fb33-625e-4a6e-b57f-af6d3f2b0b95.jpg.296x216.jpg', '第一城F组团 2室2厅 95万', '第一城F组团  | 2室2厅 | 86.72平米 | 东南 | 其他', '中楼层(共30层)2010年建板塔结合  -  铁西区', '95万', '单价10955元/平米')
('https://image1.ljcdn.com/210100-inspection/64b388ee-715e-4941-9e6a-504534631318.jpg.296x216.jpg', '易居园 2室2厅 90万', '易居园  | 2室2厅 | 91平米 | 南 北 | 其他', '低楼层(共16层)2005年建板楼  -  铁西区', '90万', '单价9891元/平米')
('https://image1.ljcdn.com/210100-inspection/40e4001c-172b-49f4-af14-16f638b41108.JPG.296x216.jpg', '龙城公馆 2室2厅 81万', '龙城公馆  | 2室2厅 | 90平米 | 南 北 | 其他', '高楼层(共32层)2010年建板楼  -  铁西区', '81万', '单价9000元/平米')
('https://image1.ljcdn.com/210100-inspection/10e4294c-ad2c-449b-aa71-6abd58719943.jpg.296x216.jpg', '第一城B组团 2室2厅 68万', '第一城B组团  | 2室2厅 | 67.63平米 | 西北 | 其他', '低楼层(共27层)2008年建板塔结合  -  铁西区', '68万', '单价10055元/平米')
('https://image1.ljcdn.com/210100-inspection/6a6e5920-3a42-4ec4-acd2-5ad3acb970b2.jpg.296x216.jpg', '正鑫家园 小高层带电梯 看房子比较方便 价钱可以研究', '正鑫家园  | 2室2厅 | 105.76平米 | 南 北 | 其他', '高楼层(共9层)2009年建板楼  -  铁西区', '90万', '单价8510元/平米')
