('https://image1.ljcdn.com/330100-inspection/2ba2f57e-745b-44b1-a42a-8263d7b9573f.jpg.296x216.jpg', '金成经典4跃5好户型，中间楼层，全明格局。', '金成花园  | 3室2厅 | 132.77平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  文一西路', '480万', '单价36153元/平米')
('https://image1.ljcdn.com/330100-inspection/0e4b61df-7df8-4043-82cd-646d2c3b9a0b.jpg.296x216.jpg', '翠苑五区电梯房，中间楼层，中间套，', '翠苑五区  | 2室1厅 | 65.01平米 | 东南 | 精装 | 有电梯', '中楼层(共18层)1998年建板楼  -  翠苑', '270万', '单价41533元/平米')
('https://image1.ljcdn.com/330100-inspection/f271e462-7364-4665-908f-ed5c938a6c95.jpg.296x216.jpg', '赠送53平方米阁楼露台 业主诚心出售 随时看房', '康乐香港城  | 2室1厅 | 69.37平米 | 南 | 精装 | 无电梯', '高楼层(共7层)2000年建板楼  -  文三西路', '265万', '单价38201元/平米')
('https://image1.ljcdn.com/330100-inspection/e95bbab9-7a05-44d5-9b1b-cb7dbd8cf2d8.jpg.296x216.jpg', '05年电梯房，诚心出售，边套户型，大四房', '山水人家彩云天  | 4室2厅 | 160.13平米 | 西 | 简装 | 有电梯', '中楼层(共17层)2005年建板楼  -  文三西路', '688万', '单价42966元/平米')
('https://image1.ljcdn.com/330100-inspection/test-6410641b-7a80-490d-bb2a-7d074a9638a8.png.296x216.jpg', '云溪香山     经典宽敞    采光好', '云溪香山  | 4室2厅 | 138.26平米 | 南 | 简装 | 无电梯', '中楼层(共5层)2008年建暂无数据  -  转塘', '430万', '单价31101元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload86dae1a8-2e15-4f6c-a738-a8e0f0303148.jpg.296x216.jpg', '西溪里 满两年 不沿街 主卧客厅双阳台 诚心售', '坤和西溪里璞园  | 2室2厅 | 86.56平米 | 南 | 毛坯 | 有电梯', '低楼层(共12层)2010年建板楼  -  西溪', '410万', '单价47366元/平米')
('https://image1.ljcdn.com/330100-inspection/79af4b32-9f5f-4a1b-a8ed-df2f2b270ff8.jpg.296x216.jpg', '您要的140方以内少有的房子  采光好 边套', '耀江文萃苑  | 3室2厅 | 137平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2003年建板楼  -  文教', '730万', '单价53285元/平米')
('https://image1.ljcdn.com/330100-inspection/799993dc-bdab-4ef1-940d-fc342b388cc5.jpg.296x216.jpg', '马塍路11号 2室1厅 413万', '马塍路11号  | 2室1厅 | 61.7平米 | 南 | 精装 | 无电梯', '低楼层(共7层)1995年建板楼  -  文三', '413万', '单价66937元/平米')
('https://image1.ljcdn.com/330100-inspection/c5f71d15-c12c-45d4-b484-d98eb7dfd6b7.jpg.296x216.jpg', '花园西村 正气两居室 采光充足', '花园西村  | 2室1厅 | 55.8平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1985年建板楼  -  文教', '385万', '单价68997元/平米')
('https://image1.ljcdn.com/330100-inspection/f4e97c96-86ea-4333-92de-56395618001f.jpg.296x216.jpg', '满5年免双税 丹桂公寓四房诚心出售', '丹桂公寓  | 4室2厅 | 124.43平米 | 南 北 | 简装 | 无电梯', '中楼层(共4层)1997年建板楼  -  文三西路', '620万', '单价49828元/平米')
('https://image1.ljcdn.com/330100-inspection/30d30b84-c4ab-4643-a69f-e5d816de4189.jpg.296x216.jpg', '楼层好  带车位  精装修  满五唯一 房东诚心出售', '西溪蝶园一期  | 4室2厅 | 192.26平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2009年建板楼  -  西溪', '930万', '单价48372元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploada053eb69-29c3-429c-b486-6379eb17a897.jpg.296x216.jpg', '学军大三房朝南向+居家装修+楼层好', '文二路21号  | 3室1厅 | 75.82平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1982年建板楼  -  学军', '620万', '单价81773元/平米')
('https://image1.ljcdn.com/330100-inspection/test-a483cbc0-b574-4fd3-b63e-fbbd066f4c4c.png.296x216.jpg', '中兴公寓  不沿马路  两室两厅一厨一卫', '中兴公寓  | 2室2厅 | 73.38平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  文三西路', '285万', '单价38839元/平米')
('https://image1.ljcdn.com/330100-inspection/1b527b0b-28af-46c5-9a15-39b190cc0c5e.jpg.296x216.jpg', '文一街 十三中 标准三居室  户型正气  业主诚心卖', '西溪河下76号  | 3室1厅 | 66.68平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)1988年建板楼  -  文教', '375万', '单价56239元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload7fe2369b-497e-4a2b-a6d4-f2e313cc35d2.jpg.296x216.jpg', '邮电新村 3室1厅 510万', '邮电新村  | 3室1厅 | 83.62平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1997年建板楼  -  学军', '510万', '单价60991元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploade347a217-a149-4b7c-bc1f-03ba24a4c953.jpg.296x216.jpg', '坤和西溪里 精装大四房 小区中间 采光好 视野开阔', '坤和西溪里  | 4室2厅 | 177.09平米 | 南 | 精装 | 有电梯', '低楼层(共15层)2012年建板楼  -  西溪', '840万', '单价47434元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload1460c4ee-fdb3-4b6b-9d5f-104544425e76.jpg.296x216.jpg', '学军大三房 送二十多方院子 上学近', '文二新村  | 3室1厅 | 70.58平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1991年建板楼  -  学军', '650万', '单价92095元/平米')
('https://image1.ljcdn.com/330100-inspection/1667f67e-b972-42a8-95a9-0730bccbac35.JPG.296x216.jpg', '人和家园 精装修拎包入住 东边套', '人和家园  | 3室2厅 | 138.7平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2006年建板楼  -  留下', '325万', '单价23432元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload6186a2ce-d7c7-4674-9727-54b3392afe3b.jpg.296x216.jpg', '康乐香港城精装修两房 诚心出售', '康乐香港城  | 2室2厅 | 74.33平米 | 南 | 精装 | 无电梯', '高楼层(共7层)2000年建板楼  -  文三西路', '295万', '单价39688元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload70b025e2-8b3b-4054-8081-f41b3d44d7cc.jpg.296x216.jpg', '绿城之江1号 4室2厅 690万', '绿城之江1号  | 4室2厅 | 186.14平米 | 南 | 毛坯 | 有电梯', '低楼层(共25层)2016年建塔楼  -  转塘', '690万', '单价37069元/平米')
('https://image1.ljcdn.com/330100-inspection/test-4a911947-cff2-4ee3-b797-a4e91cf1a52d.png.296x216.jpg', '古荡优质房源 户型正三房,东边套,满五年,诚售', '古荡新村东区  | 3室1厅 | 71.03平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1990年建板楼  -  古荡', '275万', '单价38717元/平米')
('https://image1.ljcdn.com/330100-inspection/3c89248f-a192-42af-b472-286f27b3fbb1.jpg.296x216.jpg', '中兴公寓 2000年房龄 可做3室1厅', '中兴公寓  | 3室2厅 | 67.1平米 | 南 | 精装 | 无电梯', '高楼层(共7层)2000年建板楼  -  文三西路', '275万', '单价40984元/平米')
('https://image1.ljcdn.com/330100-inspection/test-eb4e85f1-88b4-4e53-bfeb-888954b066d2.png.296x216.jpg', '玖龙山大户型大五房 精装修 客厅双主卧朝南带大阳台', '佳兆业玖珑山  | 5室2厅 | 168平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2014年建板楼  -  转塘', '560万', '单价33334元/平米')
('https://image1.ljcdn.com/330100-inspection/c7fa3cdf-526d-478d-97cb-7900b0c24373.jpg.296x216.jpg', '银座公寓 03年开发商精装 正气大三房带露台', '南都银座公寓  | 3室2厅 | 151.75平米 | 南 西 北 | 精装 | 有电梯', '高楼层(共16层)2001年建板楼  -  嘉绿', '780万', '单价51401元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadb72945d9-f783-4eae-8beb-1bb5905bbe49.jpg.296x216.jpg', '大四房，三房朝南的边套，40万精装，看房有钥匙', '融创河滨之城  | 4室2厅 | 118.51平米 | 南 | 精装', '高楼层(共18层)2016年建板楼  -  西溪', '630万', '单价53161元/平米')
('https://image1.ljcdn.com/330100-inspection/e213cd89-0705-43ee-91ed-ac4d90920a3b.jpg.296x216.jpg', '丹枫新村 飞机户型 精装修 三房两卫 不沿街 诚心出售', '丹枫新村  | 3室2厅 | 126.3平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  文三西路', '460万', '单价36422元/平米')
('https://image1.ljcdn.com/330100-inspection/290d05e4-f77a-4eb2-a3e6-cdef3f499b9e.jpg.296x216.jpg', '经典大四房西边套，精装修，可拎包入住', '星洲花园花柏美舍  | 4室2厅 | 171.98平米 | 南 | 精装 | 有电梯', '低楼层(共10层)2000年建塔楼  -  文一西路', '860万', '单价50006元/平米')
('https://image1.ljcdn.com/330100-inspection/8f1069af-a0b2-4722-81f2-44007f180b8c.jpg.296x216.jpg', '三房户型     ，卖房置换  好房', '翠苑一区  | 3室2厅 | 92平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1986年建板楼  -  翠苑', '480万', '单价52174元/平米')
('https://image1.ljcdn.com/330100-inspection/ea1d4774-80a4-49ca-afee-c2b905e98aef.jpg.296x216.jpg', '交通方便，黄龙体育馆边，户型方正', '友谊新村  | 2室2厅 | 67.48平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1989年建板楼  -  黄龙', '400万', '单价59277元/平米')
('https://image1.ljcdn.com/330100-inspection/5f4f1679-550b-46b9-aedf-f28a1275c103.JPG.296x216.jpg', '满五唯一，置换刚需都可以考虑，就读方便。', '白马尊邸  | 3室2厅 | 123.73平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2009年建塔楼  -  三墩', '465万', '单价37582元/平米')
('https://image1.ljcdn.com/330100-inspection/c0f04b2b-17fb-42a6-8bbe-833a35fc2ef4.jpg.296x216.jpg', '中兴文都苑 三居室 户型方正 诚意出售', '中兴文都苑  | 3室2厅 | 125平米 | 南 | 简装 | 有电梯', '低楼层(共12层)2004年建板楼  -  古荡', '625万', '单价50000元/平米')
('https://image1.ljcdn.com/330100-inspection/eeb60250-ff5a-4909-bcce-ca0461522c8c.jpg.296x216.jpg', '康乐新村小面积，中间楼层，赠送露台，清爽装修拎包住', '康乐新村  | 2室2厅 | 65.02平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1995年建板楼  -  文三西路', '290万', '单价44602元/平米')
('https://image1.ljcdn.com/330100-inspection/91dc922f-04ea-49a6-b80f-a35a48682086.jpg.296x216.jpg', '嘉绿西苑 你没看错 就是这套房 快快来看吧', '嘉绿西苑  | 2室1厅 | 71.06平米 | 南 | 毛坯 | 无电梯', '低楼层(共6层)1999年建板楼  -  嘉绿', '340万', '单价47847元/平米')
('https://image1.ljcdn.com/330100-inspection/0b714d9a-0552-4633-9419-2c55de3b4383.jpg.296x216.jpg', '新上房源 业主诚心出售 免双税', '古墩路7-1号  | 3室1厅 | 83.22平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)2000年建板楼  -  文三西路', '338万', '单价40616元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload5f3dffc9-1d18-49f7-acf5-48a413860e14.jpg.296x216.jpg', '新上优质房源，西边套，全明户型，采光视野都棒棒的', '古荡新村东区  | 2室1厅 | 53.87平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1989年建板楼  -  古荡', '210万', '单价38983元/平米')
('https://image1.ljcdn.com/330100-inspection/84bfff84-b220-43bd-877e-a727e3d85189.jpg.296x216.jpg', '93年房龄 精装修 免双税 全明户型 一梯两户', '古荡新村西区  | 3室1厅 | 75.31平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1988年建板楼  -  古荡', '325万', '单价43155元/平米')
('https://image1.ljcdn.com/330100-inspection/test-780f3aa5-ad82-4e5e-8240-84bd746981fd.png.296x216.jpg', '电梯房 大四房 有钥匙 业主诚售', '山水人家白沙岛  | 4室2厅 | 169.06平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2005年建板楼  -  文三西路', '680万', '单价40223元/平米')
('https://image1.ljcdn.com/330100-inspection/a01e1d92-2a50-49f5-94dc-c7b8c0b20667.JPG.296x216.jpg', '西湖区 新星小区 中装三室 交通便利 位置优越', '新星小区  | 3室1厅 | 86.26平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)1998年建板楼  -  三墩', '250万', '单价28983元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload98d998ca-1188-41e9-b337-a4ea7634b788.jpg.296x216.jpg', '双阳台，双卫，南北通透，中高层，采光充足，置换急售', '华星公寓  | 3室2厅 | 135平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  翠苑', '530万', '单价39260元/平米')
('https://image1.ljcdn.com/330100-inspection/67b7481e-b72d-4245-93ea-3a391641742c.jpg.296x216.jpg', '南都德迦，五跃六送阁楼，房东诚心出售，价格还可以谈', '南都德迦西区  | 3室2厅 | 106.41平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)1999年建板楼  -  文三西路', '480万', '单价45109元/平米')
('https://image1.ljcdn.com/330100-inspection/0ce40ba4-466c-43e9-a3a3-c309f39c54c2.jpg.296x216.jpg', '秋水苑 3室2厅 580万', '秋水苑  | 3室2厅 | 122平米 | 南 西 北 | 精装 | 无电梯', '高楼层(共6层)2003年建板楼  -  文三西路', '580万', '单价47541元/平米')
('https://image1.ljcdn.com/330100-inspection/953d4fd5-262f-4164-b981-3b0f96e44a87.jpg.296x216.jpg', '房东诚售！满五唯一没两税，中间楼层爬不累', '康乐新村  | 2室2厅 | 91平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1996年建板楼  -  文三西路', '364万', '单价40000元/平米')
('https://image1.ljcdn.com/330100-inspection/c8a7fafa-5fbb-458d-8873-72d0faa25b45.jpg.296x216.jpg', '万科精装大四房，上下跃层，带车位采光充足满两年；', '西溪蝶园一期  | 4室2厅 | 191.39平米 | 南 北 | 精装 | 有电梯', '中楼层(共10层)2009年建板楼  -  西溪', '970万', '单价50682元/平米')
('https://image1.ljcdn.com/330100-inspection/53a86cdd-d3a6-461f-ba6c-f92589c7d06b.jpg.296x216.jpg', '1999年房龄两居室  免双税    赠送储藏室', '黄龙公寓  | 2室1厅 | 54.85平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1999年建板楼  -  古荡', '245万', '单价44668元/平米')
('https://image1.ljcdn.com/330100-inspection/461085f2-458e-4f9f-a123-9b4207a12910.JPG.296x216.jpg', '乾成园，西湖区，自住精装修，满5年唯一住房', '乾成园  | 2室1厅 | 62.61平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2009年建板楼  -  三墩', '235万', '单价37534元/平米')
('https://image1.ljcdn.com/330100-inspection/7aed9dbc-63d9-4c9f-ad5c-e22c60cee10c.jpg.296x216.jpg', '满五唯一，精装修，视野好，诚心出售', '广宇西城年华  | 3室2厅 | 137.8平米 | 南 | 精装 | 有电梯', '高楼层(共25层)2007年建板塔结合  -  申花', '738万', '单价53556元/平米')
('https://image1.ljcdn.com/330100-inspection/7700c194-9120-407e-9ea7-3e9a06663caf.jpg.296x216.jpg', '西溪河东 三房边套，学军，无小孩占用', '西溪河东  | 2室2厅 | 75.28平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1984年建板楼  -  学军', '600万', '单价79703元/平米')
('https://image1.ljcdn.com/330100-inspection/ae4d3e36-3848-445d-b6dd-293f81f8594d.jpg.296x216.jpg', '电梯房，高楼层，采光好，南北户型，通透好', '天苑花园  | 2室2厅 | 75.86平米 | 南 北 | 简装 | 有电梯', '高楼层(共18层)1998年建塔楼  -  翠苑', '300万', '单价39547元/平米')
('https://image1.ljcdn.com/330100-inspection/dcde94c1-d7b1-4898-94ca-a5ce433317e5.jpg.296x216.jpg', '两房朝南   交通便利  清爽装修', '文二路46号  | 2室2厅 | 61.68平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1985年建板楼  -  文教', '360万', '单价58366元/平米')
('https://image1.ljcdn.com/330100-inspection/fc6dcb6f-be9e-4973-9631-d23413a1250d.jpg.296x216.jpg', '保小好房子，满五年且唯一的，全明户型', '武林花园  | 2室1厅 | 79.56平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1999年建板楼  -  文三', '461万', '单价57944元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload6b8ff7bf-a58e-47db-b5ad-83ddef2fd6f5.jpg.296x216.jpg', '金田经典两房 户型方正 两房朝南 低楼层 适合老人居住', '金田花园  | 2室1厅 | 69.26平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1996年建板楼  -  文三西路', '280万', '单价40428元/平米')
('https://image1.ljcdn.com/330100-inspection/7b10bb7f-e375-4e27-855d-058e2ca67200.jpg.296x216.jpg', '下宁巷三室一厅  638万 带储物间', '下宁巷  | 3室1厅 | 74.1平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  学军', '628万', '单价84751元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload319e8d61-9288-4d54-9ee8-500c895b5e5b.jpg.296x216.jpg', '金厦公寓方正户型 中间楼层 地铁口，采光很好', '金厦公寓  | 3室2厅 | 134.05平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1998年建板楼  -  三墩', '396万', '单价29542元/平米')
('https://image1.ljcdn.com/330100-inspection/f778ad09-59a7-4a67-afdc-081ebe37a930.jpg.296x216.jpg', '文三路57号 2室1厅 355万', '文三路57号  | 2室1厅 | 48.4平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1999年建板楼  -  文三', '355万', '单价73348元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload45aae266-eb7c-421b-a28c-297c18b69835.jpg.296x216.jpg', '全明户型，西边套，满五唯一，赠送储藏室', '金海公寓  | 2室2厅 | 76.13平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1996年建板楼  -  文三西路', '320万', '单价42034元/平米')
('https://image1.ljcdn.com/330100-inspection/78524699-37a2-4a56-b5a6-2a85cfc55d9f.JPG.296x216.jpg', '西湖区 金厦公寓 精装修两室 交通便利 位置优越', '金厦公寓  | 2室2厅 | 78.63平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)1998年建板楼  -  三墩', '285万', '单价36246元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload3d593866-109e-4b61-a138-3d80ce67d0dc.jpg.296x216.jpg', '新出优房  位置佳 南北通透 三房诚售', '丹桂公寓  | 3室2厅 | 113.26平米 | 南 北 | 简装 | 无电梯', '高楼层(共4层)1997年建板楼  -  文三西路', '565万', '单价49886元/平米')
('https://image1.ljcdn.com/330100-inspection/45df6675-05c6-4c43-b313-27bd9df9f16e.jpg.296x216.jpg', '河缸桥 文一街十三中 价格挖地 精装两房 房东诚心出售', '河缸桥  | 2室2厅 | 67.27平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1990年建板楼  -  文教', '360万', '单价53516元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload44081ed2-d898-4c8d-b3f0-c3b8d0d550ca.JPG.296x216.jpg', '古墩路沿线，东边套，户型方正，房东自住，采光充足', '金厦公寓  | 3室2厅 | 103.2平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1998年建板楼  -  三墩', '345万', '单价33431元/平米')
('https://image1.ljcdn.com/330100-inspection/test-b94aabaa-cee8-449b-918e-caa7581d4b6c.png.296x216.jpg', '飞机户型 南北通透 满五唯一 ！', '恩济花苑  | 3室2厅 | 121.39平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)1998年建板楼  -  文一西路', '548万', '单价45144元/平米')
('https://image1.ljcdn.com/330100-inspection/029f58b5-2052-4004-9c89-93942531fd22.jpg.296x216.jpg', '嘉绿北苑 2室2厅 69.71平 提前预约就能看房', '嘉绿北苑  | 2室2厅 | 69.71平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  嘉绿', '352万', '单价50495元/平米')
('https://image1.ljcdn.com/330100-inspection/1968ca61-3339-4ef8-8aa2-741f7cdd759f.jpg.296x216.jpg', '星洲花园北区经典小三房 诚心出售 交通便利', '星洲花园花柏美舍  | 3室2厅 | 91.68平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2000年建板楼  -  文一西路', '588万', '单价64137元/平米')
('https://image1.ljcdn.com/330100-inspection/361260b8-ecc3-4378-bd40-abf77ecdf76b.jpg.296x216.jpg', '沿河景观低总价两室两厅，找不出来第二套，50万精装', '世纪新城东区  | 1室1厅 | 69平米 | 南 | 精装 | 有电梯', '27层2005年建板楼  -  嘉绿', '370万', '单价53624元/平米')
('https://image1.ljcdn.com/330100-inspection/622819d7-8b1f-46af-99b2-dee3f069948f.jpg.296x216.jpg', '留下西苑二期  宽敞的两室两厅  装修清爽  户型格局好', '留下西苑  | 2室2厅 | 85平米 | 南 北 | 简装 | 有电梯', '高楼层(共6层)2000年建板楼  -  西溪', '310万', '单价36471元/平米')
('https://image1.ljcdn.com/330100-inspection/4eec15ba-eefb-439c-87fa-b5fc03c0c035.jpg.296x216.jpg', '康乐香港城 2室2厅 305万', '康乐香港城  | 2室2厅 | 75.42平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1997年建板楼  -  文三西路', '305万', '单价40441元/平米')
('https://image1.ljcdn.com/330100-inspection/f0e338b1-3dce-401e-95a3-95e9badd3bd5.jpg.296x216.jpg', '中兴公寓，没有双税，中间楼层诚心出售', '中兴公寓  | 2室2厅 | 73.38平米 | 南 北 | 简装 | 无电梯', '低楼层(共7层)1998年建板楼  -  文三西路', '350万', '单价47697元/平米')
('https://image1.ljcdn.com/330100-inspection/997a9c5f-7383-4932-abf5-36c073053aa9.jpg.296x216.jpg', '瑷骊山复式两房 朝南房间带阳台 南北通风双卫生间', '融创瑷骊山  | 2室1厅 | 89.32平米 | 南 | 简装 | 有电梯', '中楼层(共12层)2014年建板楼  -  转塘', '307万', '单价34371元/平米')
