('https://image1.ljcdn.com/330100-inspection/df63673a-b304-46da-a708-6c0f9c85ab3a.jpg.296x216.jpg', '降低身价，只为遇见你，急降40万诚心卖', '钱塘景苑  | 4室2厅 | 171.5平米 | 南 北 | 简装 | 有电梯', '中楼层(共12层)2000年建板楼  -  彩虹城', '630万', '单价36735元/平米')
('https://image1.ljcdn.com/330100-inspection/test-6ffca388-fc67-427c-8bcf-4316b47fbf95.png.296x216.jpg', '地段佳，成熟位置，随时看房，多层房源', '钱塘景苑  | 3室2厅 | 138.86平米 | 南 | 简装 | 无电梯', '中楼层(共5层)2000年建板楼  -  彩虹城', '570万', '单价41049元/平米')
('https://image1.ljcdn.com/330100-inspection/ba221ef6-ff9a-4406-8b69-62033c909dc2.jpg.296x216.jpg', '三开间朝南，自住装修大三房，边套户型', '滨文苑  | 3室2厅 | 132.6平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2006年建板楼  -  浦沿', '410万', '单价30921元/平米')
('https://image1.ljcdn.com/330100-inspection/test-a00a2ef1-4f38-416a-b1f5-2b5efdb26a60.png.296x216.jpg', '瑞立中.央花城 滨江区政府 绿城物业 诚心急售', '瑞立中央花城  | 3室2厅 | 138.05平米 | 南 | 简装 | 有电梯', '低楼层(共30层)2009年建板楼  -  滨江区政府', '600万', '单价43463元/平米')
('https://image1.ljcdn.com/330100-inspection/52f36d27-da97-4c11-b13a-472ea5a2b07a.JPG.296x216.jpg', '东方郡朝南两房 满五唯一 俯瞰小区中间花园 全天阳光', '欣盛东方郡西区  | 2室2厅 | 89平米 | 南 | 简装 | 有电梯', '中楼层(共33层)2010年建板楼  -  滨江区政府', '480万', '单价53933元/平米')
('https://image1.ljcdn.com/330100-inspection/d5e40775-5ec6-4874-a8e5-0adba125f4f6.JPG.296x216.jpg', '江南铭庭 自住精装 拎包直住 诚心出售', '江南铭庭  | 2室2厅 | 86.61平米 | 南 | 精装 | 有电梯', '高楼层(共27层)2012年建板楼  -  白马湖', '330万', '单价38102元/平米')
('https://image1.ljcdn.com/330100-inspection/1ffe8624-6f0a-45cb-8e61-0ff2bb6a6e6d.jpg.296x216.jpg', '六合天寓少有赠送28方的一个房间，实用近200方', '天寓  | 5室2厅 | 174.73平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2007年建板楼  -  彩虹城', '798万', '单价45671元/平米')
('https://image1.ljcdn.com/330100-inspection/8a16de04-71b8-4fe5-b7e8-cb15627b35a0.JPG.296x216.jpg', '南北通透精装修大四房可直接拎包入住', '风雅钱塘  | 4室2厅 | 165.13平米 | 东 南 北 | 精装 | 有电梯', '高楼层(共22层)2006年建板楼  -  滨江区政府', '856万', '单价51838元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload39cc0fc6-598a-4014-a780-72faeb798340.jpg.296x216.jpg', '观邸在卖的小三房，户型好，采光充足。诚心卖', '观邸国际  | 3室2厅 | 117平米 | 南 | 简装 | 有电梯', '中楼层(共33层)2008年建板塔结合  -  浦沿', '450万', '单价38462元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload957df288-5750-4917-ae98-824ff9ebfbb3.JPG.296x216.jpg', '铂金时代  满五唯一  配套齐全', '铂金时代公寓  | 3室2厅 | 120.89平米 | 南 | 简装 | 有电梯', '高楼层(共29层)2009年建板楼  -  滨江区政府', '538万', '单价44504元/平米')
('https://image1.ljcdn.com/330100-inspection/21acd28e-879e-4ec2-8ccb-256f4ebc540a.JPG.296x216.jpg', '全明户型，高楼层视野好，精装修', '风景蝶院留园  | 2室1厅 | 83.78平米 | 南 | 精装 | 有电梯', '高楼层(共20层)2011年建板楼  -  白马湖', '355万', '单价42373元/平米')
('https://image1.ljcdn.com/330100-inspection/0e741598-5209-4ce2-92f7-4d84c3599e90.JPG.296x216.jpg', '闻涛精装修，免双税，楼层中等，诚心出售', '中兴花园百合苑  | 3室2厅 | 112.93平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2009年建板楼  -  滨江区政府', '550万', '单价48703元/平米')
('https://image1.ljcdn.com/330100-inspection/e413947a-0bf6-49d6-8b18-acb88ac6ee22.jpg.296x216.jpg', '金盛曼城精装两房，楼层高，视野好，边套', '金盛曼城  | 2室1厅 | 88.31平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2010年建板楼  -  浦沿', '360万', '单价40766元/平米')
('https://image1.ljcdn.com/330100-inspection/92ce0d54-8542-4e42-818a-31a3c6ce40aa.JPG.296x216.jpg', '中天官河锦庭   精装修35万  3房2卫 全明户型 楼层好', '中天官河锦庭  | 3室1厅 | 89.65平米 | 南 | 精装 | 有电梯', '高楼层(共34层)2015年建板楼  -  西兴', '480万', '单价53542元/平米')
('https://image1.ljcdn.com/330100-inspection/a47706ba-6f24-4bd3-b6c6-9c5db3d167a7.JPG.296x216.jpg', '满两年可看江，业主自住精装，此幢难得边套优质户型', '寰宇天下  | 2室2厅 | 89平米 | 南 | 精装 | 有电梯', '中楼层(共34层)2014年建板楼  -  滨江区政府', '538万', '单价60450元/平米')
('https://image1.ljcdn.com/330100-inspection/cdab597b-2d98-44dc-8e1b-a83a4a7143ab.jpg.296x216.jpg', '江南文苑小高层大户型精装修可以直接拎包入住！', '江南文苑  | 3室2厅 | 137平米 | 西南 | 精装 | 有电梯', '低楼层(共18层)2010年建板楼  -  浦沿', '545万', '单价39782元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload7a247e5f-67ea-4405-8693-eeabc20ca5ab.jpg.296x216.jpg', '贺田二期全明大三房 自住精装 三开间朝南 送储物间', '贺田尚城  | 2室2厅 | 100.32平米 | 南 | 精装 | 有电梯', '低楼层(共16层)2003年建板楼  -  浦沿', '435万', '单价43362元/平米')
('https://image1.ljcdn.com/330100-inspection/8c73d1d0-bebe-48a8-9acd-4ee8408e24a8.JPG.296x216.jpg', '天官路47号 长河老街两居室 南北通透 生活便捷', '天官路47号  | 2室1厅 | 58.89平米 | 南 北 | 简装', '中楼层(共4层)暂无数据  -  白马湖', '192万', '单价32604元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload142dd304-ba9d-45aa-a1a5-6ff880cf057e.jpg.296x216.jpg', '满五唯一，两房改三房的全明户型。', '东和云第  | 2室2厅 | 86.04平米 | 南 北 | 简装 | 有电梯', '高楼层(共32层)2014年建板楼  -  浦沿', '350万', '单价40679元/平米')
('https://image1.ljcdn.com/330100-inspection/14d9b5f4-1844-4845-92f5-068ae502f4a5.JPG.296x216.jpg', '古塘路小区 低总价原户型三房 环境安静', '古塘路30号  | 3室2厅 | 70.34平米 | 东 南 北 | 毛坯', '低楼层(共6层)暂无数据  -  西兴', '250万', '单价35542元/平米')
('https://image1.ljcdn.com/330100-inspection/e50f3f49-ce13-4ed4-9d9e-1a67c2dd255e.jpg.296x216.jpg', '户型方正，精装修，南北通透，业主诚心', '金盛曼城  | 3室2厅 | 88.63平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2010年建板楼  -  浦沿', '360万', '单价40619元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadb8882260-fbb9-43b7-a7db-f72a10acde75.jpg.296x216.jpg', '天寓大三房，高层采光好，可看江景，视野好', '天寓  | 3室2厅 | 137.56平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2007年建板楼  -  彩虹城', '690万', '单价50160元/平米')
('https://image1.ljcdn.com/330100-inspection/22ffe1db-c0dc-4fa8-8d18-c9c7df77534e.JPG.296x216.jpg', '风情苑精装修大两房，户型方正，高层视野开阔。', '温兴风情苑  | 2室2厅 | 93平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2007年建板楼  -  西兴', '395万', '单价42474元/平米')
('https://image1.ljcdn.com/330100-inspection/37228eff-171d-4ff3-b32d-8ca2d76e7ea8.JPG.296x216.jpg', '江锦国际 朝南精装修 中高层光视好 拎包入住', '中奥江锦国际  | 1室1厅 | 63.5平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2012年建板楼  -  滨江区政府', '158万', '单价24882元/平米')
('https://image1.ljcdn.com/330100-inspection/test-67e55551-7901-45af-a649-e4c1ea7e70b3.png.296x216.jpg', '【新上】贺田尚城低总价低单价二期大三房', '贺田尚城  | 3室2厅 | 136.45平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共11层)2003年建板楼  -  浦沿', '520万', '单价38110元/平米')
('https://image1.ljcdn.com/330100-inspection/7509f276-db72-4b3b-8b7b-5570b59bb84e.jpg.296x216.jpg', '江南文苑一楼有架空带花园两房房子!', '江南文苑  | 2室2厅 | 74.74平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2010年建板楼  -  浦沿', '335万', '单价44823元/平米')
('https://image1.ljcdn.com/330100-inspection/9b423ca6-4617-45ce-aeb3-2a98a16596fd.jpg.296x216.jpg', '满五唯一，免双税，自住精装，房东诚心卖', '贺田尚城  | 2室1厅 | 51.04平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2003年建板楼  -  浦沿', '250万', '单价48982元/平米')
('https://image1.ljcdn.com/330100-inspection/1bbcc5ca-9f33-4c01-b60f-be4830a9b4cc.JPG.296x216.jpg', '此房满两年，南北通，开发商精装，带车位的', '绿城明月江南  | 2室2厅 | 89.33平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2014年建板楼  -  滨江区政府', '580万', '单价64928元/平米')
('https://image1.ljcdn.com/330100-inspection/9bc603d3-2c34-4493-8970-5a6bd1841250.jpg.296x216.jpg', '精致装修，送车位，房东诚心出售', '观邸国际  | 3室2厅 | 142.19平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2008年建板塔结合  -  浦沿', '600万', '单价42198元/平米')
('https://image1.ljcdn.com/330100-inspection/7d77aea7-7a72-4e5d-a56d-310511e2a22b.JPG.296x216.jpg', '房东诚心出售 付款方式可谈 采光好', '风景蝶院留园  | 2室1厅 | 88.86平米 | 南 北 | 简装 | 有电梯', '高楼层(共20层)2011年建板楼  -  白马湖', '350万', '单价39388元/平米')
('https://image1.ljcdn.com/330100-inspection/40c879f5-272b-48bc-b3db-53e206c18eed.jpg.296x216.jpg', '自住精致装修，送车位，可看江景，房东诚售', '观邸国际  | 3室2厅 | 139.98平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2008年建板塔结合  -  浦沿', '650万', '单价46436元/平米')
('https://image1.ljcdn.com/330100-inspection/a454c485-783e-4fe2-b426-a4cbbf4db2f2.jpg.296x216.jpg', '贺田尚城一线江景大三房 自住精装 全明通透 多阳台', '贺田尚城  | 3室2厅 | 141.04平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2003年建板楼  -  浦沿', '705万', '单价49986元/平米')
('https://image1.ljcdn.com/330100-inspection/585de1ab-b891-45de-9046-26a481631014.jpg.296x216.jpg', '精装满两年 三房户型 主卧带衣帽间 明厨明卫', '东和云第  | 3室2厅 | 89.01平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2014年建板楼  -  浦沿', '375万', '单价42131元/平米')
('https://image1.ljcdn.com/330100-inspection/bd45252f-872f-4105-b1e2-55bee001a18b.JPG.296x216.jpg', '钱塘滨和花园 3室2厅 625万', '钱塘滨和花园  | 3室2厅 | 139.3平米 | 南 | 简装 | 有电梯', '中楼层(共16层)2010年建板楼  -  滨江区政府', '625万', '单价44868元/平米')
('https://image1.ljcdn.com/330100-inspection/b0b46b9a-58a4-4d12-ba1d-1e64a6e2e4e3.JPG.296x216.jpg', '满五唯一，税费少，总价低两房！', '长兴苑小区  | 2室1厅 | 99.87平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2006年建板楼  -  长河', '305万', '单价30540元/平米')
