('https://image1.ljcdn.com/210200-inspection/77c04763-38bb-4103-afb3-4104b70b0036.jpg.296x216.jpg', '金润三室 前后带院 门头已开好 位置好 适宜居住', '金润小区B区  | 3室1厅 | 102.18平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共7层)2010年建板楼  -  金润', '90万', '单价8808元/平米')
('https://image1.ljcdn.com/210200-inspection/b37afe2e-fe18-4e92-8dde-68ebccbaebfa.jpg.296x216.jpg', '自然天城B区 2室2厅 69.8万', '自然天城B区  | 2室2厅 | 89.04平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2012年建板楼  -  金纺', '69.8万', '单价7840元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadd345bd6e-f5bf-4341-a540-fc962df9d1ff.jpg.296x216.jpg', '金马路轻轨站90平两室两厅灵动跃层交通便利配套全', '新希望家园  | 2室1厅 | 90.86平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2009年建板楼  -  城润', '67万', '单价7374元/平米')
('https://image1.ljcdn.com/210200-inspection/test-1ce6eb03-8749-42bd-a22c-e78dda726771.png.296x216.jpg', '南棉小区 两室南北通透 拎包住 低楼层 送仓房', '南棉小区  | 2室1厅 | 72平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1990年建板楼  -  南棉', '53万', '单价7362元/平米')
('https://image1.ljcdn.com/210200-inspection/test-3837016a-f639-4ab0-9463-b67679885223.png.296x216.jpg', '永乐金庭，两室一厅，采光好，中等装修', '永乐金庭  | 2室1厅 | 82.19平米 | 南 北 | 简装 | 有电梯', '高楼层(共12层)2006年建板楼  -  连大', '61万', '单价7422元/平米')
('https://image1.ljcdn.com/210200-inspection/a0dd971f-bc83-4b46-8ee9-8d75d8a3d458.jpg.296x216.jpg', '聚鑫康居金润金纺万科东山路婚房装修非顶楼', '聚鑫小区一期  | 2室1厅 | 66平米 | 南 北 | 精装 | 无电梯', '高楼层(共8层)1996年建板楼  -  金纺', '39.8万', '单价6031元/平米')
('https://image1.ljcdn.com/210200-inspection/0ebe2a1e-1d6e-4b16-8ec7-18d577fa5552.jpg.296x216.jpg', '绿苑小区 舒适装修 两室两厅 中间楼层 拎包入住', '绿苑小区  | 2室2厅 | 98.09平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  南棉', '70万', '单价7137元/平米')
('https://image1.ljcdn.com/210200-inspection/test-89979f8e-120e-4ddb-9b1a-afc4e1e94f1d.png.296x216.jpg', '小户型 中间楼层 采光充足 近火车站 有钥匙看房有钥匙', '和嘉佳园  | 2室0厅 | 49.25平米 | 东 | 简装 | 有电梯', '低楼层(共18层)2009年建板楼  -  站前', '30万', '单价6092元/平米')
('https://image1.ljcdn.com/210200-inspection/test-f4e9ac19-b980-45dc-a500-bf156f5e776a.png.296x216.jpg', '体育场小区框架楼中间楼层 位置安静 交通便利配套齐', '体育场小区  | 2室2厅 | 115.71平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1999年建板楼  -  碧海', '86.8万', '单价7502元/平米')
('https://image1.ljcdn.com/210200-inspection/3c6c02a3-6488-49aa-b377-635a99baf69c.jpg.296x216.jpg', '金纺馨公寓 1室1厅 25万', '金纺馨公寓  | 1室1厅 | 42.82平米 | 北 | 简装 | 有电梯', '低楼层(共18层)板楼  -  金纺', '25万', '单价5839元/平米')
('https://image1.ljcdn.com/210200-inspection/ba666d9e-2fbf-46ca-bed8-5ede1b684d17.jpg.296x216.jpg', '德泰岭秀逸城，精装顶楼跃层大黑山天然氧吧 南北通透', '德泰岭秀逸城B区  | 4室2厅 | 113.84平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2013年建板楼  -  桃园', '169万', '单价14846元/平米')
('https://image1.ljcdn.com/210200-inspection/test-da3cfe02-951f-4c25-af2d-be19554aa6a9.png.296x216.jpg', '碧海尚城 此房楼层好视野好 交通便利 大商新玛特', '碧海尚城  | 1室0厅 | 59.35平米 | 南 | 简装 | 有电梯', '低楼层(共30层)2007年建板楼  -  碧海', '41万', '单价6909元/平米')
('https://image1.ljcdn.com/210200-inspection/test-b7a0219a-e477-4e02-97a2-79d0f8925774.png.296x216.jpg', '德泰岭秀逸城B区一室一厅精装修中间楼层不挡光', '德泰岭秀逸城B区  | 1室1厅 | 65.41平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2015年建板楼  -  桃园', '72万', '单价11008元/平米')
('https://image1.ljcdn.com/210200-inspection/test-21750364-d616-41f4-b8e7-c2ae629f7125.png.296x216.jpg', '聚鑫小区、框架四楼、采光充足，两室一厅本', '聚鑫小区二期  | 2室1厅 | 50平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2008年建板楼  -  金纺', '41万', '单价8200元/平米')
('https://image1.ljcdn.com/210200-inspection/test-90cd8201-0a98-40c1-b946-f77b21744e88.png.296x216.jpg', '金纺小区二楼万科城东边南北向交通便利', '金纺小区  | 2室1厅 | 52.57平米 | 东南 北 | 简装 | 无电梯', '低楼层(共6层)1993年建板楼  -  金纺', '36万', '单价6849元/平米')
('https://image1.ljcdn.com/210200-inspection/ada52372-7be1-4dc7-9098-09df94742982.JPG.296x216.jpg', '凤凰山花园 3室3厅 150万', '凤凰山花园  | 3室3厅 | 90.54平米 | 南 北 | 精装 | 有电梯', '高楼层(共9层)2009年建板楼  -  桃园', '150万', '单价16568元/平米')
('https://image1.ljcdn.com/210200-inspection/e3009858-75aa-4ac7-9007-8de03a90e3fe.jpg.296x216.jpg', '南北通透两室 楼层好 装修保持好  现代风格', '劳动局小区  | 2室1厅 | 83.5平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)1996年建板楼  -  光明', '69万', '单价8264元/平米')
('https://image1.ljcdn.com/210200-inspection/2662a6a1-52b9-4ed1-8179-cb06232c0e36.jpg.296x216.jpg', '南棉小区 采光好，视野广 ，生活方便', '南棉小区  | 2室1厅 | 62平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1990年建板楼  -  南棉', '32万', '单价5162元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadcf9f3e43-8fdf-4ccc-868a-e1e1deda3a15.jpg.296x216.jpg', '朝阳小区 南北两居室 装修保持干净', '朝阳小区  | 2室1厅 | 72.84平米 | 南 北 | 简装', '中楼层(共8层)板楼  -  碧海', '52万', '单价7139元/平米')
('https://image1.ljcdn.com/210200-inspection/35effeb7-a8d0-4b86-a4e7-049b4873a05b.jpg.296x216.jpg', '直降十万 顶楼送阁楼  赠送面积45平', '鸿玮澜山一期  | 3室1厅 | 98.48平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2009年建板楼  -  桃园', '130万', '单价13201元/平米')
('https://image1.ljcdn.com/210200-inspection/81c198e5-ec74-482b-bdfc-b91ab15be3e7.jpg.296x216.jpg', '体育场小区赠送仓房2室2厅老式装修适合老人居住！', '体育场小区  | 2室2厅 | 99平米 | 南 北 | 其他 | 无电梯', '低楼层(共5层)2007年建板楼  -  碧海', '68万', '单价6869元/平米')
('https://image1.ljcdn.com/210200-inspection/0e79ed92-49cd-407c-8386-04541cc30668.jpg.296x216.jpg', '万科城 3室1厅 145万', '万科城  | 3室1厅 | 117.17平米 | 南 北 | 精装 | 有电梯', '中楼层(共33层)2015年建板楼  -  金纺', '145万', '单价12376元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload40fa8693-6e91-4cb6-9a70-7bd6eec4eeee.jpg.296x216.jpg', '轻轨站金润两室通厅户型房主急售', '金润小区B区  | 2室1厅 | 43.46平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)2010年建板楼  -  金润', '34万', '单价7824元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadb1e717d5-45fa-482c-a255-6f40a207e074.jpg.296x216.jpg', '康居小区，南向采光好，精装修价位低', '康居小区  | 3室2厅 | 67.82平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2005年建板楼  -  金润', '54.5万', '单价8036元/平米')
('https://image1.ljcdn.com/210200-inspection/test-45beba9c-832e-4b44-a960-d765fddc3940.png.296x216.jpg', '滨海丰园 三室两厅 中间楼层 位置好', '滨海丰园  | 3室2厅 | 123.6平米 | 南 北 | 其他', '中楼层(共11层)2011年建板楼  -  金湾新城', '104万', '单价8415元/平米')
('https://image1.ljcdn.com/210200-inspection/test-bedf8c69-2498-42f3-955e-b554604578d0.png.296x216.jpg', '桂林小区 2室1厅 58万', '桂林小区  | 2室1厅 | 70.79平米 | 南 北 | 简装 | 无电梯', '低楼层(共5层)板楼  -  古城汇金', '58万', '单价8194元/平米')
('https://image1.ljcdn.com/210200-inspection/59e9dedf-d2da-4b90-be83-12e8dcb3608d.JPG.296x216.jpg', '天鸿展视界 3室1厅 55万', '天鸿展视界  | 3室1厅 | 83.45平米 | 南 北 | 简装', '高楼层(共33层)板楼  -  古城汇金', '55万', '单价6591元/平米')
('https://image1.ljcdn.com/210200-inspection/c2ff0251-7e7c-49db-92c4-7e22da095041.jpg.296x216.jpg', '东林世家精装三室两卫 南北通透位置好采光好', '东林世家  | 3室2厅 | 82.5平米 | 南 北 | 精装 | 有电梯', '高楼层(共19层)2008年建塔楼  -  碧海', '140万', '单价16970元/平米')
('https://image1.ljcdn.com/210200-inspection/ec91d139-56bf-4b31-81ed-8f1b7230ca98.jpg.296x216.jpg', '峰景西海岸 2室0厅 36万', '峰景西海岸  | 2室0厅 | 39.86平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2009年建板楼  -  连大', '36万', '单价9032元/平米')
('https://image1.ljcdn.com/210200-inspection/5f8fd9ba-db53-4e0d-9ff5-0b7a88598736.jpg.296x216.jpg', '古城甲区，两室两厅，南北通透，简单装修采光充足', '古城甲区  | 2室2厅 | 81平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)1997年建板楼  -  古城汇金', '63万', '单价7778元/平米')
('https://image1.ljcdn.com/210200-inspection/e68a65c6-be50-4478-9568-eefeb58fa2d8.jpg.296x216.jpg', '连胜小区 2室1厅 41万', '连胜小区  | 2室1厅 | 61.62平米 | 南 北 | 精装', '高楼层(共7层)板楼  -  站前', '41万', '单价6654元/平米')
('https://image1.ljcdn.com/210200-inspection/test-95fc11a6-84a0-4b50-8ea5-549f825222d9.png.296x216.jpg', '配套齐全交通便利中间楼层两室一厅 采光好。 南北通透', '康居小区  | 2室1厅 | 66.64平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1998年建板楼  -  金润', '57万', '单价8554元/平米')
('https://image1.ljcdn.com/210200-inspection/test-04b0d9b4-abb2-42cc-83b9-ca58b21a9701.png.296x216.jpg', '龙祥嘉园\u3000南北通透西客厅简单装修\u3000单价7400', '龙祥嘉园  | 2室2厅 | 88.56平米 | 南 北 | 简装 | 有电梯', '中楼层(共18层)2005年建板楼  -  金华', '66万', '单价7453元/平米')
('https://image1.ljcdn.com/210200-inspection/a0e37445-e52c-4d9c-9cc4-66d578cecdb8.jpg.296x216.jpg', '金纺小区 简单装修 拎包入住 南北户型', '金纺小区  | 2室1厅 | 56.54平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1988年建板楼  -  金纺', '29万', '单价5130元/平米')
('https://image1.ljcdn.com/210200-inspection/46748355-6308-4439-96e1-c7b2990e5d1d.jpg.296x216.jpg', '金马路轻轨站生辉小高层三室两厅一卫小高层装修好', '生辉第一城  | 3室2厅 | 113.4平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2007年建板楼  -  城润', '116.5万', '单价10274元/平米')
('https://image1.ljcdn.com/210200-inspection/test-19446f3d-bf37-4e73-a547-3163d1065697.png.296x216.jpg', '滨海丰园 中间楼层 精装修 随时看房 最前排 无遮挡', '滨海丰园  | 2室1厅 | 104.78平米 | 南 北 | 精装', '低楼层(共25层)2011年建板楼  -  金湾新城', '89万', '单价8494元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload3c09b493-a679-4f10-b329-d4e5b9e47117.jpg.296x216.jpg', '桃园小区 3室1厅 56万', '桃园小区  | 3室1厅 | 90平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1992年建板楼  -  桃园', '56万', '单价6223元/平米')
('https://image1.ljcdn.com/210200-inspection/8668412c-17fa-4885-a356-bd2f41b04757.JPG.296x216.jpg', '此房是六楼跃层，能打阁楼，可以改多个卧室.三个阳台', '华夏金城  | 3室2厅 | 124.04平米 | 南 西 北 | 毛坯 | 无电梯', '高楼层(共6层)2008年建板楼  -  古城汇金', '110万', '单价8869元/平米')
('https://image1.ljcdn.com/210200-inspection/2918db40-0ced-4969-b769-9d3ea70b26d5.jpg.296x216.jpg', '金地新里程 2室1厅 42万', '金地新里程  | 2室1厅 | 59.74平米 | 西北 | 其他 | 有电梯', '中楼层(共24层)2008年建板楼  -  城润', '42万', '单价7031元/平米')
('https://image1.ljcdn.com/210200-inspection/dc915e68-6114-485a-a682-1fcbb2103978.jpg.296x216.jpg', '桃园小区 2室1厅 42万', '桃园小区  | 2室1厅 | 60.83平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1992年建板楼  -  桃园', '42万', '单价6905元/平米')
('https://image1.ljcdn.com/210200-inspection/73fac003-ec7c-4e53-8a7b-275e04e53fed.JPG.296x216.jpg', '生辉第 一 城中间楼层大三室清水房跃层采光好', '生辉第一城  | 3室1厅 | 55.61平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2007年建板楼  -  城润', '70万', '单价12588元/平米')
('https://image1.ljcdn.com/210200-inspection/d812337d-559a-46bd-9cb1-92376b88c1b9.jpg.296x216.jpg', '古城丁区，少有框架楼，南北通透', '古城丁区  | 2室1厅 | 76平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1997年建板楼  -  古城汇金', '55.5万', '单价7303元/平米')
('https://image1.ljcdn.com/210200-inspection/ed590a07-99be-497d-82bd-3585fddfb102.JPG.296x216.jpg', '三室一厅一厨一卫，清水房，，，', '金海国际花园  | 3室1厅 | 102.11平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共12层)2016年建板楼  -  金华', '80万', '单价7835元/平米')
('https://image1.ljcdn.com/210200-inspection/test-03090052-5e6f-4ff4-b723-7ee369b436df.png.296x216.jpg', '碧海尚城 1室0厅 落地大窗 视野好复式体育场', '碧海尚城  | 1室0厅 | 59.83平米 | 北 | 简装 | 有电梯', '低楼层(共30层)2007年建板楼  -  碧海', '45万', '单价7522元/平米')
('https://image1.ljcdn.com/210200-inspection/190ab078-fb6f-44a0-9908-91ae5eb3e222.jpg.296x216.jpg', '自然天城B区 2室1厅 62万', '自然天城B区  | 2室1厅 | 79平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2012年建板楼  -  金纺', '62万', '单价7849元/平米')
('https://image1.ljcdn.com/210200-inspection/7803413d-c4c2-4e1e-b060-2f768080525a.jpg.296x216.jpg', '百畅园  铁路房  南北通透两室', '百畅园  | 2室2厅 | 76.11平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)2000年建板楼  -  碧海', '42万', '单价5519元/平米')
('https://image1.ljcdn.com/210200-inspection/dc538a6d-5f67-4fe1-bcd7-3f02a23fbe0e.jpg.296x216.jpg', '德泰岭秀逸城跃层120平 南向 清水房', '德泰岭秀逸城  | 2室2厅 | 120.47平米 | 南 | 毛坯 | 有电梯', '高楼层(共33层)2013年建板楼  -  桃园', '120万', '单价9961元/平米')
('https://image1.ljcdn.com/210200-inspection/bc46eb64-901e-4dbb-8aae-67d80e669222.jpg.296x216.jpg', '华邦俪城 4室2厅 157万', '华邦俪城  | 4室2厅 | 110平米 | 东 南 北 | 精装 | 有电梯', '低楼层(共21层)2011年建板楼  -  桃园', '157万', '单价14273元/平米')
('https://image1.ljcdn.com/210200-inspection/b2582989-3753-4eb8-87a4-311ed49ecc02.jpg.296x216.jpg', '滨海丰园 3室2厅 89万', '滨海丰园  | 3室2厅 | 104.71平米 | 南 北 | 其他', '高楼层(共25层)2011年建板楼  -  金湾新城', '89万', '单价8500元/平米')
('https://image1.ljcdn.com/210200-inspection/d2ec0c0d-96b2-4f64-b512-e0a3d58460a4.jpg.296x216.jpg', '金马路生辉顶跃清水视野开阔采光充足有钥匙看房方便', '生辉第一城  | 3室1厅 | 61平米 | 南 | 毛坯 | 有电梯', '高楼层(共30层)2007年建板楼  -  城润', '72万', '单价11804元/平米')
('https://image1.ljcdn.com/210200-inspection/test-181ee002-add2-4450-8ee9-ac3ee5842a5f.png.296x216.jpg', '联胜小区 2室1厅 38.5万', '联胜小区  | 2室1厅 | 70平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共6层)1995年建板楼  -  站前', '38.5万', '单价5500元/平米')
('https://image1.ljcdn.com/210200-inspection/c1b481de-6d3d-4c1b-93ba-61c02e27f506.jpg.296x216.jpg', '金海国际花园 2室2厅 76.8万', '金海国际花园  | 2室2厅 | 88.71平米 | 南 北 | 其他 | 有电梯', '中楼层(共12层)2016年建板楼  -  金华', '76.8万', '单价8658元/平米')
('https://image1.ljcdn.com/210200-inspection/test-607aa9f5-b0bd-41a1-8fb5-569070a0dcaa.png.296x216.jpg', '体育场小区 南向的房子 两居室 出行方便', '体育场小区  | 2室1厅 | 56平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  碧海', '44万', '单价7858元/平米')
('https://image1.ljcdn.com/210200-inspection/6d143b30-f510-43b2-ac1f-e71fbdb14589.jpg.296x216.jpg', '三室两厅 户型规整 采光充足 视野开阔', '鸿玮澜山二期  | 3室2厅 | 119.07平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共11层)2015年建板楼  -  桃园', '180万', '单价15118元/平米')
('https://image1.ljcdn.com/210200-inspection/test-31b5af77-e1d8-4687-9962-6c347af87207.png.296x216.jpg', '滨海丰园 南北通厅 清水房 中间楼层', '滨海丰园  | 2室1厅 | 105平米 | 南 北 | 其他', '中楼层(共25层)2011年建板楼  -  金湾新城', '74万', '单价7048元/平米')
('https://image1.ljcdn.com/210200-inspection/d7e8f954-16e9-4fba-8f8d-88c3e9695b2d.JPG.296x216.jpg', '新希望家园 2室1厅 74万', '新希望家园  | 2室1厅 | 90.86平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2009年建板楼  -  城润', '74万', '单价8145元/平米')
