('https://image1.ljcdn.com/441900-inspection/b26a48a9-1a80-447a-92ab-b5896c77a169.jpg.296x216.jpg', '恒大华府 刚需两房 厅出阳台户型 自住装修保养好', '恒大华府  | 2室1厅 | 90.43平米 | 北 | 其他', '中楼层(共30层)塔楼  -  西城楼', '135万', '单价14929元/平米')
('', '高楼层，带万科装修，可以拎包入住。', '万科中心  | 1室0厅 | 31.67平米 | 北 | 其他', '中楼层(共12层)塔楼  -  黄旗山', '46万', '单价14525元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload5c84e003-b7bb-4e22-a0e3-1cc80202c47c.jpg.296x216.jpg', '恒大华府 装修大单间 电梯中高层 次新小区 配套齐全', '恒大华府  | 1室1厅 | 61.18平米 | 东南 | 其他', '低楼层(共30层)塔楼  -  西城楼', '72万', '单价11769元/平米')
('https://image1.ljcdn.com/441900-inspection/0ccf29b1-f7b4-429d-9ee3-fbb5a35522f0.jpg.296x216.jpg', '富盈东方华府毛坯大单间，地铁口物业，业主诚意出售。', '富盈东方华府  | 1室0厅 | 55.4平米 | 北 | 其他', '中楼层(共22层)塔楼  -  东莞行政中心区', '135万', '单价24369元/平米')
('https://image1.ljcdn.com/441900-inspection/29c333e4-8ae5-4048-a7c2-5ab683e6e6fa.jpg.296x216.jpg', '家私家电齐全，通透性好，视野开阔，生活便利。', '万科中心  | 1室0厅 | 31.3平米 | 南 | 其他', '高楼层(共28层)塔楼  -  黄旗山', '50万', '单价15975元/平米')
('https://image1.ljcdn.com/441900-inspection/6713949d-32c1-4d78-add2-017e0ae0598a.jpg.296x216.jpg', '小区很好入住率比较高，交通也很方便', '万科中心  | 1室0厅 | 32平米 | 东 | 其他', '低楼层(共28层)塔楼  -  黄旗山', '48万', '单价15000元/平米')
('https://image1.ljcdn.com/441900-inspection/ae6c058e-686c-4acb-97f3-d29752bf1d62.jpg.296x216.jpg', '配套完善，   重新装修，    户型方正', '东湖花园  | 3室1厅 | 110平米 | 北 | 其他', '高楼层(共33层)塔楼  -  罗沙', '136万', '单价12364元/平米')
('https://image1.ljcdn.com/441900-inspection/73936471-11b8-4f2f-a706-1b86a604cfea.jpg.296x216.jpg', '恒大华府 1室1厅 75万', '恒大华府  | 1室1厅 | 58平米 | 南 | 其他', '高楼层(共30层)塔楼  -  西城楼', '75万', '单价12932元/平米')
('https://image1.ljcdn.com/441900-inspection/9344cce2-eae2-455c-b463-50e43c0522aa.jpg.296x216.jpg', '碧桂园品质小区 产权清晰 户型方正 采光好 诚心出售', '碧桂园Park Royal  | 3室2厅 | 97.89平米 | 南 | 其他', '中楼层(共6层)2017年建塔楼  -  东平街', '236万', '单价24109元/平米')
('https://image1.ljcdn.com/441900-inspection/2c444217-8e38-4e0c-90c7-0342af5f8bd8.jpg.296x216.jpg', '合和大厦户型方正 保养很好电梯物业楼龄新带空中花园', '合和大厦  | 3室2厅 | 108.05平米 | 东北 | 精装', '低楼层(共26层)板塔结合  -  运河东', '148万', '单价13698元/平米')
('https://image1.ljcdn.com/441900-inspection/740d8894-1de0-4705-8a4f-8990374b0eea.jpg.296x216.jpg', '主城区物业 距离地铁口大约800米左右', '东城城市花园  | 3室2厅 | 99.26平米 | 东 | 其他', '高楼层(共12层)塔楼  -  东平街', '200万', '单价20150元/平米')
('https://image1.ljcdn.com/441900-inspection/74ee0fdb-0af3-4aa2-ab41-08bcb6c66b9b.jpg.296x216.jpg', '西城楼实用两房 采光佳 通风好', '西城楼大街  | 2室2厅 | 78.23平米 | 北 | 简装', '高楼层(共26层)板塔结合  -  西城楼', '155万', '单价19814元/平米')
('https://image1.ljcdn.com/441900-inspection/7397dbf9-e15f-4628-b1b8-ff8efe7bc479.jpg.296x216.jpg', '金峰堡  此房满五唯一免个税，税费低', '金峰堡大厦  | 4室2厅 | 156.67平米 | 南 | 其他', '中楼层(共16层)塔楼  -  东平街', '220万', '单价14043元/平米')
('https://image1.ljcdn.com/441900-inspection/02be586b-f0c4-4828-927e-2f13cffe8109.jpg.296x216.jpg', '君御旗峰豪园 159平大3房 业主自住 保养好 拎包入住', '君御旗峰豪园  | 3室2厅 | 159平米 | 南 北 | 其他', '低楼层(共36层)2013年建塔楼  -  东莞行政中心区', '399万', '单价25095元/平米')
('https://image1.ljcdn.com/441900-inspection/93d63548-ac6b-4e83-86f0-df038e48bdb2.jpg.296x216.jpg', '华丽大厦 满五唯一 实用四房 实用率高', '华丽大厦  | 4室2厅 | 101.7平米 | 西北 | 简装', '中楼层(共8层)2002年建暂无数据  -  学院路', '96万', '单价9440元/平米')
('https://image1.ljcdn.com/441900-inspection/bc9f132b-d98a-4182-b417-6e1522b1e8cc.jpg.296x216.jpg', '标准三房，拎包可入住，业主诚意出售', '东城城市花园  | 3室2厅 | 119.08平米 | 东南 南 | 其他', '高楼层(共12层)塔楼  -  东平街', '190万', '单价15956元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload466b8156-6a74-4b46-be1f-3ef02fba9792.jpg.296x216.jpg', '福民广场满五唯一免双税 户型方正四房   高楼层采光好', '福民广场  | 4室2厅 | 176平米 | 南 北 | 其他', '高楼层(共17层)塔楼  -  东平街', '230万', '单价13069元/平米')
('https://image1.ljcdn.com/441900-inspection/824b426b-f87a-4405-ba1d-dc792420dd00.jpg.296x216.jpg', '富盈东方美誉 住宅用途 70产权 可做实用两房 东南朝向', '富盈东方华府  | 1室0厅 | 51.41平米 | 东南 | 毛坯', '低楼层(共22层)塔楼  -  东莞行政中心区', '100万', '单价19452元/平米')
('https://image1.ljcdn.com/441900-inspection/e2ba3d96-43f9-4506-a500-1ebae941fb01.jpg.296x216.jpg', '户型方正，满五唯一，生活便利，交通便利。', '东城城市花园  | 3室1厅 | 113.9平米 | 北 | 精装', '低楼层(共12层)塔楼  -  东平街', '180万', '单价15804元/平米')
('https://image1.ljcdn.com/441900-inspection/3390d4e8-e489-4bd5-907c-a134c569cff7.jpg.296x216.jpg', '漂亮一房 家私电器齐全 看中即可签约', '恒大华府  | 1室1厅 | 58.34平米 | 南 | 其他', '低楼层(共30层)塔楼  -  西城楼', '67万', '单价11485元/平米')
('https://image1.ljcdn.com/441900-inspection/8e9a1672-3069-459c-9a21-dc81cf6f8002.jpg.296x216.jpg', '莞城电梯小区，房子满五唯一，漂亮三房。', '铭可达商住中心  | 3室2厅 | 120.83平米 | 东南 | 其他', '低楼层(共29层)塔楼  -  八达路', '170万', '单价14070元/平米')
('https://image1.ljcdn.com/441900-inspection/08278d6a-bc0f-447f-9da3-0a5087c7c9f1.jpg.296x216.jpg', '房子装修保养很好,满五唯一，高楼层。', '花城广场  | 3室2厅 | 97.5平米 | 北 | 精装', '中楼层(共21层)2010年建塔楼  -  莞城', '220万', '单价22565元/平米')
('https://image1.ljcdn.com/441900-inspection/dfed64a2-d3da-4443-b473-05badb75f56b.jpg.296x216.jpg', '城市花园顶层复式5房，满五唯一税费低', '东城城市花园  | 5室2厅 | 276平米 | 东 | 其他', '高楼层(共12层)塔楼  -  东平街', '500万', '单价18116元/平米')
('https://image1.ljcdn.com/441900-inspection/97f1f019-469d-48b4-ae4d-4a686a13ed58.jpg.296x216.jpg', '富通自在城 2室2厅 155万', '富通自在城  | 2室2厅 | 77.63平米 | 东南 | 其他', '高楼层(共32层)2015年建塔楼  -  运河东', '155万', '单价19967元/平米')
('https://image1.ljcdn.com/441900-inspection/c4ace209-b1dd-4ecd-8512-deaac91c3d5f.jpg.296x216.jpg', '富盈东方华府 实用大三房 户型方正 大阳台 宜居宜住', '富盈东方华府  | 3室2厅 | 121平米 | 南 | 毛坯', '中楼层(共19层)塔楼  -  东莞行政中心区', '296万', '单价24463元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadee40f943-0cde-4056-9093-1e9253aca42f.jpg.296x216.jpg', '恒大华府实用两房，位置安静舒适，适居家', '恒大华府  | 2室1厅 | 90平米 | 南 | 其他', '高楼层(共30层)塔楼  -  西城楼', '165万', '单价18334元/平米')
('https://image1.ljcdn.com/441900-inspection/af2063ce-0945-4037-b087-463e9a2a1b0b.jpg.296x216.jpg', '聚福豪苑户型方正，采光好，视野宽阔，适合一家人居住', '聚福豪苑  | 4室2厅 | 174.26平米 | 北 | 其他', '低楼层(共26层)2003年建塔楼  -  东平街', '230万', '单价13199元/平米')
('https://image1.ljcdn.com/441900-inspection/4c0c2e59-5f41-470a-a9d3-6fcefab158b9.jpg.296x216.jpg', '东盛大厦 电梯3房 南向高层 通风采光好 交通停车便利', '东盛大厦  | 3室2厅 | 124.79平米 | 南 | 其他', '中楼层(共25层)2002年建塔楼  -  运河东', '100万', '单价8014元/平米')
('https://image1.ljcdn.com/441900-inspection/6ffbd7f0-b2d6-4177-86c7-4ce0b5896b84.jpg.296x216.jpg', '西城楼大街  满五唯一 高楼层  刚需两房', '西城楼大街  | 2室2厅 | 82.25平米 | 西北 | 简装', '高楼层(共28层)塔楼  -  西城楼', '190万', '单价23101元/平米')
('https://image1.ljcdn.com/441900-inspection/4968e826-c838-480f-9a18-cc6799b36140.jpg.296x216.jpg', '花城广场高层楼，满五唯一，南北通透精装修带家私家电', '花城广场  | 3室2厅 | 98.5平米 | 南 北 | 精装', '高楼层(共21层)2010年建塔楼  -  莞城', '230万', '单价23351元/平米')
('https://image1.ljcdn.com/441900-inspection/9246b0dc-9ffe-4766-b835-415ad5458f6a.jpg.296x216.jpg', '东湖花园高楼层3室2厅双阳台户型方正，诚意出售', '东湖花园  | 3室2厅 | 130平米 | 东 东南 | 其他', '高楼层(共33层)塔楼  -  罗沙', '148万', '单价11385元/平米')
('https://image1.ljcdn.com/441900-inspection/007164d3-2697-400c-8432-cb07c8874d42.jpg.296x216.jpg', '东湖花园2室2厅配套完善，交通便利，诚意出售', '东湖花园  | 2室2厅 | 110平米 | 南 | 其他', '低楼层(共33层)塔楼  -  罗沙', '120万', '单价10910元/平米')
('https://image1.ljcdn.com/441900-inspection/82dee982-f051-45f4-9b2f-9715b3999d6c.jpg.296x216.jpg', '东湖花园：中高楼层，采光好，交通便利，户型方正。', '东湖花园  | 3室2厅 | 133平米 | 西南 | 其他', '中楼层(共33层)塔楼  -  罗沙', '152万', '单价11429元/平米')
('https://image1.ljcdn.com/441900-inspection/0c45674c-1493-46a1-ad3d-ad41988ae0de.jpg.296x216.jpg', '精装修一房  小区坏境好 带全新家私家电', '富盈东方华府  | 1室1厅 | 51.41平米 | 北 | 其他', '低楼层(共22层)塔楼  -  东莞行政中心区', '115万', '单价22370元/平米')
('https://image1.ljcdn.com/441900-inspection/4bd12f00-f1ca-4900-8824-32b57d4485b6.jpg.296x216.jpg', '实用大两房业主自住装修保养好小区安静位置', '东糖花园  | 2室2厅 | 98平米 | 北 | 其他', '低楼层(共13层)2003年建塔楼  -  罗沙', '175万', '单价17858元/平米')
('https://image1.ljcdn.com/441900-inspection/24b7107f-9766-4912-b577-871a6f6c03ef.jpg.296x216.jpg', '配套齐全 位置安静 可做复试房', '富盈东方华府  | 1室1厅 | 51平米 | 北 | 其他', '中楼层(共22层)塔楼  -  东莞行政中心区', '100万', '单价19608元/平米')
('https://image1.ljcdn.com/441900-inspection/7e7f5c64-62e9-4057-97d8-477c824d3e98.jpg.296x216.jpg', '金牛花园满五唯一，装修保养好，带家电拎包入住', '金牛花园  | 4室2厅 | 172.25平米 | 北 | 其他', '低楼层(共20层)暂无数据  -  八达路', '255万', '单价14805元/平米')
('https://image1.ljcdn.com/441900-inspection/60dbff6f-62a4-45d6-9543-81a790bb4fdb.jpg.296x216.jpg', '华丽大厦  单价底  空气好 入户读6小 公积金可以贷款', '华丽大厦  | 3室2厅 | 101平米 | 西南 | 其他', '高楼层(共8层)2002年建暂无数据  -  学院路', '59万', '单价5842元/平米')
('https://image1.ljcdn.com/441900-inspection/10826731-8d2d-41ca-9d6a-60890ccbfa6b.jpg.296x216.jpg', '西城楼华辉阁 电梯 毛坯三房 户型方正', '西城楼大街  | 3室2厅 | 130.13平米 | 南 | 其他', '高楼层(共28层)塔楼  -  西城楼', '238万', '单价18290元/平米')
('', '楼龄新，装修保养好，可拎包即住', '君御旗峰豪园  | 5室2厅 | 233.21平米 | 东南 | 其他', '低楼层(共31层)2013年建塔楼  -  东莞行政中心区', '680万', '单价29159元/平米')
('https://image1.ljcdn.com/441900-inspection/d3e12662-c2c0-4c79-8306-74e42c39956b.jpg.296x216.jpg', '满五唯一 全新精装修三房南北通透双阳台 碧桂园品牌', '碧桂园Park Royal  | 3室2厅 | 115.57平米 | 南 北 | 精装', '低楼层(共30层)2016年建板楼  -  东平街', '300万', '单价25959元/平米')
('https://image1.ljcdn.com/441900-inspection/106ee62c-2334-4cdc-b5d3-c6ac3e432300.jpg.296x216.jpg', '电梯 精装修三房  保养很好  入户可读建设公立', '合和大厦  | 3室1厅 | 102.5平米 | 南 | 其他', '低楼层(共26层)板塔结合  -  运河东', '120万', '单价11708元/平米')
('https://image1.ljcdn.com/441900-inspection/c9b1e3cf-7019-4ac1-a552-7218288ad0d2.jpg.296x216.jpg', '莞城运河西三路富通自在城 南向实用毛坯2房', '富通自在城  | 2室2厅 | 70.62平米 | 东南 | 毛坯', '高楼层(共33层)2015年建塔楼  -  运河东', '155万', '单价21949元/平米')
('https://image1.ljcdn.com/441900-inspection/0759d029-68ee-4970-a409-a3bcb42abe2d.jpg.296x216.jpg', '万科物业方正两房，视野好 采光好 业主诚意放卖！', '万科中心  | 2室1厅 | 65平米 | 东南 | 其他', '中楼层(共28层)塔楼  -  黄旗山', '105万', '单价16154元/平米')
('https://image1.ljcdn.com/441900-inspection/358d1c54-fd28-4d96-a402-1cffeeff1792.jpg.296x216.jpg', '东湖花园：户型方正，光线充足，适合一家人住。', '东湖花园  | 3室2厅 | 130平米 | 北 | 其他', '低楼层(共33层)塔楼  -  罗沙', '168万', '单价12924元/平米')
('https://image1.ljcdn.com/441900-inspection/a79f32b1-a58d-4007-8551-5cb2ee6d8a05.jpg.296x216.jpg', '户型方正。采光通风很好，，，，，', '富通自在城  | 3室2厅 | 87平米 | 南 北 | 其他', '低楼层(共30层)塔楼  -  运河东', '200万', '单价22989元/平米')
('https://image1.ljcdn.com/441900-inspection/7c03ff25-4233-414b-8677-ef4206c3746d.jpg.296x216.jpg', '东方华府 顶楼复式296.39平4+2户型 装修保养很好', '富盈东方华府  | 5室2厅 | 296.39平米 | 南 | 其他', '高楼层(共17层)塔楼  -  东莞行政中心区', '830万', '单价28004元/平米')
('https://image1.ljcdn.com/441900-inspection/b52bfd64-b3a6-45a0-99d3-02d7bd515e87.jpg.296x216.jpg', '实用两房 户型方正 高楼层 入户可读实验小', '铭可达商住中心  | 2室1厅 | 65平米 | 东 | 其他', '高楼层(共29层)塔楼  -  八达路', '98万', '单价15077元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload7f2ca8a3-0e09-4b68-8cb5-f900516b0a35.jpg.296x216.jpg', '漂亮四房，送平台花园，配套齐全。生活方便。', '盈锋广场  | 4室2厅 | 152.81平米 | 南 | 其他', '中楼层(共10层)暂无数据  -  东平街', '300万', '单价19633元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload5bf4bfba-5d86-4e08-842e-f2574cd1c16e.jpg.296x216.jpg', '富盈东方华府超大平层 高层 南北通透', '富盈东方华府  | 3室2厅 | 289平米 | 南 | 其他', '中楼层(共17层)塔楼  -  东莞行政中心区', '750万', '单价25952元/平米')
('https://image1.ljcdn.com/441900-inspection/76cb2045-3ddd-4d55-844b-a23398e99bfd.jpg.296x216.jpg', '东方华府大三房  户型方正  保养好', '富盈东方华府  | 3室2厅 | 121.4平米 | 东南 | 其他', '低楼层(共19层)塔楼  -  东莞行政中心区', '300万', '单价24712元/平米')
('https://image1.ljcdn.com/441900-inspection/2df2d80b-dbab-4dc4-beef-0b4d86fb9554.jpg.296x216.jpg', '聚福豪苑 温馨4房2卫 精美装修 木地板 高楼层视野开阔', '聚福豪苑  | 4室2厅 | 153.55平米 | 南 | 其他', '中楼层(共24层)2003年建塔楼  -  东平街', '219万', '单价14263元/平米')
('https://image1.ljcdn.com/441900-inspection/63d7a5c4-9c62-4ae8-b52d-ccae11730e44.jpg.296x216.jpg', '恒大华府位于金融、贸易集中的莞城区', '恒大华府  | 2室2厅 | 90.32平米 | 东南 | 其他', '低楼层(共30层)塔楼  -  西城楼', '145万', '单价16055元/平米')
('https://image1.ljcdn.com/441900-inspection/bbadf7b4-931a-42aa-bc44-4093d87a26ed.jpg.296x216.jpg', '恒大华府位于金融、贸易集中的莞城区', '恒大华府  | 5室2厅 | 238平米 | 西南 | 其他', '高楼层(共46层)塔楼  -  西城楼', '550万', '单价23110元/平米')
('https://image1.ljcdn.com/441900-inspection/5f70c0f5-6f87-4710-a6b0-e1c609b75a0b.jpg.296x216.jpg', '瑞龙楼 方正三房 业主诚心出售', '瑞龙楼  | 3室2厅 | 93.33平米 | 东南 | 其他', '中楼层(共7层)暂无数据  -  花园新村', '75万', '单价8037元/平米')
('https://image1.ljcdn.com/441900-inspection/6b30191e-0fc5-47ce-8218-996e7887ad90.jpg.296x216.jpg', '恒大华府 电梯公寓 中高楼层 家电齐全 70年产权', '恒大华府  | 1室1厅 | 32.13平米 | 南 | 其他', '中楼层(共30层)塔楼  -  西城楼', '55万', '单价17118元/平米')
('https://image1.ljcdn.com/441900-inspection/d86ccccd-2ab7-4c40-90bd-05eacb6683f0.jpg.296x216.jpg', '铭可达：满五唯一免双税，户型方正，高楼层采光好。', '铭可达商住中心  | 2室2厅 | 79.8平米 | 西北 | 其他', '高楼层(共29层)塔楼  -  八达路', '128万', '单价16041元/平米')
('https://image1.ljcdn.com/441900-inspection/a59a4abb-e1e9-4bd3-8cba-2cacd2f19520.jpg.296x216.jpg', '万科物业，旗峰地铁口，精装修。', '万科中心  | 1室1厅 | 31.31平米 | 北 | 其他', '中楼层(共28层)塔楼  -  黄旗山', '48万', '单价15331元/平米')
('https://image1.ljcdn.com/441900-inspection/db1a8261-3bb4-4453-b28b-620cd6aa4fd4.jpg.296x216.jpg', '君御旗峰豪园  实用5房  保养好', '君御旗峰豪园  | 5室2厅 | 225平米 | 东南 | 精装', '中楼层(共33层)2013年建塔楼  -  东莞行政中心区', '600万', '单价26667元/平米')
('https://image1.ljcdn.com/441900-inspection/625a34a3-8af6-4bc9-a011-1827c8a052bb.jpg.296x216.jpg', '万科物业，地铁口和公检法之间。新楼盘，诚意出售', '万科中心  | 1室0厅 | 31.64平米 | 南 | 其他', '中楼层(共12层)塔楼  -  黄旗山', '52万', '单价16435元/平米')
('https://image1.ljcdn.com/441900-inspection/a3f49fdb-51c5-4314-b306-4b332c00af57.jpg.296x216.jpg', '光大广场 配套完善，高档小区，拎包入住', '光大地王广场  | 4室2厅 | 223平米 | 南 | 其他', '高楼层(共19层)塔楼  -  罗沙', '360万', '单价16144元/平米')
('https://image1.ljcdn.com/441900-inspection/c10a6ded-52f0-4bfc-b0ea-518a09a68229.jpg.296x216.jpg', '旁边有奇峰公园，交通也很方便 ，标准两房', '万科中心  | 2室1厅 | 64.94平米 | 东南 | 其他', '中楼层(共28层)塔楼  -  黄旗山', '115万', '单价17709元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload8ab0546d-dfc1-4de7-9cdb-0a75cb4a145e.jpg.296x216.jpg', '朝南方正5房 位置安静 看黄旗山山景', '富盈东方华府  | 5室2厅 | 188平米 | 东南 | 毛坯', '高楼层(共22层)塔楼  -  东莞行政中心区', '400万', '单价21277元/平米')
('https://image1.ljcdn.com/441900-inspection/a45c5524-5866-4d3c-bfe5-2fd7ef42520c.jpg.296x216.jpg', '东城城市花园高楼层  看小区花园 业主诚意出售', '东城城市花园  | 5室2厅 | 169.08平米 | 东南 | 简装', '高楼层(共12层)塔楼  -  东平街', '260万', '单价15378元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload77883edd-bd7d-4f6b-824a-b713e6353831.jpg.296x216.jpg', '电梯4房 高楼层 采光通风好 可入户 满五唯一', '金峰堡大厦  | 4室2厅 | 142.69平米 | 南 | 其他', '高楼层(共16层)塔楼  -  东平街', '188万', '单价13176元/平米')
('', '高楼层   视野没遮拦   通风采光好', '恒大华府  | 1室1厅 | 58平米 | 西南 | 其他', '高楼层(共30层)塔楼  -  西城楼', '85万', '单价14656元/平米')
('https://image1.ljcdn.com/441900-inspection/fd4cc8b1-5f09-4cbc-9f74-2fb9274d7a59.jpg.296x216.jpg', '莞城金牛花园大四房，保养新， 业主诚意出售', '金牛花园  | 4室2厅 | 172.21平米 | 北 | 其他', '中楼层(共19层)暂无数据  -  八达路', '220万', '单价12776元/平米')
('https://image1.ljcdn.com/441900-inspection/9dfddf2c-2b44-4842-a183-120f765b8ac1.jpg.296x216.jpg', '盈锋广场 南北对流 四房 家私电器齐全 ，居家优先', '盈锋广场  | 4室2厅 | 154.67平米 | 南 | 其他', '中楼层(共11层)暂无数据  -  东平街', '276万', '单价17845元/平米')
