('https://image1.ljcdn.com/442000-inspection/7ae8e557-7dac-4899-aa8c-c1d607532b3b.jpg.296x216.jpg', '世纪新城幸福时光 中楼层 东南朝向两房 视野无遮挡', '世纪新城二期幸福时光  ', '中楼层(共32层)2010年建板楼  -  博爱一南', '138万', '单价15056元/平米')
('https://image1.ljcdn.com/442000-inspection/82ac334d-2fc8-44e9-9b4b-d3e5f1cacc8c.jpg.296x216.jpg', '世纪新城 温馨三房 采光通风好 中高楼层', '世纪新城三期  ', '高楼层(共30层)板楼  -  博爱一南', '190万', '单价15007元/平米')
('https://image1.ljcdn.com/442000-inspection/8a1f2629-c4e0-4395-8df9-5b6aa03ae0a7.jpg.296x216.jpg', '中信左岸精装4房 南北对流 宽敞舒适', '中信左岸花园  ', '中楼层(共24层)板楼  -  博爱一南', '200万', '单价14815元/平米')
('https://image1.ljcdn.com/442000-inspection/091241be-c7d4-406d-8c5a-b1a4c6762dd1.jpg.296x216.jpg', '中信左岸 毛坯三房 可改四房 宽敞大方 南北对流', '中信左岸花园  ', '高楼层(共24层)板楼  -  博爱一南', '173万', '单价12911元/平米')
('https://image1.ljcdn.com/442000-inspection/a853c155-39ab-4c51-bb7e-4af3a4f8cca5.jpg.296x216.jpg', '中海翠林兰溪园 带装修三房 户型方正  电梯南向', '中海翠林兰溪园  ', '中楼层(共9层)2009年建板楼  -  中海翠林', '95万', '单价11430元/平米')
('https://image1.ljcdn.com/442000-inspection/4b74ef0d-f983-4cd8-ac93-8c09b3f05cd6.jpg.296x216.jpg', '满五年 格局方正 通风采光好 高楼层 视野好', '时代倾城  ', '中楼层(共24层)2012年建塔楼  -  博爱一南', '170万', '单价14925元/平米')
('https://image1.ljcdn.com/442000-inspection/0da52d6e-6eb8-486d-8150-248c83ad52d6.jpg.296x216.jpg', '星宝明珠花园 3室2厅 158万', '星宝明珠花园  ', '中楼层(共8层)2010年建塔楼  -  星宝', '158万', '单价10973元/平米')
('https://image1.ljcdn.com/442000-inspection/0270d1a9-1567-4509-9d48-5a8c10596f1b.jpg.296x216.jpg', '康桥活力城 南向 三房两厅 总价低', '康桥活力城  ', '中楼层(共11层)2008年建板楼  -  星宝', '105万', '单价11501元/平米')
('https://image1.ljcdn.com/442000-inspection/f5ca6fe2-6ecb-42b8-8102-6be36101fddb.jpg.296x216.jpg', '满不2年，业主诚心出售，送15平方花园 实用。', '中海翠林兰溪园  ', '低楼层(共5层)2009年建板楼  -  中海翠林', '70万', '单价9150元/平米')
('https://image1.ljcdn.com/442000-inspection/d8f9fb11-5ad1-49d9-a18d-860da6823022.jpg.296x216.jpg', '时代倾城 朝南 带装修 两房 高楼层', '时代倾城  ', '高楼层(共32层)2012年建塔楼  -  博爱一南', '140万', '单价15650元/平米')
('https://image1.ljcdn.com/442000-inspection/07700f41-ff19-4e55-81dc-924859ae9e30.jpg.296x216.jpg', '中高楼层 通风采光好  装修保养好', '世纪新城二期幸福时光  ', '高楼层(共28层)2010年建板楼  -  博爱一南', '140万', '单价13469元/平米')
('https://image1.ljcdn.com/442000-inspection/c5d960a5-b1a7-466d-9138-f3b1da8ff218.jpg.296x216.jpg', '中信左岸 复式 诚意出售 毛坯自装方便', '中信左岸花园  ', '低楼层(共24层)板楼  -  博爱一南', '320万', '单价15510元/平米')
('https://image1.ljcdn.com/442000-inspection/01cd5d71-e750-436c-8f17-2c4052546e7b.jpg.296x216.jpg', '世纪新城一期B区 毛坯三房2卫阳台朝向东南矮无遮挡', '世纪新城一期B区  ', '低楼层(共11层)2007年建板楼  -  博爱一南', '160万', '单价16327元/平米')
('https://image1.ljcdn.com/442000-inspection/7f3a5bf3-8391-44e6-8839-316fd2386239.jpg.296x216.jpg', '世纪新城 毛坯四房 南北对流 一线江景修改房评', '世纪新城一期B区  ', '中楼层(共26层)2007年建板楼  -  博爱一南', '330万', '单价16752元/平米')
('https://image1.ljcdn.com/442000-inspection/9d9518dc-3289-46af-8983-96f0a912a017.jpg.296x216.jpg', '时代倾城 精致装修 中高楼层 诚意出售', '时代倾城  ', '高楼层(共26层)2012年建塔楼  -  博爱一南', '190万', '单价14390元/平米')
('https://image1.ljcdn.com/442000-inspection/78f5f939-424a-4598-bc43-f4cdc6cf7a63.jpg.296x216.jpg', '世纪新城三期  毛坯四房  送入户花园', '世纪新城三期  ', '中楼层(共30层)板楼  -  博爱一南', '220万', '单价15173元/平米')
('https://image1.ljcdn.com/442000-inspection/387dbec1-b978-4ed2-a7e3-4d7d1163e1c3.jpg.296x216.jpg', '中海翠林兰溪园毛坯别墅 小区环境好', '中海翠林兰溪园  ', '1层2009年建塔楼  -  中海翠林', '460万', '单价17038元/平米')
('https://image1.ljcdn.com/442000-inspection/4b4e7059-ad8f-4ce2-8bd3-a371686fdce4.jpg.296x216.jpg', '世纪新城A区 精装四房 南北通透 满五税少 中间楼层', '世纪新城一期A区  ', '中楼层(共18层)板楼  -  博爱一南', '200万', '单价15739元/平米')
('https://image1.ljcdn.com/442000-inspection/58855d09-fc2c-4163-860f-65b3ccca2eae.jpg.296x216.jpg', '中海翠林兰溪园 3+1户型 装修温馨', '中海翠林兰溪园  ', '中楼层(共9层)2009年建板楼  -  中海翠林', '155万', '单价11893元/平米')
('https://image1.ljcdn.com/442000-inspection/ae16c4a0-5353-4a71-92a1-8e0c6db06e25.jpg.296x216.jpg', '中信左岸精装四房出售，三面采光，拎包即住！', '中信左岸花园  ', '中楼层(共24层)板楼  -  博爱一南', '208.5万', '单价15000元/平米')
('https://image1.ljcdn.com/442000-inspection/bfda533a-eac2-47c8-b69a-da2cd8b06b64.jpg.296x216.jpg', '中信左岸 舒适，朝南户型 大露台', '中信左岸花园  ', '低楼层(共24层)板楼  -  博爱一南', '185万', '单价13504元/平米')
('https://image1.ljcdn.com/442000-inspection/b12b59da-5dc3-4829-acdc-e0a870357032.jpg.296x216.jpg', '中信左岸 精装3房 低楼层南向 格局方正实用', '中信左岸花园  ', '低楼层(共24层)板楼  -  博爱一南', '132万', '单价14492元/平米')
('https://image1.ljcdn.com/442000-inspection/1ace320e-e7f5-4bca-bd90-8cd9de2bb879.jpg.296x216.jpg', '联排毛坯别墅  位置安静 格局好', '中海翠林兰溪园  ', '3层2009年建塔楼  -  中海翠林', '400万', '单价19140元/平米')
('https://image1.ljcdn.com/442000-inspection/23c13c4d-cc75-40d0-b460-f0e15cb05274.jpg.296x216.jpg', '世纪新城C区 三房两卫 满五唯一 看房方便 诚意出售', '世纪新城三期  ', '低楼层(共23层)板楼  -  博爱一南', '155万', '单价13363元/平米')
('https://image1.ljcdn.com/442000-inspection/4c59bd13-31b3-428a-889c-716979435530.jpg.296x216.jpg', '时代倾城 毛坯三房 电梯高层 诚意出售', '时代倾城  ', '中楼层(共31层)2014年建塔楼  -  博爱一南', '161万', '单价14733元/平米')
('https://image1.ljcdn.com/442000-inspection/23c0daa9-60fe-4c49-a95d-c7345a6c21bf.jpg.296x216.jpg', '雅居乐世纪新城 精装三房朝南 中高楼层 视野舒适开阔', '世纪新城三期  ', '中楼层(共30层)板楼  -  博爱一南', '170万', '单价16347元/平米')
('https://image1.ljcdn.com/442000-inspection/2131c50a-9ce9-46cd-902d-66749732c373.jpg.296x216.jpg', '雅居乐物业 世纪新城二期 幸福时光 满五唯一', '世纪新城二期幸福时光  ', '中楼层(共28层)2010年建板楼  -  博爱一南', '185万', '单价14609元/平米')
('https://image1.ljcdn.com/442000-inspection/6e40d951-03be-407a-b388-d9ecfac53efd.jpg.296x216.jpg', '时代倾城 南向 高层四房 无遮挡 视野开阔 诚售', '时代倾城  ', '高楼层(共32层)2014年建塔楼  -  博爱一南', '185万', '单价13029元/平米')
('https://image1.ljcdn.com/442000-inspection/5971114d-118a-4bb0-90d0-84e6d68ff3d1.jpg.296x216.jpg', '沙溪世纪新城 朝南 看小区花园 只需交契税 得房率高', '世纪新城一期A区  ', '中楼层(共15层)2007年建板楼  -  博爱一南', '160万', '单价14728元/平米')
('https://image1.ljcdn.com/442000-inspection/bca1c365-8767-4241-9f79-dfacfd20e538.jpg.296x216.jpg', '雅居乐世纪新城 三房朝南 户型方正 视野好 不靠路', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '152万', '单价14660元/平米')
('https://image1.ljcdn.com/442000-inspection/40b7266a-f71b-479e-89a7-a7f926801f6c.jpg.296x216.jpg', '雅居乐世纪新城 双拼别墅出售 豪装七房 带超大花园', '世纪新城三期  ', '1层暂无数据  -  博爱一南', '698万', '单价30557元/平米')
('https://image1.ljcdn.com/442000-inspection/284fe0c7-979b-4c22-aac0-9c0b375c999a.jpg.296x216.jpg', '世纪新城 雅居乐大盘  小区中间 安静舒适 装修保养好', '世纪新城三期  ', '低楼层(共30层)板楼  -  博爱一南', '214万', '单价15508元/平米')
('https://image1.ljcdn.com/442000-inspection/7ca7597d-8531-44c3-9d0b-7b8e90c375d7.jpg.296x216.jpg', '精装三房  保养良好  视野开阔  诚意出售', '中信左岸花园  ', '低楼层(共24层)板楼  -  博爱一南', '170万', '单价12687元/平米')
('https://image1.ljcdn.com/442000-inspection/2d061ef2-4c42-4cf8-9de2-b0caffa030b8.jpg.296x216.jpg', '满五不唯一 税费低 中信左岸108标准3房', '中信左岸花园  ', '低楼层(共24层)板楼  -  博爱一南', '137万', '单价12686元/平米')
('https://image1.ljcdn.com/442000-inspection/ad591bed-39c6-49e6-a06b-1a64705b6561.jpg.296x216.jpg', '时代倾城 实用三房 花园中间 居家安静', '时代倾城  ', '低楼层(共33层)2012年建塔楼  -  博爱一南', '155万', '单价13461元/平米')
('https://image1.ljcdn.com/442000-inspection/f2d971fa-fa31-43de-bf1c-22bb95da8522.jpg.296x216.jpg', '华发四季 天井房 送花园 南北对流大四房 急售', '华发四季  ', '低楼层(共32层)2019年建塔楼  -  溪角中学', '180万', '单价13082元/平米')
('https://image1.ljcdn.com/442000-inspection/df975028-f11d-45c7-8dbb-950d7f4432cd.jpg.296x216.jpg', '汉基四房  南向光线好  安静舒适  成熟商圈  诚意出售', '汉基花园  ', '中楼层(共10层)2010年建塔楼  -  星宝', '136万', '单价10697元/平米')
('https://image1.ljcdn.com/442000-inspection/2406bdd6-0aef-4ce7-be4d-e196179d9fc8.jpg.296x216.jpg', '居住首选康桥花地 环境清静 人车分流', '康桥花地  ', '高楼层(共11层)2008年建塔楼  -  龙瑞', '232万', '单价10498元/平米')
('https://image1.ljcdn.com/442000-inspection/d47286b3-6954-43f2-846d-db357feebb61.jpg.296x216.jpg', '苏荷雅居 高使用率 三房 朝南 无遮挡', '苏荷雅居  ', '中楼层(共18层)2002年建塔楼  -  溪角中学', '115万', '单价13373元/平米')
('https://image1.ljcdn.com/442000-inspection/dfb3687d-8fb9-4baa-80a5-170e5baad328.jpg.296x216.jpg', '广联时代公寓，一房一厅，诚心出售，价格美丽。', '广联时代公寓  ', '中楼层(共8层)2005年建塔楼  -  厚山广场', '23万', '单价10128元/平米')
