('https://image1.ljcdn.com/442000-inspection/7966e88d-3379-4481-956a-5743cd4c3043.jpg.296x216.jpg', '阳光翠苑 4室1厅 206万', '阳光翠苑  ', '中楼层(共8层)2008年建塔楼  -  长命水', '206万', '单价12662元/平米')
('https://image1.ljcdn.com/442000-inspection/b8a51106-b92d-47d7-b636-dd6d7e84dee5.jpg.296x216.jpg', '五桂山 阳光翠苑  步梯三房带装修 保养新净 采光好', '阳光翠苑  ', '中楼层(共6层)2008年建塔楼  -  长命水', '134万', '单价11004元/平米')
('https://image1.ljcdn.com/442000-inspection/337d664e-2747-4227-90d8-66ae3502c102.jpg.296x216.jpg', '五桂山 领东上筑 2房2厅 格局方正 刚需户型', '领东上筑  ', '中楼层(共6层)2008年建塔楼  -  长命水', '99万', '单价13483元/平米')
('https://image1.ljcdn.com/442000-inspection/8d041ee9-a835-408d-8215-d0b719d1d0fb.jpg.296x216.jpg', '五桂山 翠山雅筑  新装修两房 赠送家私电', '翠山雅筑  ', '中楼层(共9层)2009年建塔楼  -  长命水', '130万', '单价14286元/平米')
('https://image1.ljcdn.com/442000-inspection/bbb00e14-b115-4b2e-94b5-8cbe1f67eaff.jpg.296x216.jpg', '五桂山阳光翠苑 叠拼别墅 保养好 景观佳 望泳池', '阳光翠苑  ', '3层塔楼  -  长命水', '320万', '单价15166元/平米')
('https://image1.ljcdn.com/442000-inspection/b26bc6d1-704b-48ab-aed5-5d6fa3b6c17c.jpg.296x216.jpg', '五桂山 长命水 独栋自建房 私家车库花园 四层带装修', '邱屋正街上横巷  ', '低楼层(共3层)塔楼  -  长命水', '600万', '单价14889元/平米')
('https://image1.ljcdn.com/442000-inspection/a8db6443-b31b-42e6-a3ce-d0da2be127ca.jpg.296x216.jpg', '五桂山长命水自建别墅 毛坯大面积 自带车库  私家花园', '长命水一村  ', '低楼层(共3层)塔楼  -  长命水', '920万', '单价21587元/平米')
('https://image1.ljcdn.com/442000-inspection/96748fe1-d316-4275-946f-f4f656afc5fa.jpg.296x216.jpg', '五桂山 阳光翠苑 2+1户型 精简装修 保养新净 带租出售', '阳光翠苑  ', '低楼层(共6层)2008年建塔楼  -  长命水', '110万', '单价11854元/平米')
('https://image1.ljcdn.com/442000-inspection/b16a3951-3167-4b0c-811d-6d515e569817.jpg.296x216.jpg', '五桂山 领东上筑 电梯高楼层 新精装修三房 视野开阔', '领东上筑  ', '中楼层(共18层)2008年建塔楼  -  长命水', '170万', '单价13656元/平米')
('https://image1.ljcdn.com/442000-inspection/4da964ff-7f73-4c2c-9a20-129099b29e4f.jpg.296x216.jpg', '满5唯一免税房，家私家电齐全，现在业主在住。', '翠山雅筑  ', '中楼层(共9层)2009年建塔楼  -  长命水', '119万', '单价14220元/平米')
('https://image1.ljcdn.com/442000-inspection/3e97fda0-a839-4ea5-bdd2-0125bbd5881c.jpg.296x216.jpg', '五桂山 东区后花园 翠山雅筑 简装三房 中高楼层', '翠山雅筑  ', '中楼层(共9层)2009年建塔楼  -  长命水', '132万', '单价12956元/平米')
('https://image1.ljcdn.com/442000-inspection/7320d8d5-b19d-4b0c-949e-99b676527157.jpg.296x216.jpg', '旭日曦苑 1室1厅 43万', '旭日曦苑  ', '低楼层(共11层)塔楼  -  长命水', '43万', '单价11866元/平米')
('https://image1.ljcdn.com/442000-inspection/5c902f9e-a8c6-40ca-b88e-b495852dfda0.jpg.296x216.jpg', '五桂山 领东上筑 装修2房 楼梯房', '领东上筑  ', '高楼层(共6层)2008年建塔楼  -  长命水', '95万', '单价12938元/平米')
('https://image1.ljcdn.com/442000-inspection/988c97df-4619-4a86-baab-7d9a3c9cbde8.jpg.296x216.jpg', '五桂山 阳光翠苑 一房一厅 带装修 安静 电梯中高层', '阳光翠苑  ', '中楼层(共6层)2008年建塔楼  -  长命水', '54.5万', '单价13045元/平米')
('https://image1.ljcdn.com/442000-inspection/50b45a26-9414-4bcc-b9cc-681b28a55e10.jpg.296x216.jpg', '阳光翠苑 装修2房 电梯房 带租出售', '阳光翠苑  ', '中楼层(共8层)2008年建塔楼  -  长命水', '128万', '单价15729元/平米')
('https://image1.ljcdn.com/442000-inspection/c6acbd33-7d44-4941-990f-2053a2878f75.jpg.296x216.jpg', '五桂山 旭日曦苑 实用两房 朝南 户型方正', '旭日曦苑  ', '中楼层(共11层)塔楼  -  长命水', '75万', '单价11030元/平米')
('https://image1.ljcdn.com/442000-inspection/53716bdc-825a-4ead-9bb9-308487f354fb.jpg.296x216.jpg', '五桂山 领东上筑 温馨3房 精致装修 带个小花园', '领东上筑  ', '低楼层(共18层)2008年建塔楼  -  长命水', '161.2万', '单价13013元/平米')
('https://image1.ljcdn.com/442000-inspection/7f2de6fd-ba0b-4d9e-b917-c84fe9c5983e.jpg.296x216.jpg', '五桂山氧吧 雅居乐长堤半岛  买两层送两层 使用率高', '长堤半岛  ', '下叠(共3层)暂无数据  -  长命水', '560万', '单价22067元/平米')
('https://image1.ljcdn.com/442000-inspection/5cdc904c-4dc1-4b0d-9875-3d50a03c28f0.jpg.296x216.jpg', '五桂山秀丽湖叠拼别墅 毛坯方正户型 可加建 视野开阔', '长堤半岛  ', '4层塔楼  -  长命水', '598万', '单价23679元/平米')
('https://image1.ljcdn.com/442000-inspection/3413402f-eb01-4439-ba17-eafe6a26e870.jpg.296x216.jpg', '阳光翠苑 车位 10万', '阳光翠苑  ', '暂无数据  -  长命水', '10万', '单价13228元/平米')
('https://image1.ljcdn.com/442000-inspection/ba4ca37b-6c7f-402f-82d0-7fb552731639.jpg.296x216.jpg', '阳光翠苑 联排别墅出售 证满两年 格局方正 配套齐', '阳光翠苑  ', '3层塔楼  -  长命水', '550万', '单价25119元/平米')
('https://image1.ljcdn.com/442000-inspection/b28a4b54-db1a-45b7-9b69-8343d4165c75.jpg.296x216.jpg', '旭日曦苑 高层1房 格局方正 保养新净 视线景观好', '旭日曦苑  ', '高楼层(共11层)塔楼  -  长命水', '60万', '单价13228元/平米')
('https://image1.ljcdn.com/442000-inspection/95691a9d-e327-4884-a907-e80af7c27620.jpg.296x216.jpg', '五桂山 宝城翡翠园 联排别墅 带后花园和停车库', '宝城翡翠园  ', '4层暂无数据  -  长命水', '449万', '单价14994元/平米')
('https://image1.ljcdn.com/442000-inspection/d4d997e6-6161-4a4f-8562-929e5064672f.jpg.296x216.jpg', '领东上筑 装修两房 保养好 证满五年', '领东上筑  ', '高楼层(共7层)2008年建塔楼  -  长命水', '90万', '单价11843元/平米')
('https://image1.ljcdn.com/442000-inspection/3fd0868b-9662-4cdf-a637-7be1d2779e06.jpg.296x216.jpg', '领东上筑 精致四房 中高层 采光通风好 南北向 满五年', '领东上筑  ', '中楼层(共18层)2008年建塔楼  -  长命水', '242万', '单价14743元/平米')
('https://image1.ljcdn.com/442000-inspection/664ab790-31f3-4f8e-859a-7c173c79c018.jpg.296x216.jpg', '旭日曦苑 1室1厅 50万', '旭日曦苑  ', '高楼层(共11层)塔楼  -  长命水', '50万', '单价11112元/平米')
('https://image1.ljcdn.com/442000-inspection/48bf8d0a-764d-4232-b297-63d62f78bf7a.jpg.296x216.jpg', '领东上筑 温馨两房 保养好 环境舒适 交通方便', '领东上筑  ', '高楼层(共7层)2008年建塔楼  -  长命水', '85万', '单价11586元/平米')
('', '五桂山 阳光翠苑 精装修电梯两房 望别墅 安静舒适', '阳光翠苑  ', '低楼层(共8层)2008年建塔楼  -  长命水', '125万', '单价15359元/平米')
('https://image1.ljcdn.com/442000-inspection/b8d7caf5-7409-4fbf-80ba-d6106868a1d7.jpg.296x216.jpg', '五桂山 翠山雅筑 中高楼层 精装3房 采光好 包家私电', '翠山雅筑  ', '中楼层(共9层)2009年建塔楼  -  长命水', '125万', '单价12997元/平米')
('https://image1.ljcdn.com/442000-inspection/5abfc07d-0360-45e4-a021-ac1ab2ccb6ea.jpg.296x216.jpg', '阳光翠苑 望泳池别墅 环境优美', '阳光翠苑  ', '3层塔楼  -  长命水', '536万', '单价20000元/平米')
('https://image1.ljcdn.com/442000-inspection/70cb4045-3347-429a-8634-10c1c4c35a7a.jpg.296x216.jpg', '五桂山 阳光翠苑 精致别墅 装修保养好 户型方正', '阳光翠苑  ', '3层塔楼  -  长命水', '468万', '单价23878元/平米')
('https://image1.ljcdn.com/442000-inspection/57c06126-21d1-41da-885b-642468930327.jpg.296x216.jpg', '旭日曦苑 高层朝南单位 精致装修 保养好', '旭日曦苑  ', '高楼层(共11层)塔楼  -  长命水', '43万', '单价12258元/平米')
('https://image1.ljcdn.com/442000-inspection/6ba85e0f-461c-4ec1-bb83-35b7b7c586fa.jpg.296x216.jpg', '翠山雅筑 格局方正 实用2房 诚心出售', '翠山雅筑  ', '低楼层(共9层)2009年建塔楼  -  长命水', '115万', '单价13530元/平米')
('https://image1.ljcdn.com/442000-inspection/1212635d-865d-4943-a12c-ab1b9da1b9b4.jpg.296x216.jpg', '旭日曦苑 单间公寓 格局方正 朝东向', '旭日曦苑  ', '低楼层(共11层)塔楼  -  长命水', '58万', '单价13340元/平米')
('https://image1.ljcdn.com/442000-inspection/7180237d-8e71-4d82-b5e3-9b1800496561.jpg.296x216.jpg', '五桂山 旭日曦苑 精装修两房 包家私电', '旭日曦苑  ', '低楼层(共11层)塔楼  -  长命水', '80万', '单价11714元/平米')
('', '阳光翠苑 2室1厅 125万', '阳光翠苑  ', '高楼层(共8层)2008年建塔楼  -  长命水', '125万', '单价14971元/平米')
('https://image1.ljcdn.com/442000-inspection/9e1d0e24-9926-4321-ae59-ca5285f199e2.jpg.296x216.jpg', '五桂山 阳光翠苑 单边位别墅 带花园双车库 采光充足', '阳光翠苑  ', '3层塔楼  -  长命水', '500万', '单价17544元/平米')
('', '五桂山 领东上筑 高楼层 无敌视野 精装修三房', '领东上筑  ', '高楼层(共18层)2008年建塔楼  -  长命水', '180万', '单价16514元/平米')
('https://image1.ljcdn.com/442000-inspection/905b3bec-5c72-46ad-a4c0-396f181f5628.jpg.296x216.jpg', '靠山面湖不靠路 独栋别墅 户型方正 安静舒适', '长堤半岛  ', '低楼层(共3层)暂无数据  -  长命水', '980万', '单价33170元/平米')
('', '五桂山 旭日曦苑 简单装修单身公寓', '旭日曦苑  ', '高楼层(共11层)塔楼  -  长命水', '45万', '单价12163元/平米')
('https://image1.ljcdn.com/442000-inspection/2bb1039d-cb7a-4dc6-b64e-ec6dd6bd2170.jpg.296x216.jpg', '五桂山 领东上筑 简装三房 保养新净 朝南靓向', '领东上筑  ', '中楼层(共18层)2008年建塔楼  -  长命水', '170万', '单价15499元/平米')
('https://image1.ljcdn.com/442000-inspection/8a39bb96-b9eb-47c4-8330-c401d190d006.jpg.296x216.jpg', '五桂山 阳光翠苑 步梯带装修三房 有车位 可出售', '阳光翠苑  ', '中楼层(共6层)2008年建塔楼  -  长命水', '119万', '单价10249元/平米')
('', '阳光翠苑 车位 10万', '阳光翠苑  ', '暂无数据  -  长命水', '10万', '单价7190元/平米')
