('https://image1.ljcdn.com/370600-inspection/2268727c-fdd4-49e0-88b2-b373cd71b3dc.JPG.296x216.jpg', '翡翠小区+南通路+大三居+南北通透+年代新框架房', '通世里  | 3室2厅 | 111.44平米 | 南 北 | 精装', '中楼层(共5层)1999年建板楼  -  南通路', '208万', '单价18665元/平米')
('https://image1.ljcdn.com/370600-inspection/7efa9889-d83a-4f9b-8b50-e4d9d95176c0.JPG.296x216.jpg', '德新街 南北通透小户型 中间楼层 采光无遮挡 视野好', '德新街  | 2室1厅 | 58.57平米 | 南 北 | 其他', '中楼层(共5层)1985年建板楼  -  毓璜顶', '134万', '单价22879元/平米')
('https://image1.ljcdn.com/370600-inspection/eb842a29-1102-45bc-a720-5c342376516b.JPG.296x216.jpg', '德新街小户型，3楼，楼层合适，采光好，总价低', '德新街  | 2室1厅 | 56.95平米 | 南 | 其他', '中楼层(共6层)1985年建板楼  -  毓璜顶', '117.5万', '单价20633元/平米')
('https://image1.ljcdn.com/370600-inspection/ae250829-a2b1-42ee-9c57-359ef686b9db.jpg.296x216.jpg', '奇山西街+精装修+顶加阁+独立阁楼+出行方便', '奇山西街  | 2室1厅 | 64.14平米 | 东南 | 其他', '高楼层(共6层)1990年建板楼  -  上夼', '95万', '单价14812元/平米')
('https://image1.ljcdn.com/370600-inspection/08374aa1-dd78-4fd7-b9dc-bb540856ecb1.JPG.296x216.jpg', '迎春里，三室朝阳南北通透，空气好，楼层合适', '迎春里  | 3室1厅 | 63.94平米 | 南 北 | 其他', '高楼层(共4层)1985年建板楼  -  毓璜顶', '121万', '单价18924元/平米')
('https://image1.ljcdn.com/370600-inspection/f8c2045c-1fe0-4018-89d2-824c474491a6.jpg.296x216.jpg', '新世界花园精装好房业主同意贷款，无户口，各付的价格', '新世界花园  | 2室1厅 | 59.06平米 | 南 | 其他', '高楼层(共19层)2005年建板楼  -  幸福', '69万', '单价11684元/平米')
('https://image1.ljcdn.com/370600-inspection/a91aefd8-be13-422a-8e0a-bb4290b73d79.jpg.296x216.jpg', '富顺苑西区三楼打头房 全明经典户型，天然氧吧', '富顺苑西区  | 3室2厅 | 90平米 | 南 西 北 | 简装', '中楼层(共6层)2003年建板楼  -  世回尧', '140万', '单价15556元/平米')
('https://image1.ljcdn.com/370600-inspection/aa174675-7268-4a80-8b58-3d85c188eaa6.jpg.296x216.jpg', '大海阳南街三楼，生活便利，位置便利', '大海阳南街  | 3室2厅 | 88.64平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  文化路', '105万', '单价11846元/平米')
('https://image1.ljcdn.com/370600-inspection/273a75c1-91c5-4f8e-9a8c-81c5d9d4032c.jpg.296x216.jpg', '华信家园 小户型 格局方正 南北通透 拎包入住', '华信家园  | 2室1厅 | 71.87平米 | 南 北 | 其他', '高楼层(共6层)2010年建板楼  -  幸福', '88万', '单价12245元/平米')
('https://image1.ljcdn.com/370600-inspection/903727f7-0680-4d84-ba93-21da05ade9ae.jpg.296x216.jpg', '怡丰佳苑 双南卧 中楼层 电梯房 市证 惠安商圈', '怡丰佳苑  | 2室1厅 | 88.68平米 | 南 | 其他', '中楼层(共18层)板楼  -  通世南路', '105万', '单价11841元/平米')
('https://image1.ljcdn.com/370600-inspection/7f709cfc-0751-46c8-9e90-eb3614ff9178.JPG.296x216.jpg', '红旗里  2卧室朝阳 带阳台 单价18463元/平', '红旗里  | 3室2厅 | 75.23平米 | 南 北 | 简装', '高楼层(共4层)1980年建板楼  -  南通路', '135万', '单价17945元/平米')
('https://image1.ljcdn.com/370600-inspection/e4bff6a3-ecd3-441a-94e1-96edec4d4afd.JPG.296x216.jpg', '别的不看 先看楼层 看完楼层看单价 没有一点不吸引您', '金晖花园  | 2室2厅 | 78.94平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  新桥', '85万', '单价10768元/平米')
('https://image1.ljcdn.com/370600-inspection/59d6a6e2-2f41-4e40-b421-1c95d95f23db.jpg.296x216.jpg', '北环山里 一楼带院  精装修 已改两室', '北环山里  | 2室1厅 | 27.75平米 | 南 | 简装', '低楼层(共5层)1990年建板楼  -  二马路', '105万', '单价37838元/平米')
('https://image1.ljcdn.com/370600-inspection/3a6b3cf9-8483-4b46-8783-bd83fa108f90.jpg.296x216.jpg', '一中冰心+*方便+阳面卧室+停车方便+半封闭小区', '长生西路  | 2室1厅 | 55.1平米 | 南 北 | 精装', '中楼层(共5层)2002年建板楼  -  二马路', '150万', '单价27224元/平米')
('https://image1.ljcdn.com/370600-inspection/12e28b5a-91dd-451e-903d-9ff1486bff09.jpg.296x216.jpg', '上夼西路精装+平地起+外走楼梯顶加阁+打头房+生活方便', '上夼西路  | 3室2厅 | 92.28平米 | 南 西 北 | 其他', '高楼层(共7层)1996年建板楼  -  上夼', '102万', '单价11054元/平米')
('https://image1.ljcdn.com/370600-inspection/303bcf10-c013-44e7-b019-007b63e92579.jpg.296x216.jpg', '电梯房+2室户型+装修好+采光好', '四马路  | 2室1厅 | 63.35平米 | 南 | 简装', '低楼层(共30层)1998年建板塔结合  -  二马路', '120万', '单价18943元/平米')
('https://image1.ljcdn.com/370600-inspection/132ab0a3-1d90-4dc8-8fd4-02081010244a.JPG.296x216.jpg', '大海阳 单价低 采光充足 拎包入住', '大海阳路  | 2室1厅 | 59.5平米 | 南 | 其他', '高楼层(共6层)1997年建板楼  -  三站', '50万', '单价8404元/平米')
('https://image1.ljcdn.com/370600-inspection/a0fa6dc9-db57-43d5-902b-fffd11376c07.jpg.296x216.jpg', '上曲家 72.1平71万 精装修两居室 南北通透', '上曲家  | 2室1厅 | 72.1平米 | 南 北 | 精装', '高楼层(共6层)2005年建板楼  -  世回尧', '71万', '单价9848元/平米')
('https://image1.ljcdn.com/370600-inspection/052b2204-f84d-4869-b31d-5af36602715b.jpg.296x216.jpg', '奇山路+栋楼可开阁楼+采光好+环境好较安静+交通便利', '奇山路  | 2室1厅 | 62.57平米 | 南 北 | 其他', '高楼层(共6层)1996年建板楼  -  上夼', '63万', '单价10069元/平米')
('https://image1.ljcdn.com/370600-inspection/85e205c4-7dd5-43b1-98f4-9a3e30b8a991.jpg.296x216.jpg', '四马路/低楼层/双南卧/不临街/装修干净/看房方便', '四马路  | 2室1厅 | 52.98平米 | 南 北 | 简装', '中楼层(共6层)1996年建板楼  -  二马路', '155万', '单价29257元/平米')
('https://image1.ljcdn.com/370600-inspection/af8f01fc-06f3-436d-bd02-5fbfd8f2e793.jpg.296x216.jpg', '海港小区 新上低楼层两居室  一梯两户 靠近幼儿园', '海港小区  | 2室1厅 | 59.8平米 | 南 北 | 其他', '低楼层(共6层)1993年建板楼  -  幸福', '60万', '单价10034元/平米')
('https://image1.ljcdn.com/370600-inspection/08a341e7-5edc-4771-af0a-8c80d0722850.jpg.296x216.jpg', '一中葡萄山+好楼层南北通透+生活方便', '南迎祥路  | 2室1厅 | 56.23平米 | 南 北 | 简装', '低楼层(共7层)1994年建板楼  -  上夼', '150万', '单价26677元/平米')
('https://image1.ljcdn.com/370600-inspection/71876fdb-7b38-4cdd-b837-573e2e609db9.jpg.296x216.jpg', '西海岸多层花园洋房双南卧室全明户型落地窗采光充足', '西海岸路38号   | 双拼别墅 | 2室2厅 | 79.84平米 | 南 北 | 其他', '4层2007年建板楼  -  幸福', '120万', '单价15031元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadd707b8fe-81c4-4557-9293-34469684fd0c.jpg.296x216.jpg', '电梯房+三室户型+客厅带明窗+装修入住', '四马路  | 3室1厅 | 103.98平米 | 南 | 简装', '中楼层(共30层)1998年建板楼  -  二马路', '178万', '单价17119元/平米')
('https://image1.ljcdn.com/370600-inspection/11c04588-90d4-47a8-a040-d5947622f700.jpg.296x216.jpg', '大润发附近  新小区   精装修  朝向好  出行方便！', '银都新城市广场  | 1室1厅 | 48.83平米 | 西南 | 其他', '低楼层(共34层)2011年建塔楼  -  白石', '55万', '单价11264元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadfe769aae-5d48-4ab7-86fa-1e6a10d554cb.jpg.296x216.jpg', '一中+南山路+盛泰花园+一梯两户+三室+精装修+框架房', '南沟街  | 3室2厅 | 132.2平米 | 南 北 | 简装', '中楼层(共7层)2001年建板楼  -  二马路', '300万', '单价22693元/平米')
('https://image1.ljcdn.com/370600-inspection/b71ed63f-dc87-4435-affa-d916ec14594f.jpg.296x216.jpg', '幸福五村，东打头,南北通透，三室，看房方便', '幸福五村  | 3室2厅 | 97.27平米 | 南 北 | 简装', '高楼层(共7层)1997年建板楼  -  幸福', '126万', '单价12954元/平米')
('https://image1.ljcdn.com/370600-inspection/3e4f3255-69ec-4f63-9188-ec301a20e967.jpg.296x216.jpg', '飞龙集团+三室两厅+中间楼层+带24.11平米的车库', '南迎祥路  | 3室2厅 | 115.47平米 | 南 北 | 简装', '高楼层(共6层)2004年建板楼  -  上夼', '200万', '单价17321元/平米')
('https://image1.ljcdn.com/370600-inspection/41863203-5791-4939-bffe-83a9b7e9c571.jpg.296x216.jpg', '一中葡萄山马赛克精装修实用面积大', '三马路东  | 2室1厅 | 67.62平米 | 南 北 | 精装', '中楼层(共7层)1998年建板楼  -  二马路', '180万', '单价26620元/平米')
('https://image1.ljcdn.com/370600-inspection/3d24f0d0-af06-47b6-835c-285977a8967c.jpg.296x216.jpg', '四马路电梯房+卫生间明窗+客厅明窗+精装修2室', '四马路  | 2室1厅 | 69.42平米 | 南 | 精装', '中楼层(共30层)1998年建板塔结合  -  二马路', '126万', '单价18151元/平米')
('https://image1.ljcdn.com/370600-inspection/8f8d349a-e941-40f1-b91c-fbe2f9446b43.jpg.296x216.jpg', '此房楼层好，采光充足，位置好，出行方便+购物方便', '铭士巷  | 3室1厅 | 71.23平米 | 南 北 | 其他', '中楼层(共6层)1985年建板楼  -  毓璜顶', '134万', '单价18813元/平米')
('https://image1.ljcdn.com/370600-inspection/43f21261-c8f6-480e-b058-8b2fb3dcb7cc.JPG.296x216.jpg', '惠安小区 两室一厅 户型方正 南北通透 可接受贷款', '惠安小区D区  | 2室1厅 | 63.1平米 | 南 北 | 简装', '高楼层(共7层)2002年建板楼  -  惠安', '83万', '单价13154元/平米')
('https://image1.ljcdn.com/370600-inspection/88e2f59c-2d3c-467b-97fc-8afa3eb0a3fe.jpg.296x216.jpg', '上夼西路，户型方正，南北通透，顶加阁', '上夼西路  | 4室1厅 | 91.9平米 | 南 北 | 其他', '高楼层(共7层)板楼  -  上夼', '85万', '单价9250元/平米')
('https://image1.ljcdn.com/370600-inspection/e23983a3-3a2c-4ca5-8f8c-7f898f9d7fb3.jpg.296x216.jpg', '上夼西路+2楼+东打头+不临街不靠道+生活方便+面积大', '上夼西路  | 3室2厅 | 103.81平米 | 东 北 | 简装', '低楼层(共7层)2000年建板楼  -  上夼', '120万', '单价11560元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadb552a68d-20b6-409e-ae72-80102e7d3310.JPG.296x216.jpg', '三和绿景市土双证，双南卧南北通透，公摊小，看房随时', '三和绿景小区  | 2室2厅 | 77.24平米 | 南 北 | 简装', '高楼层(共6层)2006年建板楼  -  黄务', '96万', '单价12429元/平米')
('https://image1.ljcdn.com/370600-inspection/50595a7c-28bf-42f2-9e88-461c165f3801.jpg.296x216.jpg', '世秀新区 公务员小区 精装 好楼层 带小棚 封闭式小区', '世秀新区  | 3室1厅 | 87.88平米 | 南 北 | 精装', '中楼层(共6层)2002年建板楼  -  惠安', '132万', '单价15021元/平米')
('https://image1.ljcdn.com/370600-inspection/c06b9e16-8f4d-499f-a8cc-c7c85f8a10a1.jpg.296x216.jpg', '上夼西路 双南卧 南北通透 非顶楼 单价低 采光好', '上夼西路  | 2室2厅 | 80.41平米 | 南 北 | 其他', '高楼层(共7层)1999年建板楼  -  上夼', '85万', '单价10571元/平米')
('https://image1.ljcdn.com/370600-inspection/fc92d012-959e-4311-a519-c78ccf034c98.jpg.296x216.jpg', '上夼西路，3楼，花鸟市场，南北通透，2居室', '上夼西路  | 2室1厅 | 61.55平米 | 南 北 | 其他', '中楼层(共6层)1996年建板楼  -  上夼', '80万', '单价12998元/平米')
('https://image1.ljcdn.com/370600-inspection/test-50989ceb-0861-40e2-930b-c8bdc5f61c54.png.296x216.jpg', '南北通透，楼层好，交通便利，采光充足', '通伸南街  | 3室1厅 | 101.89平米 | 南 北 | 其他', '中楼层(共8层)1993年建板塔结合  -  三站', '120万', '单价11778元/平米')
('https://image1.ljcdn.com/370600-inspection/3f7f21b6-b433-48e1-9c4e-9939959277da.jpg.296x216.jpg', '第一国际+南北通透+打头房+3居室+看房方便', '第一国际  | 3室2厅 | 92.15平米 | 南 西 北 | 其他', '低楼层(共33层)2010年建板楼  -  上夼', '113万', '单价12263元/平米')
('https://image1.ljcdn.com/370600-inspection/9c740324-f4b4-4caa-a9ce-91e6288b3db8.JPG.296x216.jpg', '南大街振华电梯房+双南卧室+毛坯房+视野开阔+生活便利', '振华国际广场  | 2室1厅 | 74.95平米 | 南 | 其他', '高楼层(共40层)2010年建板塔结合  -  三站', '89万', '单价11875元/平米')
('https://image1.ljcdn.com/370600-inspection/386873bf-a5c9-4a75-850a-fb6e04e2650e.JPG.296x216.jpg', '大海阳东街 南大街 交通便利 购物方便 采光无遮挡', '大海阳东街  | 2室1厅 | 65.35平米 | 南 北 | 其他', '低楼层(共6层)1990年建板楼  -  文化路', '70万', '单价10712元/平米')
('https://image1.ljcdn.com/370600-inspection/d9cef4db-da31-4c51-9053-8ddb4df9e722.jpg.296x216.jpg', '新海阳 安静小区 马赛克框架房 南北通透', '新海阳西街  | 2室2厅 | 69.53平米 | 南 北 | 其他', '低楼层(共5层)1998年建板楼  -  白石', '70万', '单价10068元/平米')
('https://image1.ljcdn.com/370600-inspection/b875001a-bb78-4653-a821-bfe268e7e1f5.jpg.296x216.jpg', '周乐街+三室+4楼+客厅明窗+一梯两户+看好可谈+有钥匙', '周乐街  | 3室2厅 | 74.7平米 | 南 北 | 简装', '中楼层(共6层)1996年建板楼  -  解放路', '160万', '单价21420元/平米')
('https://image1.ljcdn.com/370600-inspection/079a3c60-c4cc-44fc-a9d8-1bb7280a5c90.JPG.296x216.jpg', '锦绣新城  大两居  采光好  楼前无遮挡 户型全明', '锦绣新城二期  | 2室1厅 | 70.48平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  凤凰台', '71万', '单价10074元/平米')
('https://image1.ljcdn.com/370600-inspection/20059fb3-786a-4e60-a492-bf724475f352.JPG.296x216.jpg', '黄山东街中间楼层，生活便利....', '黄山东街  | 2室1厅 | 54平米 | 南 北 | 其他', '5层1985年建板楼  -  文化路', '50万', '单价9260元/平米')
('https://image1.ljcdn.com/370600-inspection/01d3756d-050a-47d1-b4ff-934395a8668e.jpg.296x216.jpg', '四马路电梯房+卫生间明窗+干净2室入住+生活方便', '四马路  | 2室1厅 | 63.77平米 | 南 | 简装', '高楼层(共30层)1998年建板楼  -  二马路', '108万', '单价16936元/平米')
('https://image1.ljcdn.com/370600-inspection/65f46b1f-3e91-4683-9016-81119a2cc0ea.jpg.296x216.jpg', '简装两室+低楼层+采光好+停车方便+看好可谈', '福山路  | 2室1厅 | 60.75平米 | 东北 | 简装', '低楼层(共6层)1985年建板楼  -  二马路', '152万', '单价25021元/平米')
('https://image1.ljcdn.com/370600-inspection/345c384d-48ca-4575-9b6b-278a354f8f8f.jpg.296x216.jpg', '世茂高层精装，南厅南卧，业主精心维护，诚售好房', '世茂广场  | 2室1厅 | 75.16平米 | 南 | 精装', '中楼层(共66层)2008年建塔楼  -  解放路', '170万', '单价22619元/平米')
('https://image1.ljcdn.com/370600-inspection/1d4ddf0f-9f3c-4105-b6bc-50c2b86a1597.jpg.296x216.jpg', '一中+国翠+金沟寨农行缩水房+框架+五室', '金沟寨五街  | 5室2厅 | 131.66平米 | 南 北 | 其他', '5层2000年建板楼  -  二马路', '280万', '单价21267元/平米')
('https://image1.ljcdn.com/370600-inspection/568552c2-09d4-411e-839f-7a0f00160230.jpg.296x216.jpg', '大海阳路，顶加阁南向房，视野开阔采光充足', '大海阳路  | 2室1厅 | 45.88平米 | 南 | 精装', '高楼层(共6层)1997年建板楼  -  三站', '45万', '单价9809元/平米')
('https://image1.ljcdn.com/370600-inspection/6d975158-eff5-46a9-88da-1fa0d1233bdf.JPG.296x216.jpg', '年代新 框架房 精装顶加阁 采光好 南北通透 停车方便', '环翠路  | 3室1厅 | 80.53平米 | 南 北 | 简装', '高楼层(共5层)2000年建板楼  -  南通路', '180万', '单价22352元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload9975fc83-166b-4be8-aacb-a78b27777fa3.jpg.296x216.jpg', '芝罘区金沟寨一中国翠好楼层小面积南北通透采光好', '长生西路  | 2室1厅 | 55.1平米 | 南 | 其他', '中楼层(共5层)2002年建板楼  -  二马路', '154万', '单价27950元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload9a500eeb-50ed-4789-8bdd-3f4b4450dcb4.jpg.296x216.jpg', '长生西路南北通透交通便利空户头', '长生西路  | 2室2厅 | 59.42平米 | 南 北 | 毛坯', '中楼层(共5层)2002年建板楼  -  二马路', '156万', '单价26254元/平米')
('https://image1.ljcdn.com/370600-inspection/fe2c9477-6828-403b-9188-8c73025b7fdc.jpg.296x216.jpg', '金沟寨区政府房+送50平阁楼+精装修年代新+南北通透', '金沟寨四街  | 2室2厅 | 64.96平米 | 南 北 | 精装', '高楼层(共5层)1998年建板楼  -  二马路', '179.8万', '单价27679元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadc705d28e-2f13-4de3-bf3e-86346b100892.jpg.296x216.jpg', '葡萄山南路，2楼，年代新，大三居，南北通透', '葡萄山南路  | 3室2厅 | 75.17平米 | 南 北 | 精装', '中楼层(共4层)1998年建板楼  -  二马路', '195万', '单价25942元/平米')
('https://image1.ljcdn.com/370600-inspection/9335fb1a-a0b7-45b7-a6d8-0e152da4677d.jpg.296x216.jpg', '一中葡萄山，精装三室，南北通透，年代新', '南迎祥路  | 3室2厅 | 85.51平米 | 南 北 | 精装', '中楼层(共7层)1994年建板楼  -  上夼', '200万', '单价23390元/平米')
('https://image1.ljcdn.com/370600-inspection/test-569c8612-8f07-4041-b4a6-29d387eb06cf.png.296x216.jpg', '本房 为电梯房 视野开阔 通风好 采光充足', '御金台  | 2室2厅 | 116.47平米 | 东南 | 其他', '中楼层(共37层)2010年建塔楼  -  白石', '148万', '单价12708元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadb6a30e0f-375a-4e5b-bf0a-ed4effb9a93a.jpg.296x216.jpg', '飞龙物业，六楼阁楼，西打头，停车方便', '南迎祥路  | 3室2厅 | 132.21平米 | 南 西 北 | 其他', '高楼层(共6层)2004年建板楼  -  上夼', '172万', '单价13010元/平米')
('https://image1.ljcdn.com/370600-inspection/test-ab1ce836-fa8c-4a59-9688-c40e0ec99b36.png.296x216.jpg', '大成门，南北通透格局，视野开阔采光好', '大成门  | 2室1厅 | 97.73平米 | 南 北 | 其他', '中楼层(共26层)2013年建板楼  -  白石', '160万', '单价16372元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploade8e41a9e-340e-4633-83f7-2e11e729b466.jpg.296x216.jpg', '一中教育房，三楼精装修，单价低产权清晰，采光充足', '迎山路  | 2室1厅 | 60.9平米 | 东南 | 精装', '低楼层(共3层)板楼  -  二马路', '130万', '单价21347元/平米')
('https://image1.ljcdn.com/370600-inspection/dd17fd52-bc1b-441d-8763-7a1883cbb1b7.jpg.296x216.jpg', '低楼层距离十中300米左右一梯两户南北通透不临街', '芝罘里  | 3室2厅 | 78.3平米 | 南 北 | 简装', '中楼层(共6层)1994年建板楼  -  解放路', '163万', '单价20818元/平米')
('https://image1.ljcdn.com/370600-inspection/27be0366-44ae-4c85-ad40-410b31c4450c.jpg.296x216.jpg', '标准三室格局 年代新 海景房位置好 停车方便', '大马路  | 3室2厅 | 118.03平米 | 东 南 北 | 精装', '中楼层(共6层)1998年建板楼  -  解放路', '280万', '单价23723元/平米')
('https://image1.ljcdn.com/370600-inspection/0218c0e3-c85b-49ac-9a86-289bddab92c2.jpg.296x216.jpg', '二马路，打头房，带院，三个小棚，满五唯一，中等装修', '二马路  | 2室1厅 | 54平米 | 南 北 | 简装', '低楼层(共6层)1995年建板楼  -  二马路', '153万', '单价28334元/平米')
('https://image1.ljcdn.com/370600-inspection/a0081fb3-1910-4e9a-aed6-e00c64976377.jpg.296x216.jpg', '距离南校300米 生活方便 门口就是站点', '环山路  | 2室1厅 | 84.1平米 | 南 | 简装', '低楼层(共8层)1996年建板楼  -  厚安', '135万', '单价16053元/平米')
('https://image1.ljcdn.com/370600-inspection/6c7a6de2-d893-42cc-bf40-fadcd08ce595.JPG.296x216.jpg', '南北通透 采光好  位置好 停车方便 实得面积大', '红旗里  | 3室1厅 | 85.75平米 | 南 北 | 简装', '高楼层(共5层)1980年建板楼  -  南通路', '168万', '单价19592元/平米')
('https://image1.ljcdn.com/370600-inspection/b26150ff-947f-43b2-b368-1e225c860430.jpg.296x216.jpg', '中间楼层 双阳卧 简单干净的装修', '东沟路  | 2室0厅 | 62.61平米 | 南 | 其他', '低楼层(共7层)1991年建板楼  -  解放路', '120万', '单价19167元/平米')
('https://image1.ljcdn.com/370600-inspection/test-6a076d03-072e-4e13-9789-09ff545d064c.png.296x216.jpg', '南北通透+框架房+低楼层+中等装修+近海', '长生西路  | 2室1厅 | 59.86平米 | 南 北 | 简装', '低楼层(共6层)2002年建板楼  -  二马路', '155万', '单价25894元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadbf50af73-29f1-44bc-9bf4-d10e2f1c6da6.jpg.296x216.jpg', '两室一厅，精装修，南北卧室，采光充足！实用面积大', '金沟寨五街  | 2室1厅 | 60.56平米 | 南 北 | 精装', '低楼层(共6层)1998年建板楼  -  二马路', '158万', '单价26090元/平米')
('https://image1.ljcdn.com/370600-inspection/90fcef45-37eb-4a39-be58-590ce00a4806.jpg.296x216.jpg', '惠安小区B区 2室2厅 130万', '惠安小区B区  | 2室2厅 | 90.96平米 | 南 北 | 其他', '中楼层(共7层)2002年建板楼  -  惠安', '130万', '单价14292元/平米')
('https://image1.ljcdn.com/370600-inspection/802f913c-c01c-43af-8056-3e724a5727ea.JPG.296x216.jpg', '芝罘区 山水龙城依山苑 顶加阁 四室两厅 精装修', '山水龙城·依山苑  | 4室2厅 | 80.58平米 | 南 | 精装', '高楼层(共6层)2010年建板楼  -  通世南路', '122万', '单价15141元/平米')
('https://image1.ljcdn.com/370600-inspection/test-17239405-41b0-450f-9584-8e8ab11bfb18.png.296x216.jpg', '大成门，精装两居 封闭小区 电梯房 看房方便', '大成门  | 2室2厅 | 91.48平米 | 南 | 其他', '低楼层(共26层)2013年建板楼  -  白石', '148万', '单价16179元/平米')
