('https://image1.ljcdn.com/310000-inspection/2f9fa6ab-9f0c-4960-a978-dceb7fe2ca2a.jpg.296x216.jpg', '住宅产权，看房方便，满五年，高区视野无遮挡', '庐迅大厦  | 2室2厅 | 95.79平米 | 东 | 其他 | 有电梯', '高楼层(共23层)塔楼  -  鲁迅公园', '490万', '单价51154元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c050a998-7874-476d-9096-604ec6ca78d5.png.296x216.jpg', '中星凉城苑 新出两房 南北通风 板式全明户型 满五唯一', '中星凉城苑  | 2室2厅 | 91.96平米 | 南 | 简装 | 无电梯', '中楼层(共5层)2000年建板楼  -  凉城', '625万', '单价67965元/平米')
('https://image1.ljcdn.com/310000-inspection/4a1cd211-6523-49b6-ad28-4c08640a05b3.jpg.296x216.jpg', '凉东小区精装修一室一厅拎包入住得房率高看房方便诚售', '凉东小区  | 1室1厅 | 38.67平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1993年建板楼  -  凉城', '190万', '单价49134元/平米')
('https://image1.ljcdn.com/310000-inspection/test-7cc078f6-69d7-4730-9cdd-6c38241f0120.png.296x216.jpg', '内环内双南双天井且单价低前面总高6楼不遮挡+高得房率', '西二小区  | 2室1厅 | 75.12平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1994年建板楼  -  曲阳', '458万', '单价60970元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171106/80e249f7-05d4-4d43-bebe-e792aa3fa1a0.jpg.296x216.jpg', '全南户型 两房两卫 房型正气 满五年且免个税 保养好', '瑞虹新城二期(优贤生活)  | 2室2厅 | 99.61平米 | 南 | 精装 | 有电梯', '中楼层(共39层)板楼  -  临平路', '940万', '单价94369元/平米')
('https://image1.ljcdn.com/310000-inspection/19188c39-0450-43b3-9da2-3e3ef150b265.jpg.296x216.jpg', '海尚逸苑 2室2厅 462万', '海尚逸苑  | 2室2厅 | 79.96平米 | 南 | 精装 | 有电梯', '中楼层(共14层)2010年建板楼  -  江湾镇', '462万', '单价57779元/平米')
('https://image1.ljcdn.com/310000-inspection/test-db38e57c-f2c3-44d2-ad10-4bdfa25832df.png.296x216.jpg', '次新电梯房，售后公房无增 值税，近地铁全明南北两房', '海尚逸苑  | 2室1厅 | 81.09平米 | 南 | 精装 | 有电梯', '中楼层(共14层)2008年建板楼  -  江湾镇', '510万', '单价62894元/平米')
('https://image1.ljcdn.com/310000-inspection/787b594c-ff10-49e5-8ea9-7e1593580dfb.jpg.296x216.jpg', '浦江名邸高区南北3房诚意卖！景观房！随时看！', '浦江名邸  | 3室2厅 | 162.37平米 | 南 | 精装 | 有电梯', '高楼层(共31层)2004年建板楼  -  临平路', '1170万', '单价72058元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170508/bc0d205b-3853-45a3-9c53-48c74b7a13c4.jpg.296x216.jpg', '地铁口西边套全明户型，满五年唯一，小青年合适选择', '大西小区  | 1室1厅 | 35.77平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1975年建板楼  -  曲阳', '220万', '单价61505元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170411/75bd5c60-8167-4afc-8aff-ee079b8c6ee1.jpg.296x216.jpg', '总价低+南北通风楼层好，有车位另算+随时看房诚意出售', '鸿旭豪苑  | 2室2厅 | 117.63平米 | 南 | 精装 | 有电梯', '中楼层(共33层)板楼  -  北外滩', '950万', '单价80762元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170909/1d4f0dbf-11dd-450a-895b-a626770a5462.jpg.296x216.jpg', '狗年旺宅，恋上一座城，爱上一个家,链家真房源', '三湘花园  | 3室2厅 | 130.62平米 | 南 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  凉城', '760万', '单价58185元/平米')
('https://image1.ljcdn.com/310000-inspection/71288329-52df-4e54-9aac-d4bf05f0e366.jpg.296x216.jpg', '随时可看，中间楼层采光好，交通便利，看房方便', '大二小区  | 1室1厅 | 34.04平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1975年建板楼  -  曲阳', '207万', '单价60811元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170914/31e98eb7-00ab-45f6-a453-f8a888b9d489.jpg.296x216.jpg', '经典2房，正宗全明房型，房东置换诚心出售', '中虹公寓  | 2室2厅 | 104.52平米 | 南 | 简装 | 有电梯', '低楼层(共24层)2002年建塔楼  -  江湾镇', '580万', '单价55492元/平米')
('https://image1.ljcdn.com/310000-inspection/test-33866076-4342-4499-a35f-e4d48d883a15.png.296x216.jpg', '久耕小区，两室一厅，全明户型，房东诚意出售', '久耕小区  | 2室1厅 | 63.9平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1991年建板楼  -  北外滩', '433万', '单价67763元/平米')
('https://image1.ljcdn.com/310000-inspection/c835fcc5-8cfc-4505-bb3c-8706fc0ee742.jpg.296x216.jpg', '一梯三户，可以改成两房，厨卫朝北，地铁3号线', '纪念小区  | 1室1厅 | 42.1平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1992年建板楼  -  江湾镇', '230万', '单价54632元/平米')
('https://image1.ljcdn.com/shfdfs-image/20151216/338357be-4a9c-4122-abce-b998e86cd592.jpg.296x216.jpg', '2012年次新房，两房朝南，客厅朝南，精装修', '豪景苑  | 2室2厅 | 97.58平米 | 南 | 精装 | 有电梯', '中楼层(共38层)2013年建板楼  -  北外滩', '1280万', '单价131175元/平米')
('https://image1.ljcdn.com/310000-inspection/test-459c66ec-e0f6-4ea6-b02e-c1be8f5cc732.png.296x216.jpg', '两房朝南，税费少，采光充足，房型正，全明户型', '溧阳华府(公寓)  | 2室2厅 | 112.66平米 | 东南 | 精装 | 有电梯', '低楼层(共35层)2007年建板楼  -  鲁迅公园', '820万', '单价72786元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170402/052e0d64-ac8c-48e3-b31e-fac3ce9acf9a.jpg.296x216.jpg', '次新校区小区，北外滩次新房，房东诚意出售，价格可谈', '豪景苑  | 3室2厅 | 153.88平米 | 南 | 精装 | 有电梯', '低楼层(共38层)2013年建板楼  -  北外滩', '1520万', '单价98779元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadca732d49-faae-4fa2-bd70-5468bfc224d6.jpg.296x216.jpg', '电梯房中高区，双南户型，采光充足，售后公房', '东五小区(虹口)  | 2室1厅 | 69.01平米 | 西南 | 精装 | 有电梯', '中楼层(共24层)1989年建塔楼  -  曲阳', '490万', '单价71005元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171026/66175d5d-6cf3-46bd-8f5c-bc57a748271a.jpg.296x216.jpg', '地铁口 一门关 交通方便 楼层佳 8号线 10号线邮电新村', '大二小区  | 1室0厅 | 31.21平米 | 东北 | 简装 | 无电梯', '中楼层(共5层)1957年建板楼  -  曲阳', '175万', '单价56072元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload2d165ac9-a785-4020-b687-e082f7ad7d0c.jpg.296x216.jpg', '福赐花苑 2室2厅 470万', '福赐花苑  | 2室2厅 | 80.71平米 | 南 北 | 其他 | 有电梯', '高楼层(共7层)1998年建板楼  -  江湾镇', '470万', '单价58234元/平米')
('https://image1.ljcdn.com/310000-inspection/4d95e76a-ff2e-4889-97a4-7e9e647d7188.jpg.296x216.jpg', '景泰大楼 3室2厅 739万', '景泰大楼  | 3室2厅 | 131.22平米 | 南 | 简装 | 有电梯', '低楼层(共18层)板楼  -  北外滩', '739万', '单价56318元/平米')
('https://image1.ljcdn.com/310000-inspection/c4cfdb37-6a35-4e6b-a45e-5ca0dece2cc2.jpg.296x216.jpg', '215平大四房，低单价好房子，内环神盘降临', '虹诚大厦  | 4室2厅 | 215.04平米 | 南 | 精装 | 有电梯', '中楼层(共23层)2001年建板楼  -  临平路', '870万', '单价40458元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170603/df898fe1-e16b-4741-a694-fdcd2c0e98d8.jpg.296x216.jpg', '凉东小区 1室1厅 235万', '凉东小区  | 1室1厅 | 42.49平米 | 东南 | 精装 | 无电梯', '高楼层(共6层)1992年建板楼  -  凉城', '235万', '单价55308元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c5290a1c-260e-47e2-aeee-321cf43e9d1d.png.296x216.jpg', '新出好房+对口红旗+出门地铁3号线江湾+房型正气+急售', '丰二小区  | 1室1厅 | 42.03平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1987年建板楼  -  江湾镇', '240万', '单价57103元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171014/3c444655-8a79-470b-a5b6-10c73ccc920b.jpg.296x216.jpg', '广灵四路电梯高层  双卧朝南 还有大大的厅 总价低', '广灵四路355号  | 2室2厅 | 101平米 | 暂无数据 | 简装 | 有电梯', '高楼层(共8层)1994年建板楼  -  凉城', '560万', '单价55446元/平米')
('https://image1.ljcdn.com/310000-inspection/test-79130bc5-b765-44e2-9672-9869a5bd7a51.png.296x216.jpg', '南北两房，东边套，全明，中间带厅', '谭家桥小区  | 2室1厅 | 47.19平米 | 南 | 简装 | 无电梯', '高楼层(共5层)1982年建板楼  -  鲁迅公园', '280万', '单价59335元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171030/e7e85e37-262d-4908-a936-707c854d6046.jpg.296x216.jpg', '内环边小区，低总价，南北通两房，全明户型', '广联新苑  | 2室2厅 | 86.95平米 | 南 | 精装 | 无电梯', '中楼层(共7层)2001年建板楼  -  凉城', '520万', '单价59805元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c89f9609-475d-45da-807c-febf00c23afd.png.296x216.jpg', '和平公园旁电梯2房朝南10号线地铁口（6万单价）', '四联大厦  | 2室2厅 | 110.44平米 | 南 | 简装 | 有电梯', '低楼层(共23层)1998年建塔楼  -  临平路', '700万', '单价63383元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171217/8077ba32-24f0-41ab-b24e-1acc069b272f.jpg.296x216.jpg', '满五年，精装修，可直接拎包入住！交通生活方便', '欧四小区  | 2室1厅 | 99.95平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1994年建板楼  -  鲁迅公园', '650万', '单价65033元/平米')
('https://image1.ljcdn.com/310000-inspection/test-40e789f3-e03f-4623-be82-82a89f2b80c1.png.296x216.jpg', '临平路精品全南两房，随时看房，干净拎包即刻入住！', '瑞虹新城铭庭  | 2室2厅 | 89平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2011年建板楼  -  临平路', '898万', '单价100899元/平米')
('https://image1.ljcdn.com/310000-inspection/fd3c9f3c-aea9-4382-b986-7d28298d533a.jpg.296x216.jpg', '北外滩，交通便利，房型正气，诚意出售，看房方便，', '新兴大厦  | 2室2厅 | 97.85平米 | 西南 | 其他 | 有电梯', '低楼层(共24层)塔楼  -  北外滩', '660万', '单价67451元/平米')
('https://image1.ljcdn.com/310000-inspection/c64b1a5c-6b1b-4837-8ab8-fc49b1592779.jpg.296x216.jpg', '虹口标刚性建筑 板式楼层   正对小区花园', '中虹花园新都苑  | 3室2厅 | 134.73平米 | 南 | 精装 | 有电梯', '低楼层(共8层)2003年建板楼  -  凉城', '910万', '单价67543元/平米')
('https://image1.ljcdn.com/310000-inspection/2efaf35a-54e7-45a0-b707-4a087f4b4c9d.jpg.296x216.jpg', '3号线8号线 比邻鲁迅公园 非低楼 随时看房', '何家宅小区  | 1室1厅 | 34.09平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1990年建板楼  -  鲁迅公园', '213万', '单价62482元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c8fdc26a-86a2-477a-bc87-e504033ba0ac.png.296x216.jpg', '东体小区 1室0厅 210万', '东体小区  | 1室0厅 | 32.69平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1984年建板楼  -  曲阳', '210万', '单价64240元/平米')
('https://image1.ljcdn.com/310000-inspection/7a5ba7bc-c46e-48b5-ad97-ef3527dba99a.jpg.296x216.jpg', '曲阳板块奇缺户型，一房两厅(正厅)，2007年房龄。', '东体小区  | 2室1厅 | 58.98平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2007年建板楼  -  曲阳', '420万', '单价71211元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170403/a090a9a1-91c0-425f-8375-f13e8623dec5.jpg.296x216.jpg', '满五年，店长推荐挂牌，户型方正，随时可看，产权清晰', '凯虹家园  | 2室2厅 | 120.31平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2001年建板楼  -  临平路', '850万', '单价70651元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload2b6641db-75a2-443a-bb16-e9668275f43a.jpg.296x216.jpg', '新市南路+一房一厅+南北通风+全明户型+满五唯一+边套', '新市南路960弄小区  | 1室1厅 | 38.57平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1986年建板楼  -  江湾镇', '200万', '单价51854元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload1bca155a-42e1-489f-b5e2-3bbc89b3f449.jpg.296x216.jpg', '优质地段，厨卫朝北，全明户型，无个税增值税', '星苑小区  | 2室0厅 | 62.22平米 | 东南 南 | 其他 | 无电梯', '中楼层(共6层)1995年建板楼  -  凉城', '325万', '单价52235元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170803/f2de2c87-63db-4f38-bdb5-6793e2710eae.jpg.296x216.jpg', '全明户型随时可以看房房东诚意出售', '远虹大厦  | 2室1厅 | 70.97平米 | 暂无数据 | 简装 | 有电梯', '中楼层(共30层)1995年建塔楼  -  临平路', '449万', '单价63267元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161215/cb64e586-a209-44b7-b4a6-2ceca201e0ba.jpg.296x216.jpg', '华清名苑 3室2厅 1060万', '华清名苑  | 3室2厅 | 133.08平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2003年建板楼  -  鲁迅公园', '1060万', '单价79652元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload0f196a17-d390-41b1-9446-81966390328d.jpg.296x216.jpg', '近轨交站  南北通   有钥匙随时看房', '四平路421弄  | 2室1厅 | 55.04平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1985年建板楼  -  鲁迅公园', '320万', '单价58140元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload3d4caf00-e0e3-42ca-ae62-08c89617149e.jpg.296x216.jpg', '07年次新小区+罕见户型+满五少税+楼层好', '丰景湾名邸  | 3室1厅 | 99.04平米 | 南 北 | 精装 | 有电梯', '中楼层(共13层)2007年建板楼  -  江湾镇', '730万', '单价73708元/平米')
('https://image1.ljcdn.com/310000-inspection/af1c9d20-318c-4561-bb31-59e3d0685932.jpg.296x216.jpg', '98年商品房+一梯两户+双南东边套全明户型+稀有户型', '华严路58弄  | 2室2厅 | 89.67平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1998年建板楼  -  江湾镇', '430万', '单价47954元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadbd9e80b7-e729-4b25-b083-90e5d28ffeb3.jpg.296x216.jpg', '精选二室户，地铁就在家门口，新婚夫妇过渡期好选择', '密三小区  | 2室1厅 | 47.46平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1982年建板楼  -  曲阳', '305万', '单价64265元/平米')
('https://image1.ljcdn.com/310000-inspection/fa2f061d-2d6a-4a21-bafa-5f2b291d9dc9.jpg.296x216.jpg', '电梯三房 动静分区 采光无遮挡 还在等什么，赶紧行动', '意和家园  | 3室1厅 | 102.93平米 | 西南 西 | 精装 | 有电梯', '中楼层(共18层)1998年建塔楼  -  凉城', '580万', '单价56349元/平米')
('https://image1.ljcdn.com/310000-inspection/5027935d-846f-4fb1-b201-0556e74143be.jpg.296x216.jpg', '总价低，近地铁电梯正气3房，房东诚意出售，税费少', '华东公寓  | 3室1厅 | 93.15平米 | 南 东北 | 精装 | 有电梯', '高楼层(共26层)1996年建塔楼  -  凉城', '468万', '单价50242元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploada9c7f696-6553-45bf-a27f-4208b8a5e093.jpg.296x216.jpg', '南北格局，楼层好，采光足，精装修拎包入住，可以上学', '建工天峰公寓  | 2室1厅 | 60.52平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)1991年建板楼  -  曲阳', '515万', '单价85096元/平米')
('https://image1.ljcdn.com/310000-inspection/9e209b37-8ffc-4a04-b029-ecfbf8b75366.jpg.296x216.jpg', '有钥匙 房东诚心出售 价格可以谈  满五唯一', '巴林小区  | 2室1厅 | 51.62平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1991年建板楼  -  曲阳', '312万', '单价60442元/平米')
('https://image1.ljcdn.com/310000-inspection/75686a15-61b1-4541-a98e-39ffb22458db.jpg.296x216.jpg', '内环内，8号地铁口300米，85年房龄总价不到5万', '大三小区  | 1室1厅 | 31.8平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1985年建板楼  -  曲阳', '163万', '单价51258元/平米')
('https://image1.ljcdn.com/310000-inspection/test-0fdc4c83-2e49-475d-93d6-9f51e5e6b967.png.296x216.jpg', '-普宅-！！俯瞰和平公平园，天然氧吧！', '大连小区  | 2室1厅 | 62.31平米 | 西南 | 精装 | 有电梯', '高楼层(共26层)1994年建塔楼  -  临平路', '430万', '单价69010元/平米')
('https://image1.ljcdn.com/310000-inspection/8ac724aa-c198-46ca-be55-6d96afe858e0.jpg.296x216.jpg', '边套全明 正气一房一厅 朝南带阳台 近地铁 急售', '大西小区  | 1室1厅 | 35.91平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1975年建板楼  -  曲阳', '220万', '单价61265元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160401/a7ed6a8e-d771-4803-87e4-2a801c8e6711.jpg.296x216.jpg', '超大客厅，彩光无遮挡，全明户型,单价低', '曲阳公寓  | 3室2厅 | 143.5平米 | 暂无数据 | 精装 | 有电梯', '中楼层(共20层)1999年建板楼  -  鲁迅公园', '920万', '单价64112元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160820/c51a4384-8825-4f0f-9c87-aa1e2f85698f.jpg.296x216.jpg', '虹口区优质房源 南北全明户型 。', '三兴苑  | 2室2厅 | 73.68平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2004年建板楼  -  江湾镇', '475万', '单价64468元/平米')
('https://image1.ljcdn.com/310000-inspection/test-3a129234-791d-4b17-abf0-a830be8994af.png.296x216.jpg', '4号10号双地铁，花园式品质小区，双南向阳紧凑两房', '溧阳华府(公寓)  | 2室1厅 | 85.5平米 | 南 | 精装 | 有电梯', '低楼层(共35层)2011年建板楼  -  鲁迅公园', '800万', '单价93568元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160927/217cb5af-90b4-4f30-a309-3c3e8e0a6c41.jpg.296x216.jpg', '新上房源，全新婚房装修  江湾镇地铁300多米', '忠烈小区  | 2室1厅 | 53.56平米 | 西南 | 其他 | 无电梯', '低楼层(共6层)板楼  -  江湾镇', '275万', '单价51345元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170415/ca390258-5b82-47c7-8acd-f14359b7bb14.jpg.296x216.jpg', '一线景观房+富豪集中地+华精装二房+地段佳税费低', '白金湾府邸  | 2室2厅 | 127.68平米 | 南 | 精装 | 有电梯', '低楼层(共31层)板楼  -  北外滩', '1280万', '单价100251元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171225/f9482478-6c40-4637-b5db-e57405b5065c.jpg.296x216.jpg', '朝南一室户  采光无遮挡  交通方便        看房子随时', '谭家桥小区  | 1室1厅 | 36.16平米 | 南 | 精装 | 无电梯', '高楼层(共5层)1982年建板楼  -  鲁迅公园', '210万', '单价58076元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170227/fc6af6f3-8bd9-4b82-963f-32de4bef8b15.jpg.296x216.jpg', '国际公寓 3室2厅 850万', '国际公寓  | 3室2厅 | 113.38平米 | 南 | 精装 | 有电梯', '低楼层(共23层)1996年建塔楼  -  临平路', '850万', '单价74970元/平米')
('https://image1.ljcdn.com/310000-inspection/25b9c01d-9de7-4845-bb4b-f85234700e44.jpg.296x216.jpg', '内环内中区两房，比邻人民医院，精装修，产证满五', '久耕小区  | 2室1厅 | 84.1平米 | 东南 | 精装 | 有电梯', '低楼层(共22层)1991年建塔楼  -  北外滩', '570万', '单价67777元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171118/a3c3665f-4799-4bea-97dd-8634a6f5b3f1.jpg.296x216.jpg', '远洋新村 1室2厅 270万', '远洋新村  | 1室2厅 | 40.63平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1979年建板楼  -  临平路', '270万', '单价66454元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170122/c06e94c4-1485-4ed1-b35a-9052dec304c8.jpg.296x216.jpg', '内环内 电梯房 交通方便 配套完善 看房方便', '武进大楼  | 1室1厅 | 53.7平米 | 东 | 简装 | 有电梯', '低楼层(共16层)1986年建塔楼  -  四川北路', '450万', '单价83799元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170820/aa0a73a4-9b2d-445d-8aa3-6dd36af8b7bf.jpg.296x216.jpg', '一房一厅全明户型，采光好无遮挡，满五税费少', '邮电二村  | 1室1厅 | 53平米 | 南 | 精装 | 有电梯', '中楼层(共24层)1991年建塔楼  -  曲阳', '436万', '单价82265元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170413/5ec88feb-dd7d-430b-bc3a-2865b736059b.jpg.296x216.jpg', '奎照路790弄 2室1厅 380万', '奎照路790弄  | 2室1厅 | 76.21平米 | 南 | 简装 | 有电梯', '低楼层(共18层)1995年建塔楼  -  凉城', '380万', '单价49863元/平米')
('https://image1.ljcdn.com/310000-inspection/ea86a848-c21d-4f28-b789-ba55b61f9769.jpg.296x216.jpg', '东四小区 南北2房 交通便利 售后公房 诚意出售', '东四小区  | 2室1厅 | 52.33平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1985年建板楼  -  曲阳', '430万', '单价82171元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170813/73ecd006-7845-49a4-93b1-3559f47d62e5.jpg.296x216.jpg', '业主诚售，精装，全朝南全明户型，户型正气正综复式', '梅福花苑  | 2室2厅 | 99平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2000年建板楼  -  江湾镇', '499万', '单价50405元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170522/d54f1ea1-2849-476e-ac33-875d4a78c33c.jpg.296x216.jpg', '双南两房，全明户型 得房率高  税费少 停车方便！', '良辰美景公寓  | 2室1厅 | 77.45平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1998年建板楼  -  江湾镇', '415万', '单价53583元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171204/c17b7519-b66a-4717-b6ef-17a71642da7d.jpg.296x216.jpg', '车站南路407弄全明一室两厅近大柏树可改做两房一厅', '车站南路407弄  | 1室2厅 | 49.13平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1991年建板楼  -  凉城', '252万', '单价51293元/平米')
('https://image1.ljcdn.com/310000-inspection/test-8003277a-f7b9-4d05-bea5-16b43a8afe12.png.296x216.jpg', '临平路地铁口业主降价55万 满五唯一税少 有产权车位', '东方都市景苑  | 2室2厅 | 108.09平米 | 南 | 简装 | 有电梯', '高楼层(共32层)2002年建板楼  -  临平路', '810万', '单价74938元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171010/d0dd3e6f-e770-4f5c-9bf0-b832827fd704.jpg.296x216.jpg', '奎江公寓 3室2厅 635万', '奎江公寓  | 3室2厅 | 109.75平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2003年建塔楼  -  凉城', '635万', '单价57859元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161004/c9ac75b1-21fd-46be-95b9-34fd95c09cf3.jpg.296x216.jpg', '刚需2+1户型 对口区重.点.小.学 一梯两户商品房', '福赐花苑  | 3室2厅 | 120.3平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1998年建板楼  -  江湾镇', '598万', '单价49710元/平米')
