('https://image1.ljcdn.com/340100-inspection/b38fdbfa-b5e1-4192-959b-33a6be533b07.jpg.296x216.jpg', '绿怡居东区 2室1厅 94万', '绿怡居东区  | 2室1厅 | 51.8平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  荷叶地', '94万', '单价18147元/平米')
('https://image1.ljcdn.com/340100-inspection/f53f0a7d-ccc9-4fe5-9b02-0fda00cdbe86.JPG.296x216.jpg', '融科九重锦南向两居室，目前自住，看房方便', '融科九重锦  | 2室2厅 | 82.67平米 | 南 | 其他', '低楼层(共34层)2010年建塔楼  -  笔架山', '215万', '单价26008元/平米')
('https://image1.ljcdn.com/340100-inspection/5f6b5ec3-04bb-4117-b74a-a237c22ed5bd.jpg.296x216.jpg', '御龙湾高层景观房，自住装修，房东诚售，看房方便。', '乐富强御龙湾  | 2室2厅 | 87.5平米 | 南 西南 | 其他', '高楼层(共33层)2011年建塔楼  -  笔架山', '208万', '单价23772元/平米')
('https://image1.ljcdn.com/340100-inspection/db1a7e2d-5571-4976-a507-2ee9acd9e1bb.jpg.296x216.jpg', '国际花都玫瑰苑   三房  楼层好   位置安静', '国际花都玫瑰苑  | 3室2厅 | 126.56平米 | 南 北 | 其他', '低楼层(共11层)2005年建板楼  -  荷叶地', '280万', '单价22124元/平米')
('https://image1.ljcdn.com/340100-inspection/6c2d5a85-6d50-4823-b26c-2cbd2a1177c6.jpg.296x216.jpg', '恒大华府 精装两居室 位置安静 采光充足 视野开阔', '恒大华府  | 2室2厅 | 84.93平米 | 南 | 其他', '高楼层(共32层)2011年建板楼  -  兴园', '189万', '单价22254元/平米')
('https://image1.ljcdn.com/340100-inspection/a3aafa96-b605-4e69-994d-dc9fe0d36f8c.jpg.296x216.jpg', '为你而选为你为家，政务区多层，交通便利，生活方便', '嘉和苑小区  | 3室2厅 | 101.37平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  荷叶地', '190万', '单价18744元/平米')
('https://image1.ljcdn.com/340100-inspection/5da439e8-e084-4521-97b0-5fb3e0d68408.JPG.296x216.jpg', '水墨兰庭两房，南北通透格局，周边配套完善，交通方便', '水墨兰庭  | 2室2厅 | 92.36平米 | 南 北 | 其他', '中楼层(共6层)2005年建板楼  -  笔架山', '235万', '单价25444元/平米')
('https://image1.ljcdn.com/340100-inspection/cb065bbd-acdc-49f1-8729-82eff0ad8719.jpg.296x216.jpg', '信达水岸茗都，自住两房，采光好', '信达水岸茗都  | 2室2厅 | 95.91平米 | 南 | 其他', '高楼层(共24层)2008年建板楼  -  笔架山', '210万', '单价21896元/平米')
('https://image1.ljcdn.com/340100-inspection/48532fff-a028-4780-a4b5-6e544b5f1d1a.JPG.296x216.jpg', '满两年，通透大两房，高楼层采光充足。', '山水名城  | 2室2厅 | 111.75平米 | 南 北 | 其他', '高楼层(共11层)2008年建塔楼  -  笔架山', '242万', '单价21656元/平米')
('https://image1.ljcdn.com/340100-inspection/e57ca7fb-d836-41dc-ac0f-b86014511dcf.jpg.296x216.jpg', '汇林阁东区 天鹅湖万达旁 中间楼层 配套成熟', '汇林阁东区  | 3室2厅 | 99.87平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  笔架山', '187万', '单价18725元/平米')
('https://image1.ljcdn.com/340100-inspection/90e2ef33-f322-4700-a67a-cd53dcda6a21.JPG.296x216.jpg', '两房朝南，采光棒，视野好，毛坯房装修方便，', '信达水岸茗都  | 2室2厅 | 88平米 | 南 | 其他', '高楼层(共32层)2008年建板楼  -  笔架山', '220万', '单价25000元/平米')
('https://image1.ljcdn.com/340100-inspection/487d3a6a-c41f-4c33-8aa4-9b9a63efe53a.jpg.296x216.jpg', '无增值税 大三房采光好 视野宽广 市政冷暖双供！', '湖东景园南区  | 3室2厅 | 138.13平米 | 南 北 | 其他', '低楼层(共26层)2013年建板楼  -  荷叶地', '308万', '单价22298元/平米')
('https://image1.ljcdn.com/340100-inspection/ce46a3f7-f93e-4132-93d3-76f3af281c08.JPG.296x216.jpg', '天鹅湖畔方正两房  两卧室朝南 自住装修', '天鹅湖畔  | 2室2厅 | 115.2平米 | 南 | 其他', '低楼层(共27层)2008年建塔楼  -  笔架山', '315万', '单价27344元/平米')
('https://image1.ljcdn.com/340100-inspection/99850039-90db-477c-964d-508ff33f1a0f.jpg.296x216.jpg', '天鹅湖九号满五年，业主诚心出售', '天鹅湖九号  | 3室2厅 | 97.5平米 | 南 | 其他', '高楼层(共23层)2012年建板楼  -  荷叶地', '195万', '单价20000元/平米')
('https://image1.ljcdn.com/340100-inspection/41e44e3e-f702-4d14-a9c7-b2140eaeae1c.jpg.296x216.jpg', '岸上玫瑰 南北向三居室 满二年了', '岸上玫瑰  | 3室2厅 | 134平米 | 南 北 | 其他', '低楼层(共11层)2009年建板楼  -  笔架山', '320万', '单价23881元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload647fe62e-7657-45c8-85bf-359915452d82.jpg.296x216.jpg', '政务区精装修大两居 满五年 诚心出售', '国际花都郁金苑  | 2室2厅 | 87.58平米 | 南 北 | 其他', '高楼层(共11层)2003年建板楼  -  荷叶地', '170万', '单价19411元/平米')
('https://image1.ljcdn.com/340100-inspection/8971b478-5783-46af-b549-98bc3fbe0569.jpg.296x216.jpg', '水墨兰亭北区大三房 采光好 楼层好 适合自主装修', '水墨兰庭北区  | 3室2厅 | 143.92平米 | 南 北 | 其他', '高楼层(共29层)2005年建板楼  -  笔架山', '360万', '单价25014元/平米')
('https://image1.ljcdn.com/340100-inspection/ec497c0e-efbb-401a-825d-e345669a32b7.jpg.296x216.jpg', '为你而选 为你为家 浅水湾大三房诚心出售 满两年', '浅水湾  | 3室1厅 | 98.34平米 | 南 | 其他', '低楼层(共12层)2004年建塔楼  -  荷叶地', '185万', '单价18813元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadc349e969-1a06-4eac-98ab-fdd757ba22bb.jpg.296x216.jpg', '国贸天琴湾精装全南大两室，满两年，诚售！', '国贸天琴湾  | 2室2厅 | 89.76平米 | 南 | 其他', '高楼层(共34层)2012年建塔楼  -  笔架山', '230万', '单价25624元/平米')
('https://image1.ljcdn.com/340100-inspection/a5273bb3-29ee-4d66-9f42-d36b0838a8d4.jpg.296x216.jpg', '小区环境好，配套齐全，生活便利', '旭辉花园  | 3室2厅 | 82.53平米 | 南 | 其他', '低楼层(共34层)2012年建板楼  -  荷叶地', '201万', '单价24355元/平米')
('https://image1.ljcdn.com/340100-inspection/b751d762-5a30-470c-a354-ce7fe07eb390.jpg.296x216.jpg', '恒大华府 花园洋房 挑高露台朝南 户型正气 采光无遮挡', '恒大华府  | 3室2厅 | 216.49平米 | 南 北 | 其他', '中楼层(共11层)2011年建板楼  -  兴园', '480万', '单价22172元/平米')
('https://image1.ljcdn.com/340100-inspection/8d4503d4-f8f4-4e95-b773-94c376cd4252.jpg.296x216.jpg', '银泰旁，满二无增值税，采光无遮挡，看房方便', '华邦世贸城  | 3室2厅 | 93.28平米 | 南 | 其他', '中楼层(共33层)2013年建板楼  -  荷叶地', '210万', '单价22513元/平米')
('https://image1.ljcdn.com/340100-inspection/b2bf6a01-fb19-41df-bbaa-5453b5e0b24d.jpg.296x216.jpg', '满两年 带车位 市政冷暖双供 采光好', '湖东景园南区  | 3室2厅 | 133.07平米 | 南 北 | 其他', '高楼层(共24层)2013年建板楼  -  荷叶地', '285万', '单价21418元/平米')
('https://image1.ljcdn.com/340100-inspection/36a8bf25-f0e5-4443-b888-122b3617ba6f.jpg.296x216.jpg', '满二 居家装修 采光好 出行方便 配套完善 诚心卖', '宋都西湖花苑  | 2室2厅 | 106.05平米 | 南 | 其他', '低楼层(共18层)2007年建板楼  -  笔架山', '265万', '单价24989元/平米')
('https://image1.ljcdn.com/340100-inspection/f5a90c7d-23d2-4ffb-a093-25f4b2e9c7d1.jpg.296x216.jpg', '自住装修大两室 采光无遮挡 一梯两户小高层', '国际花都郁金苑  | 2室2厅 | 88.07平米 | 南 北 | 其他', '低楼层(共10层)2003年建板楼  -  荷叶地', '172万', '单价19530元/平米')
('https://image1.ljcdn.com/340100-inspection/31afb4ad-2764-4a4a-9d39-156f90af71b5.jpg.296x216.jpg', '总价低，政务区小户型房子，为您优选', '亚华新城邦雅轩  | 1室1厅 | 35.43平米 | 南 | 其他', '中楼层(共5层)2005年建板楼  -  荷叶地', '66万', '单价18629元/平米')
('https://image1.ljcdn.com/340100-inspection/b166c432-69c3-49cd-9e52-14e991fda43a.jpg.296x216.jpg', '水墨兰庭1居室 满两年 楼层好 视野好 朝北是公园！', '水墨兰庭  | 1室1厅 | 45.14平米 | 北 | 其他', '中楼层(共24层)2005年建塔楼  -  笔架山', '118万', '单价26141元/平米')
('https://image1.ljcdn.com/340100-inspection/1014c449-be82-4872-a0a0-88f78b0c3c51.jpg.296x216.jpg', '为你而选为你为家 恒大华府 品质精装大四房 带车位', '恒大华府  | 4室2厅 | 206平米 | 南 西 北 | 其他', '中楼层(共32层)2011年建板楼  -  兴园', '450万', '单价21845元/平米')
('https://image1.ljcdn.com/340100-inspection/8c44c4aa-27c3-4f79-b378-96e3670d440f.jpg.296x216.jpg', '发能太阳海岸两居室，采光好，业主诚心卖', '发能太阳海岸  | 2室2厅 | 88.7平米 | 南 | 其他', '高楼层(共30层)塔楼  -  笔架山', '182万', '单价20519元/平米')
('https://image1.ljcdn.com/340100-inspection/1e727e0f-2e02-4821-8c2f-80ffc980c748.jpg.296x216.jpg', '政务区 配套齐全 中间楼层 采光无遮挡', '国际花都郁金苑  | 2室2厅 | 93.08平米 | 南 北 | 其他', '中楼层(共11层)2003年建板楼  -  荷叶地', '196万', '单价21058元/平米')
('https://image1.ljcdn.com/340100-inspection/eb90e472-abf4-4340-8d92-7ca7bd8b38c0.jpg.296x216.jpg', '华邦世贸城 紧凑型三房 采光好  视野好  位置安静', '华邦世贸城  | 3室2厅 | 93.14平米 | 南 | 其他', '高楼层(共33层)2013年建板楼  -  荷叶地', '195万', '单价20937元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload7a33fde5-5cdf-47a9-80ab-1a624320f9a1.jpg.296x216.jpg', '满五唯一 精装修 采光好 近公园 诚售 管理很好', '旭辉花园  | 4室2厅 | 157.1平米 | 南 | 其他', '32层2012年建板楼  -  荷叶地', '360万', '单价22916元/平米')
('https://image1.ljcdn.com/340100-inspection/8c23c970-5ff7-490b-8aeb-99175f074f6f.jpg.296x216.jpg', '亚华新城邦名苑全南两居室，满五年唯一，业主诚售！', '亚华新城邦茗苑  | 2室2厅 | 90.99平米 | 南 | 其他', '高楼层(共11层)2010年建板楼  -  荷叶地', '165万', '单价18134元/平米')
('https://image1.ljcdn.com/340100-inspection/20411307-bcf9-4db3-b663-24f21234de2f.jpg.296x216.jpg', '一年出一套观天鹅湖，南北通透大四房，纯毛坯，满2年', '湖畔徽映阁  | 4室2厅 | 195.93平米 | 南 北 | 其他', '中楼层(共31层)2012年建塔楼  -  荷叶地', '490万', '单价25009元/平米')
('https://image1.ljcdn.com/340100-inspection/2d5ec0e8-551d-494c-b854-23cb26598ad4.JPG.296x216.jpg', '南北通透小三房，采光充足，三阳台，满五，业主诚心卖', '信达水岸茗都  | 3室2厅 | 104.08平米 | 南 北 | 其他', '低楼层(共24层)2008年建板楼  -  笔架山', '270万', '单价25942元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload7b57286d-d8ad-4406-9493-54ff0c50f6c9.jpg.296x216.jpg', '为你而选为你为家 和风阁精装修2房 中间楼层 诚心卖', '琥珀五环城和风阁  | 2室1厅 | 84.02平米 | 南 | 其他', '中楼层(共32层)2016年建塔楼  -  荷叶地', '169万', '单价20115元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload1b291338-a598-465c-85de-0254d0bed6e7.jpg.296x216.jpg', '此房满五年税少，好楼层，采光充足，看房方便', '和谐家园  | 3室1厅 | 58平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  荷叶地', '112万', '单价19311元/平米')
('https://image1.ljcdn.com/340100-inspection/3efb1742-bf5e-4892-9e4d-0cb81d13cbcf.jpg.296x216.jpg', '栢悦公馆 三房简装 户型方正 布局合理', '栢悦公馆  | 3室2厅 | 127平米 | 南 | 其他', '低楼层(共40层)2012年建塔楼  -  荷叶地', '370万', '单价29134元/平米')
('https://image1.ljcdn.com/340100-inspection/9f514876-e076-4678-a12f-c6a21353c89d.jpg.296x216.jpg', '政务天鹅湖 三房 价格低 地暖 观公园 采光好 50中', '天鹅湖九号  | 3室2厅 | 96.29平米 | 南 | 其他', '低楼层(共23层)2012年建板楼  -  荷叶地', '223万', '单价23160元/平米')
('https://image1.ljcdn.com/340100-inspection/ffd56c21-7f56-49a2-96ea-f51bfa208ae8.jpg.296x216.jpg', '绿怡居西区精装三房，满五年唯一，拎包即住！', '绿怡居西区  | 3室1厅 | 82.82平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  荷叶地', '135万', '单价16301元/平米')
('https://image1.ljcdn.com/340100-inspection/9f4550b8-bac4-4322-884b-5758359d9220.JPG.296x216.jpg', '蓝蝶苑 南北通透 三居室 中间楼层', '绿地花都蓝蝶苑  | 3室2厅 | 104平米 | 南 北 | 其他', '中楼层(共33层)2010年建板楼  -  笔架山', '308万', '单价29616元/平米')
('https://image1.ljcdn.com/340100-inspection/28c392c8-915d-4596-95b2-7a9bfd73d6cf.JPG.296x216.jpg', '南北通透精装修 户型方正双阳台 天鹅湖景观', '乐富强御龙湾  | 3室2厅 | 126.95平米 | 南 北 | 其他', '高楼层(共32层)2011年建塔楼  -  笔架山', '335万', '单价26389元/平米')
('https://image1.ljcdn.com/340100-inspection/bedfb5e6-3203-42be-92b7-6a05548b6d14.jpg.296x216.jpg', '高层朝南开阔视野无遮挡，赠送大飘窗好房', '祥源汇博名座  | 2室1厅 | 69.14平米 | 南 | 其他', '高楼层(共17层)2010年建塔楼  -  荷叶地', '130万', '单价18803元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload41c16fd3-4c45-4981-bdc3-452a20b74d06.jpg.296x216.jpg', '此房主自述满五     婚房装修    中间楼层', '发能太阳海岸  | 2室1厅 | 76.39平米 | 南 | 其他', '中楼层(共30层)2010年建塔楼  -  笔架山', '170万', '单价22255元/平米')
('https://image1.ljcdn.com/340100-inspection/e7fb54cf-f1be-473b-a742-d6bc9d6ce73f.jpg.296x216.jpg', '为你而选为你为家湖东景园北区优质房源', '湖东景园北区  | 3室2厅 | 139.67平米 | 南 | 其他', '高楼层(共28层)2013年建板楼  -  荷叶地', '290万', '单价20764元/平米')
('https://image1.ljcdn.com/340100-inspection/e622f656-c077-42d2-a882-13f2750af31c.jpg.296x216.jpg', '国际花都雏菊苑，市政供暖大三房，户型方正采光无遮挡', '雏菊苑  | 3室2厅 | 129平米 | 南 北 | 其他', '低楼层(共11层)2005年建板楼  -  荷叶地', '320万', '单价24807元/平米')
('https://image1.ljcdn.com/340100-inspection/2fad19c2-0ce4-467b-96b5-53fcd9e9491a.jpg.296x216.jpg', '茗香苑中间位置，采光无遮挡。满两年没有增值税。', '茗香苑  | 3室2厅 | 112.18平米 | 南 | 其他', '中楼层(共18层)2012年建塔楼  -  荷叶地', '209万', '单价18631元/平米')
('https://image1.ljcdn.com/340100-inspection/60f1fa64-8c04-4588-940b-a38f8309aecc.jpg.296x216.jpg', '花园小区 南北边户大三房 居家装修 看房方便', '浅水湾  | 3室2厅 | 134.82平米 | 南 北 | 其他', '低楼层(共11层)2004年建塔楼  -  荷叶地', '239万', '单价17728元/平米')
('https://image1.ljcdn.com/340100-inspection/6c802326-d829-4c3d-a5dc-e0b681cc34a9.jpg.296x216.jpg', '为你而选为你为家 精品公寓 户型好 视野开阔', '凯旋门  | 1室1厅 | 46.07平米 | 东北 | 其他', '中楼层(共47层)2012年建塔楼  -  荷叶地', '130万', '单价28218元/平米')
('https://image1.ljcdn.com/340100-inspection/34989fa3-24df-473d-919b-c80b673073d8.JPG.296x216.jpg', '融侨天骏  中楼层   南北通透  看房有钥匙', '融侨天骏  | 3室2厅 | 144.73平米 | 南 北 | 其他', '中楼层(共33层)2010年建塔楼  -  笔架山', '355万', '单价24529元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadf961f210-955a-484f-b435-dd6db3ea71fb.jpg.296x216.jpg', '绿怡居大三房 户型正气 满两年 看房提前联系', '绿怡居西区  | 3室2厅 | 81.3平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  荷叶地', '140万', '单价17221元/平米')
('https://image1.ljcdn.com/340100-inspection/f39e6d34-17cf-46cc-867f-b3b24f551eba.jpg.296x216.jpg', '银泰边可看湖景三房，采光好。位置安静', '华邦世贸城  | 3室1厅 | 123.92平米 | 南 北 | 其他', '中楼层(共33层)2013年建板楼  -  荷叶地', '306万', '单价24694元/平米')
('https://image1.ljcdn.com/340100-inspection/e2d1ecab-2041-4dc9-bc4a-5f0f806aaf85.jpg.296x216.jpg', '精装三房，户型方正，房东诚心出售', '保利香槟国际  | 3室2厅 | 96.16平米 | 南 | 精装', '低楼层(共33层)2014年建塔楼  -  兴园', '249万', '单价25895元/平米')
('https://image1.ljcdn.com/340100-inspection/7020f260-ad8e-47d7-8a22-550c5410abeb.jpg.296x216.jpg', '湖东景园大面积通透优质毛坯房。', '湖东景园北区  | 4室2厅 | 165.35平米 | 南 | 其他', '低楼层(共30层)2013年建板楼  -  荷叶地', '375万', '单价22680元/平米')
('https://image1.ljcdn.com/340100-inspection/03ec0429-f18a-4b38-bbcf-a97aec4f19c0.jpg.296x216.jpg', '融科九重锦五室   户型方正  南北通透 主次卧面积大', '融科九重锦  | 5室2厅 | 190.46平米 | 南 北 | 其他', '高楼层(共33层)2010年建塔楼  -  笔架山', '410万', '单价21527元/平米')
('https://image1.ljcdn.com/340100-inspection/a072df77-bde9-4ce3-8ea5-a7edbc55e1f7.JPG.296x216.jpg', '信达小三房 自住 中高楼层采光好 业主诚心卖', '信达水岸茗都  | 3室2厅 | 90.21平米 | 南 北 | 其他', '高楼层(共11层)2008年建板楼  -  笔架山', '242万', '单价26827元/平米')
('https://image1.ljcdn.com/340100-inspection/b04f3228-a36e-4233-be2c-702a48682aad.jpg.296x216.jpg', '五环城精装修 中间楼层 带产权车位 看房方便', '琥珀五环城和风阁  | 3室2厅 | 98.25平米 | 南 | 其他', '中楼层(共33层)2016年建塔楼  -  荷叶地', '209万', '单价21273元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploada3072e52-1c0b-4a6b-99a3-da5d3a2863fc.jpg.296x216.jpg', '华邦世贸城 中高楼层刚需三房  采光充足 视野开阔', '华邦世贸城  | 3室2厅 | 84.11平米 | 南 | 其他', '高楼层(共34层)2013年建板楼  -  荷叶地', '192万', '单价22828元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload4e14ac58-e9ea-45e8-923b-51894307912c.jpg.296x216.jpg', '两房朝南小三房，好楼层，采光好', '和谐家园  | 3室2厅 | 89.69平米 | 南 | 其他', '高楼层(共6层)2009年建板楼  -  荷叶地', '155万', '单价17282元/平米')
('https://image1.ljcdn.com/340100-inspection/0c3d99d1-4f7f-44dd-b565-f2c6b51a7a6f.jpg.296x216.jpg', '水墨兰庭北区  两房双卧朝南户型   采光充足', '水墨兰庭北区  | 2室2厅 | 87.19平米 | 南 | 精装', '高楼层(共29层)2005年建板楼  -  笔架山', '220万', '单价25233元/平米')
('https://image1.ljcdn.com/340100-inspection/d362c87f-ffa5-46a2-bec0-786aa1379b68.jpg.296x216.jpg', '精装两居室，税少，朝南总价低，拎包入住。', '融科九重锦  | 2室1厅 | 66.36平米 | 南 | 其他', '高楼层(共26层)2010年建塔楼  -  笔架山', '165万', '单价24865元/平米')
('https://image1.ljcdn.com/340100-inspection/1a37cb34-ad6e-4297-9a71-7dbbe5bacad7.jpg.296x216.jpg', '森林海两室两厅  南北通透 适宜居住', '森林海  | 2室2厅 | 95.58平米 | 南 北 | 精装', '低楼层(共33层)2010年建塔楼  -  笔架山', '210万', '单价21972元/平米')
('https://image1.ljcdn.com/340100-inspection/599290b7-0c09-4664-8ffd-da847150efeb.jpg.296x216.jpg', '此房满五年，采光好，视野开阔，卧室朝南', '皖西新村  | 1室1厅 | 48.71平米 | 南 | 其他', '中楼层(共6层)1990年建板楼  -  荷叶地', '85万', '单价17451元/平米')
('https://image1.ljcdn.com/340100-inspection/5b3d6834-4d1d-46b3-906e-fc320dadc413.jpg.296x216.jpg', '融侨天骏 小三房 毛坯 主卧朝南 带阳台', '融侨天骏  | 3室2厅 | 100.7平米 | 南 北 | 毛坯', '低楼层(共33层)2010年建塔楼  -  笔架山', '219万', '单价21748元/平米')
('https://image1.ljcdn.com/340100-inspection/1dfa57b7-5da5-45f2-a102-3f7c9a3ccfde.jpg.296x216.jpg', '保利精装三房 中高楼层 采光好 视野开阔', '保利香槟国际  | 3室2厅 | 99.42平米 | 南 | 其他', '中楼层(共41层)2016年建塔楼  -  兴园', '270万', '单价27158元/平米')
