('https://image1.ljcdn.com/340100-inspection/0d3ee94d-bdc6-4564-a0d1-4fb2a8bf040b.JPG.296x216.jpg', '此房满两年， 视野开阔采光好 精装，南北通透', '东冠繁华逸城  | 3室2厅 | 90.72平米 | 南 北 | 其他', '低楼层(共18层)2014年建塔楼  -  黄小', '148万', '单价16314元/平米')
('https://image1.ljcdn.com/340100-inspection/c5a9f4b4-21a0-4563-8a83-a2d722ec71a1.JPG.296x216.jpg', '楼层好，视野宽阔，采光充足，拎包入住', '花园锦绣大地城  | 1室1厅 | 45.56平米 | 北 | 其他', '中楼层(共33层)2013年建塔楼  -  桃花工业园', '75万', '单价16462元/平米')
('https://image1.ljcdn.com/340100-inspection/a1b49df6-ea1f-407b-a0b2-e5b299187729.jpg.296x216.jpg', '禹洲华侨城一期 3室2厅 170万', '禹洲华侨城一期  | 3室2厅 | 110.68平米 | 南 北 | 其他', '高楼层(共6层)2010年建板楼  -  染坊', '170万', '单价15360元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadf690b44d-aacf-4863-bac1-be52451bfa1c.jpg.296x216.jpg', '禹洲华侨城二期  大两房   户型方正', '禹洲华侨城二期柳园  | 2室2厅 | 96.77平米 | 南 | 其他', '低楼层(共33层)2012年建塔楼  -  染坊', '148万', '单价15294元/平米')
('https://image1.ljcdn.com/340100-inspection/7c753f56-4b2e-4fbf-aa24-806877c9e6bd.jpg.296x216.jpg', '大三房40万左右精装修，采光充足，业主诚心出售', '禹洲华侨城二期柳园  | 3室2厅 | 117平米 | 南 | 其他', '低楼层(共33层)2012年建塔楼  -  染坊', '185万', '单价15812元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload09732cf2-6dbf-4e2e-9df9-e4b510397b4a.jpg.296x216.jpg', '翡翠湖旁 多层住宅 交通便利 看房方便', '学林雅苑  | 3室2厅 | 120平米 | 南 | 其他', '低楼层(共6层)2006年建板楼  -  桃花工业园', '175万', '单价14584元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploade7108a75-6530-4c42-8934-c3c958d3a031.jpg.296x216.jpg', '南空花园 肥西产证 多层复式 有露台 业主诚心出售', '南空花园小区  | 4室3厅 | 149.34平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  桃花工业园', '150万', '单价10045元/平米')
('https://image1.ljcdn.com/340100-inspection/test-4d46eae6-68c1-4a1c-bb9e-d161099bce70.png.296x216.jpg', '链上温馨 华侨城柳园品质大三房 房东诚售', '禹洲华侨城二期柳园  | 3室2厅 | 121.96平米 | 南 | 其他', '低楼层(共6层)2012年建塔楼  -  染坊', '200万', '单价16399元/平米')
('https://image1.ljcdn.com/340100-inspection/49fffda0-37a6-4172-b0c6-c3cc375f1bc2.JPG.296x216.jpg', '纯毛坯 中高楼层 采光足 环境优美', '鼎元公馆  | 3室2厅 | 89.44平米 | 南 | 其他', '低楼层(共34层)暂无数据  -  黄小', '150万', '单价16772元/平米')
('https://image1.ljcdn.com/340100-inspection/23f34645-824b-41f5-9408-f87f21499c26.jpg.296x216.jpg', '电力公司房子 市政供暖 1梯2户 户型好 采光充足无遮挡', '和安家园  | 3室2厅 | 143平米 | 南 | 其他', '低楼层(共18层)2009年建塔楼  -  桃花工业园', '210万', '单价14686元/平米')
('https://image1.ljcdn.com/340100-inspection/4a8bd285-6023-4d50-a32d-375b7e22ff6e.JPG.296x216.jpg', '大四房，采光好，精装修，满两年，诚心卖。', '禹洲华侨城一期  | 4室2厅 | 129.11平米 | 南 北 | 其他', '高楼层(共33层)2010年建板楼  -  染坊', '225万', '单价17428元/平米')
('https://image1.ljcdn.com/340100-inspection/fd6a95f7-1cf7-4b93-8363-406b5826014b.jpg.296x216.jpg', '此房精装拎包入住 采光充足 视野开阔 户型好 肥西产证', '禹洲华侨城三期枫园  | 3室1厅 | 89.9平米 | 南 北 | 其他', '高楼层(共33层)2016年建塔楼  -  染坊', '165万', '单价18354元/平米')
('https://image1.ljcdn.com/340100-inspection/844b3f37-64bb-401b-b199-85b50b18f75e.jpg.296x216.jpg', '禹洲改善四房 户型方正 全明户型 房东诚心', '禹洲天玺  | 4室2厅 | 111.13平米 | 南 北 | 其他', '中楼层(共41层)2016年建塔楼  -  繁华新园', '167万', '单价15028元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploade7ed382a-87f4-4a39-b48a-5034955a4e9b.jpg.296x216.jpg', '禹洲天玺 大三居 之前的样板间 带中央空调', '禹洲天玺  | 3室2厅 | 99平米 | 南 | 其他', '低楼层(共41层)2016年建塔楼  -  繁华新园', '145万', '单价14647元/平米')
('https://image1.ljcdn.com/340100-inspection/88653603-98c4-4fad-b9e1-c98bf6841591.JPG.296x216.jpg', '满两年 东边户 全明通透三房 位置好采光好，精装修', '东冠繁华逸城  | 3室2厅 | 89平米 | 南 | 其他', '低楼层(共6层)2014年建板楼  -  黄小', '155万', '单价17416元/平米')
('https://image1.ljcdn.com/340100-inspection/f49d6881-dc09-4b8f-8e04-d7820c4174d0.jpg.296x216.jpg', '满2年，精装修，房东诚心出售，采光视野好', '禹洲华侨城三期荷园  | 2室2厅 | 78.4平米 | 南 | 其他', '高楼层(共33层)2014年建塔楼  -  染坊', '138万', '单价17603元/平米')
('https://image1.ljcdn.com/340100-inspection/5972487a-ab58-4e44-ad8d-87967848070c.JPG.296x216.jpg', '肥西产证 新小区 精装三房楼层好', '原树提香  | 3室1厅 | 112.62平米 | 南 | 其他', '高楼层(共34层)2017年建塔楼  -  桃花工业园', '178万', '单价15806元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploade80b8b81-f5f8-49b3-92ca-2512ddb038e1.jpg.296x216.jpg', '肥西产证刚需两居室，户型方正，诚心出售', '东冠繁华逸城  | 2室1厅 | 81.31平米 | 南 | 其他', '中楼层(共11层)2014年建塔楼  -  黄小', '127万', '单价15620元/平米')
('https://image1.ljcdn.com/340100-inspection/d7e76977-8e32-4ee8-9983-63c35cee300f.jpg.296x216.jpg', '禹洲华侨城多层两房，居家装修,楼层好采光好，', '禹洲华侨城二期柳园  | 2室2厅 | 91.61平米 | 南 | 其他', '低楼层(共6层)2012年建塔楼  -  染坊', '163万', '单价17793元/平米')
('https://image1.ljcdn.com/340100-inspection/aaa4e83b-bf18-4eda-aa4a-b407d5ccae1c.jpg.296x216.jpg', '旭日长安 2室1厅 130万', '旭日长安  | 2室1厅 | 93.86平米 | 南 | 其他', '中楼层(共11层)2009年建塔楼  -  黄小', '130万', '单价13851元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload10c7b367-d245-49a2-9bd6-664793e914ab.jpg.296x216.jpg', '南淝河边，逍遥津公园旁，精装三室，诚心出售', '阳光公寓  | 3室2厅 | 139.62平米 | 南 | 其他', '中楼层(共6层)2006年建板楼  -  肥西', '178万', '单价12749元/平米')
('https://image1.ljcdn.com/340100-inspection/d7dbddcc-691d-46db-9cb1-0eb5974ae8c0.JPG.296x216.jpg', '东冠繁华逸城 2室2厅 140万', '东冠繁华逸城  | 2室2厅 | 88.48平米 | 南 | 其他', '高楼层(共6层)2014年建板楼  -  黄小', '140万', '单价15823元/平米')
('https://image1.ljcdn.com/340100-inspection/520d2af6-ecf9-4a0f-b6e7-82b9769cfb2e.JPG.296x216.jpg', '翡翠湖畔 环境优美  交通便利', '花园锦绣大地城  | 3室1厅 | 97.84平米 | 南 | 其他', '低楼层(共34层)2013年建塔楼  -  桃花工业园', '160万', '单价16354元/平米')
('https://image1.ljcdn.com/340100-inspection/04b49e72-9269-49ff-b0c4-98ac91b8e8c3.jpg.296x216.jpg', '东冠繁华逸城 满两年 纯毛坯 顶楼复式 采光充足', '东冠繁华逸城  | 3室2厅 | 86.47平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  黄小', '138万', '单价15960元/平米')
('https://image1.ljcdn.com/340100-inspection/test-0c183143-18b4-4eb2-94ba-690098cc1387.png.296x216.jpg', '文一名门绿洲 3室2厅 132万', '文一名门绿洲  | 3室2厅 | 85.47平米 | 南 | 其他', '高楼层(共33层)暂无数据  -  繁华新园', '132万', '单价15445元/平米')
('https://image1.ljcdn.com/340100-inspection/fb2ed0f8-2320-46ec-b8c1-2bb5aa5f57cf.JPG.296x216.jpg', '市政供暖 满两年 没有增值税 户型好 南北通透', '和安家园  | 3室2厅 | 123.31平米 | 南 北 | 其他', '高楼层(共18层)2009年建塔楼  -  桃花工业园', '185万', '单价15003元/平米')
('https://image1.ljcdn.com/340100-inspection/966be462-7692-49fc-8883-02956388588c.jpg.296x216.jpg', '肥西产证业主诚售三开间朝南楼层好采光棒视野无遮挡', '信地华地城  | 3室2厅 | 87平米 | 南 | 其他', '低楼层(共33层)2016年建暂无数据  -  繁华新园', '130万', '单价14943元/平米')
('https://image1.ljcdn.com/340100-inspection/1245bee1-2afe-47ea-b360-547344d72469.jpg.296x216.jpg', '小区中间位置不吵，绿化好，中高楼层采光好。', '文一名门绿洲  | 3室2厅 | 98.56平米 | 南 北 | 其他', '高楼层(共33层)暂无数据  -  繁华新园', '138万', '单价14002元/平米')
('https://image1.ljcdn.com/340100-inspection/e9a25234-dc3b-400f-b835-06182806fb8e.JPG.296x216.jpg', '靠近翡翠湖，风景好。多层复式，户型好。', '学林雅苑  | 5室3厅 | 170.35平米 | 南 | 其他', '高楼层(共6层)2006年建板楼  -  桃花工业园', '185万', '单价10860元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadce9ad3ac-db74-4ca3-9d74-75a1f4468d3e.jpg.296x216.jpg', '禹洲多层精装两房进门一股自然风袭来采光好拎包入住', '禹洲华侨城一期  | 2室2厅 | 84.89平米 | 南 北 | 其他', '低楼层(共6层)2010年建板楼  -  染坊', '145万', '单价17081元/平米')
('https://image1.ljcdn.com/340100-inspection/test-ba3935f8-cb10-4fcd-a6f1-8a8a09c5bdd6.png.296x216.jpg', '政务南，禹洲华侨城一期，多层两房，采光好诚心售房。', '禹洲华侨城一期  | 2室2厅 | 85.6平米 | 南 北 | 简装', '高楼层(共6层)2016年建板楼  -  染坊', '153万', '单价17874元/平米')
('https://image1.ljcdn.com/340100-inspection/3593b947-b574-42ab-9da0-409214b7daeb.JPG.296x216.jpg', '满五年免增值税  送南北大露台  精装南北通 户型正气', '学林雅苑  | 4室2厅 | 153平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  桃花工业园', '200万', '单价13072元/平米')
('https://image1.ljcdn.com/340100-inspection/0a65665a-bbf4-4c1e-863c-fc170f91612c.JPG.296x216.jpg', '翡翠湖畔旁长安一品 精装修两房南 诚心出售', '长安一品  | 2室1厅 | 59.82平米 | 南 | 其他', '高楼层(共32层)2013年建板楼  -  桃花工业园', '96万', '单价16049元/平米')
('https://image1.ljcdn.com/340100-inspection/da7d923a-8995-4f4b-87cc-fc5503db1481.jpg.296x216.jpg', '东冠繁华逸城 精装修 两房 带出储藏间', '东冠繁华逸城  | 2室2厅 | 89平米 | 南 北 | 其他', '中楼层(共18层)2014年建塔楼  -  黄小', '140万', '单价15731元/平米')
('https://image1.ljcdn.com/340100-inspection/467a0f2a-aacd-4e38-8798-3798833ca698.JPG.296x216.jpg', '和安家园 南北通透 大四房 中上楼层 市政供暖', '和安家园  | 4室2厅 | 143平米 | 南 北 | 其他', '中楼层(共26层)2009年建塔楼  -  桃花工业园', '221万', '单价15455元/平米')
('https://image1.ljcdn.com/340100-inspection/7855af57-e8fa-48c7-a429-093fa27fd6b6.JPG.296x216.jpg', '华地翡翠蓝湾开发商统一精装，正宗四房', '华地翡翠蓝湾  | 4室2厅 | 107平米 | 南 北 | 其他', '高楼层(共28层)塔楼  -  翡翠', '172万', '单价16075元/平米')
('https://image1.ljcdn.com/340100-inspection/test-e454b605-3768-4d30-9eb9-71ddd5644afb.png.296x216.jpg', '此房满两年。居家装修楼层好采光充足户型方正通风好！', '禹洲华侨城二期柳园  | 3室2厅 | 92.01平米 | 南 | 其他', '中楼层(共33层)2012年建塔楼  -  染坊', '175万', '单价19020元/平米')
('https://image1.ljcdn.com/340100-inspection/d6fe3774-5496-4f74-9570-64d84bab067c.JPG.296x216.jpg', '学林雅苑 3室2厅 165万', '学林雅苑  | 3室2厅 | 110平米 | 南 | 其他', '低楼层(共6层)2006年建板楼  -  桃花工业园', '165万', '单价15000元/平米')
('https://image1.ljcdn.com/340100-inspection/ce407635-9c7d-4a70-933d-22169b7c2b09.JPG.296x216.jpg', '精装修  采光充足  三居室  拎包住', '禹洲华侨城三期枫园  | 3室2厅 | 93.44平米 | 南 | 其他', '中楼层(共33层)2016年建塔楼  -  染坊', '175万', '单价18729元/平米')
('https://image1.ljcdn.com/340100-inspection/e61f429c-0d83-48ba-b85f-d3e8c4766777.jpg.296x216.jpg', '品质小区  大洋房  价格便宜  您的居家之选', '新华阳光国际  | 2室2厅 | 87.7平米 | 南 | 其他', '中楼层(共11层)2011年建板塔结合  -  柏堰', '135万', '单价15394元/平米')
('https://image1.ljcdn.com/340100-inspection/54b5aad9-019f-4a2a-b69d-5fd6da184ca5.JPG.296x216.jpg', '此房满两年，两个卧室和客厅全部朝南的，全南户型。', '多伦多花园  | 2室2厅 | 87.12平米 | 南 | 其他', '低楼层(共16层)2009年建塔楼  -  桃花工业园', '155万', '单价17792元/平米')
('https://image1.ljcdn.com/340100-inspection/d728d359-07a5-4fa8-8a09-f0662ae0455e.JPG.296x216.jpg', '水安盛世桃源居家三房，采光视野好！', '水安盛世桃源  | 3室1厅 | 118平米 | 南 | 其他', '高楼层(共32层)2015年建板楼  -  桃花工业园', '185万', '单价15678元/平米')
('https://image1.ljcdn.com/340100-inspection/e128993e-7817-4df1-ae22-2df6785d332a.jpg.296x216.jpg', '此房精装拎包入住 采光充足 户型好 环境优美', '禹洲华侨城二期柳园  | 2室2厅 | 96.7平米 | 南 | 精装', '中楼层(共33层)2012年建塔楼  -  染坊', '155万', '单价16029元/平米')
('https://image1.ljcdn.com/340100-inspection/27d61b6e-5909-4567-b564-65efeb4c275f.JPG.296x216.jpg', '金宇天地城 满两年 精装修 全明三房 诚心卖', '金宇天地城  | 3室2厅 | 88.3平米 | 南 | 其他', '高楼层(共34层)塔楼  -  新港', '136万', '单价15403元/平米')
('https://image1.ljcdn.com/340100-inspection/62692253-6656-4342-a456-677ef93f76a8.JPG.296x216.jpg', '70年产权住宅，水电民用，新装修，采光无遮挡', '幸福大街西区  | 1室1厅 | 30.94平米 | 南 北 | 其他', '低楼层(共23层)2011年建板楼  -  桃花工业园', '50万', '单价16161元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload613fbccb-7372-49f3-9e10-089741702851.jpg.296x216.jpg', '正规三房，客厅很大朝南餐厅朝北，双卧室朝南次卧朝北', '长安萨尔斯堡  | 3室2厅 | 112平米 | 南 北 | 其他', '中楼层(共6层)2011年建板楼  -  桃花工业园', '170万', '单价15179元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload621639c6-530e-4985-97b6-d2c79442bc8e.jpg.296x216.jpg', '温馨如家 柳园多层复式精装三房 赠送大露台', '禹洲华侨城二期柳园  | 3室1厅 | 105.39平米 | 南 北 | 其他', '高楼层(共6层)2012年建塔楼  -  染坊', '205万', '单价19452元/平米')
('https://image1.ljcdn.com/340100-inspection/7b88efd5-cd40-4503-b303-9273616440b1.JPG.296x216.jpg', '翡翠湖畔 多层复式 通透三房可改四房 总价中', '学林雅苑  | 3室2厅 | 164.02平米 | 南 北 | 精装', '高楼层(共6层)2006年建板楼  -  桃花工业园', '175万', '单价10670元/平米')
('https://image1.ljcdn.com/340100-inspection/a6957542-bc1f-4aa0-9c25-aed642db42af.JPG.296x216.jpg', '70年产权住宅，水电民用，新装修，采光无遮挡', '幸福大街西区  | 1室1厅 | 46.29平米 | 东南 | 其他', '中楼层(共23层)2011年建板楼  -  桃花工业园', '72万', '单价15555元/平米')
('https://image1.ljcdn.com/340100-inspection/3e16a322-b09a-4120-b3b4-77de45528c71.JPG.296x216.jpg', '顶楼复式，采光无影响，业主诚心出售', '学林雅苑  | 6室1厅 | 176.6平米 | 南 北 | 其他', '高楼层(共6层)2006年建板楼  -  桃花工业园', '210万', '单价11892元/平米')
('https://image1.ljcdn.com/340100-inspection/1dc084ef-e61b-472b-917a-dc0fe86ede9f.jpg.296x216.jpg', '精装三房，南北通透，多层洋房，满两年，采光视野好', '禹洲华侨城二期柳园  | 3室2厅 | 113.2平米 | 南 北 | 精装', '高楼层(共6层)2012年建板楼  -  染坊', '205万', '单价18110元/平米')
('https://image1.ljcdn.com/340100-inspection/b9da4f91-66c3-4e8f-a1ef-26c242865d90.JPG.296x216.jpg', '禹洲华侨城 房龄新 精装修 满二 采光好 刚需必备', '禹洲华侨城三期荷园  | 2室2厅 | 72.06平米 | 南 | 其他', '低楼层(共18层)2014年建塔楼  -  染坊', '130万', '单价18041元/平米')
('https://image1.ljcdn.com/340100-inspection/test-a5587684-08bf-428b-96a4-fac2b0973b0c.png.296x216.jpg', '文一名门绿洲 3室2厅 130万', '文一名门绿洲  | 3室2厅 | 88平米 | 南 北 | 其他', '中楼层(共33层)暂无数据  -  繁华新园', '130万', '单价14773元/平米')
('https://image1.ljcdn.com/340100-inspection/test-2b5a18f9-1315-49fd-8e5a-09f9bab4578f.png.296x216.jpg', '翡翠湖边 肥西产权 大三居 交通便利 满两年', '花园锦绣大地城  | 3室2厅 | 129.82平米 | 南 北 | 简装', '高楼层(共12层)2013年建塔楼  -  桃花工业园', '165万', '单价12710元/平米')
('https://image1.ljcdn.com/340100-inspection/f4ae4dd6-be68-4edc-9333-5e87cf82694a.jpg.296x216.jpg', '南北通透采光无影响  精装修 肥西产证业主诚售', '禹洲天玺  | 3室2厅 | 104.98平米 | 南 北 | 其他', '低楼层(共34层)板塔结合  -  繁华新园', '165万', '单价15718元/平米')
('https://image1.ljcdn.com/340100-inspection/eab3383b-7b8c-4d4e-b32d-7ddab042ecae.JPG.296x216.jpg', '满两年 肥西产证 复式房 楼上全赠送', '东冠繁华逸城  | 3室2厅 | 89.48平米 | 南 北 | 其他', '高楼层(共16层)2014年建塔楼  -  黄小', '142万', '单价15870元/平米')
('https://image1.ljcdn.com/340100-inspection/cbfbf939-30e9-4c71-b6a1-7ce3355347c6.JPG.296x216.jpg', '肥西产权 位置好 交通方便 精装修 大四房', '禹洲华侨城一期  | 4室2厅 | 110.54平米 | 南 北 | 其他', '中楼层(共33层)2010年建板楼  -  染坊', '201万', '单价18184元/平米')
('https://image1.ljcdn.com/340100-inspection/567ed32a-a279-4030-a65f-a3bdbc3f45fa.jpg.296x216.jpg', '禹洲华侨城三期荷园 2室2厅 148万', '禹洲华侨城三期荷园  | 2室2厅 | 86.61平米 | 南 | 其他', '中楼层(共28层)2014年建塔楼  -  染坊', '148万', '单价17089元/平米')
('https://image1.ljcdn.com/340100-inspection/1103a2af-883f-4c69-a5ac-81cf5277cd37.JPG.296x216.jpg', '绿地新都会 3室2厅 135万', '绿地新都会  | 3室2厅 | 86.87平米 | 南 北 | 其他', '中楼层(共40层)塔楼  -  新港', '135万', '单价15541元/平米')
('https://image1.ljcdn.com/340100-inspection/79b50b05-6da8-49da-ab71-589611f3019f.JPG.296x216.jpg', '紧邻合工大，交通便捷，配套齐全，此户型带阳台！', '花园锦绣大地城  | 1室1厅 | 45.68平米 | 北 | 其他', '低楼层(共23层)2013年建塔楼  -  桃花工业园', '72万', '单价15762元/平米')
('https://image1.ljcdn.com/340100-inspection/bf2624a6-1b09-48d9-a8b5-9d84c289ebee.jpg.296x216.jpg', '东冠繁华逸城 4室2厅 140万', '东冠繁华逸城  | 4室2厅 | 89.23平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  黄小', '140万', '单价15690元/平米')
('https://image1.ljcdn.com/340100-inspection/360d99f3-5193-43c8-8df8-ce42c10b1bd1.jpg.296x216.jpg', '禹洲华侨城精装修，二房间朝南，带产权车位。', '禹洲华侨城三期荷园  | 2室2厅 | 86.48平米 | 南 | 其他', '高楼层(共33层)2014年建塔楼  -  染坊', '154万', '单价17808元/平米')
('https://image1.ljcdn.com/340100-inspection/8167a197-66bf-4fb4-8ea9-8930e45135d4.JPG.296x216.jpg', '位置好，小区周围配套好，环境优美 诚心出售', '绿地新都会  | 3室2厅 | 88平米 | 南 | 其他', '低楼层(共30层)塔楼  -  新港', '127万', '单价14432元/平米')
('https://image1.ljcdn.com/340100-inspection/cf7628e8-65ab-4850-82a4-6a9147ef9487.jpg.296x216.jpg', '新华御湖庄园 3室2厅 320万', '新华御湖庄园  | 3室2厅 | 156.76平米 | 南 | 其他', '低楼层(共14层)板塔结合  -  柏堰', '320万', '单价20414元/平米')
('https://image1.ljcdn.com/340100-inspection/b23e67ce-daba-4656-9042-63ebf3376419.JPG.296x216.jpg', '温馨2房，满2年，精装修，位置好', '禹洲华侨城三期荷园  | 2室1厅 | 73.28平米 | 南 | 其他', '低楼层(共28层)2014年建塔楼  -  染坊', '126万', '单价17195元/平米')
